,date,cat,co,headline,text,url,week
362537,2013.05.12. 오후 11:35,부동산,한국경제,제천 ES리조트 특별분양,충북 제천의 클럽 ‘ES리조트’가 법인회원권을 특별 분양한다. 알프스 작은 마을을 옮겨놓은 듯한 개념으로 설계된 ‘전원형 리조트’다. 바위를 실내에 그대로 배치할 정도로 자연 훼손을 최소화한 게 특징이다. 단지 내 부대시설도 도예방 명상의 방 야외 탁구장 가족 퍼팅장 등 가족이 차분하게 즐길 수 있는 시설로 차별화했다. 회원권은 패밀리형 66㎡형 3210만원 로열형 99㎡형 4296만원 등 두 종류다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=015&aid=0002879462,384
362538,2013.05.12. 오후 10:23,부동산,경향신문,잔금 납부 유예로 1억원대에 입주… 수도권 미분양 속 ‘알짜를 찾아라’,SUB TITLE START ㆍ취득·양도세 감면에 중도금 무이자·발코니 확장도 SUB TITLE END ‘4·1 부동산 대책’이 발표된 이후 부동산 시장이 들썩이고 있지만 수도권은 다소 굼뜬 분위기가 이어지고 있다. 이 지역 아파트 대부분은 매매가가 수억원에 이르러 세금 감면 혜택에도 서민들에게는 여전히 부담스럽기 때문이다. 그렇다고 대안이 없지만은 않다. 미분양 아파트가 해법이 될 수 있다. 건설사들이 미분양 아파트를 분양가 할인과 함께 잔금 납부를 일정기간 유예하는 조건을 내걸며 ‘세일’에 나서고 있다. 이들 아파트는 올해까지 적용되는 취득세와 양도세 감면 혜택도 받을 수 있다. 중도금 무이자와 발코니 무료 확장 혜택을 제공하는 미분양 아파트들도 많다. 최근에는 전국 아파트 매매가격 대비 전셋값 비율이 60%를 넘어 저렴한 아파트를 찾으면 전셋값 수준에서 내집 마련을 할 수 있다. 삼성물산은 서울 동대문구 전농동 전농·답십리뉴타운에서 전농 7구역을 재개발한 ‘래미안 전농 크레시티’를 분양하고 있다. 지난달 입주가 시작됐다. 계약금 5% 중도금 20%를 무이자 지원한다. 나머지 잔금은 올해 말까지 유예해주고 무료로 발코니 확장 서비스도 제공한다. 지하 3층 지상 22층 31개 동으로 전용면적 59㎡ 550가구 84㎡ 977가구 121㎡ 457가구 등 2397가구의 초대형 단지다. 또 경기 고양시 원당뉴타운에 위치한 ‘원당 래미안 휴레스트’를 특별분양한다. 할인율이 평균 36%에 달해 분양가가 3.3㎡당 800만원대까지 내려갔다. 전용면적 117㎡·132㎡·151㎡로 구성됐다. 117㎡는 2000만원 그 이상의 면적은 2500만원의 계약금 정액제를 실시해 초기 부담이 낮다. 외부 창호 시공과 입주시 청소를 무료로 해준다. 잔금은 계약 후 5개월간 납부 유예할 수 있다. 현대건설은 서울 은평구 응암동 ‘백련산 힐스테이트’를 분양하고 있다. 전용면적 84㎡ 이하는 2000만원 그 이상 면적에는 3000만원의 계약금 정액제를 실시하고 있다. 면적에 따라 잔금의 50 70%를 2년간 유예할 수 있어 1억6000만원 정도면 입주할 수 있다. 계약금을 납부한 지 3개월 이내에 잔금을 완납하면 면적에 따라 2400만 4000만원가량의 할인 혜택을 받는다. 3221가구의 대형 단지로 지하 6층 지상 15층 39개 동 규모다. 후분양 아파트로 계약 후 즉시 입주할 수 있다. 풍림산업은 인천 남구 학익동 일대에서 분양 중인 ‘학익 엑슬루타워’에 대해 분양가의 60%를 2년간 무이자로 지원한다. 잔금 납부를 유예하는 효과가 있는 셈이다. 무상 인테리어 지원 등 혜택들을 감안하면 가구당 1억3000만∼2억5000만원의 할인 효과를 볼 수 있다. 지하 2층 지상 40∼53층 4개 동으로 전용면적은 59 215㎡이다. GS건설은 경기 용인시 성복동에서 분양 중인 ‘성복 자이 2차’에 대해 계약금 정액제를 실시한다. 잔금 20%를 3년간 유예할 수 있다. 또 분양가의 20%만 내면 입주할 수 있어 101㎡의 실입주금은 1억5000만원 수준이다. 지하 3층 지상 20층 13개 동 101 179㎡ 783가구다. 2016년 개통 예정인 신분당선 연장선 성복역이 가까우며 국도 43호선 경부고속도로 영동고속도로 진출입이 쉽다. 현대산업개발도 용인시 성복동에서 ‘용인 성복 아이파크’를 분양하고 있다. 잔금 20%를 2년간 유예해주고 대출 이자도 내준다. 84㎡의 경우 분양가의 20%인 9000만원 정도면 입주할 수 있다. 지하 2층 지상 20층 7개 동 351가구 규모이며 실내 평형은 84 124㎡로 구성된다. 박철응 기자 hero kyunghyang.com 경향신문 오늘의 인기뉴스 윤창중 패러디물 봇물…“이거야말로 웃프네” 윤창중 전 대변인 해명에 ‘미시 USA’에선 ‘부글부글’ 단독 윤창중 방미 첫날 뉴욕서도 ‘낯뜨거운 행동’… 잠적한 윤창중 직접 전화 “기사 내려라” 위협 성폭행 후 “너는 내 여자다 혼인신고하자”…30대男 검거 일간베스트 회원 “미시USA 해킹” 주장 모바일 경향 경향 뉴스진 경향신문 앱 모바일웹 공식 SNS 계정 경향 트위터 미투데이 페이스북 세상과 경향의 소통 Khross ⓒ 경향신문 www.khan.co.kr 무단전재 및 재배포 금지 〈경향신문은 한국온라인신문협회 www.kona.or.kr 의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=032&aid=0002337120,384
362539,2013.05.12. 오후 10:23,부동산,경향신문,내달 올 들어 최대 2만3800여가구 입주… ‘전셋집 잡아라’,다음달 전국적으로 아파트 2만3800여가구가 입주를 시작한다. 올해 들어 가장 많은 물량이다. 전셋집을 찾는다면 신규 입주 단지를 눈여겨볼 필요가 있다. 최근에는 아파트를 분양받은 집주인들이 종전 집에 계속 살면서 분양 아파트를 전세로 내놓는 경우가 많다. 부동산정보업체 부동산114가 조사한 자료를 보면 수도권에서는 10개 단지 7035가구가 다음달 ‘집들이’를 한다. 서울은 강남 세곡보금자리지구와 잠실 푸르지오월드마크 등 1097가구가 입주한다. 경기 지역에서는 5938가구가 새 주인을 맞는다. 용인 3003가구 김포 1669가구 고양 866가구 평택 232가구 이천 168가구다. 지방에서도 1만6818가구가 입주를 시작한다. 잠실 푸르지오월드마크는 지하철 2·8호선 잠실역과 가까운 역세권 단지다. 올림픽대로를 이용하기 쉽고 송파대로도 가깝다. 최고 39층 2개 동 규모로 전용면적 84 244㎡ 아파트 288가구 오피스텔 99실 상가 140개 등으로 구성됐다. 단지 주변으로 홈플러스 롯데마트 롯데백화점 등 생활편의시설이 자리하고 있으며 인근에 제2롯데월드가 건설되고 있다. 김포 한강신도시에서는 59㎡의 단일 면적으로 구성된 대우건설 푸르지오 812가구가 입주를 앞두고 있다. 한강신도시에서는 드물게 소형 면적으로 구성돼 분양 당시 93.9%의 높은 계약률을 보였다. 분양가는 3.3㎡당 880만원대였다. 김포한강로 개통으로 서울에 접근하기가 쉽다. 현재 전세는 1억원 안팎에서 거래가 되며 매물도 넉넉한 편이다. 국내 최초로 마이크로 수력발전시스템이 적용된 경기 용인시 중동 신동백롯데캐슬에코는 2770가구의 대규모 입주가 예정돼 있다. 마이크로 수력발전시스템은 아파트 단지로 들어오는 상수도 공급관에 소형 터빈발전기를 설치해 물의 낙차에너지와 수압을 전기로 변환할 수 있는 시스템이다. 이 방식으로 만들어진 전기는 단지 내 커뮤니티 시설 등 부대시설에 사용돼 입주민들이 관리비를 절감할 수 있다. 냉난방 효율을 극대화한 지열시스템을 도입하는 등 탄소배출량도 20%가량 줄였다. 부산 정관신도시의 정관롯데캐슬2차도 다음달 입주한다. 101 149㎡의 중대형이며 911가구 규모다. 헬스장 골프연습장 탁구장 등 커뮤니티시설이 비교적 잘 갖춰져 있으며 인근에 신정초·중·고교가 위치하고 있다. 매물이 풍부한 편이며 값은 분양가 3.3㎡당 700만원대 와 비슷한 수준이다. 경북경제자유구역 내에 있는 이시아폴리스는 84 142㎡ 750가구 규모다. 취득세 면제를 받을 수 있는 85㎡ 이하 물량이 전체의 65%에 달한다. 매매가격은 2억3000만 2억4000만원 전세는 1억원 후반에 시세가 형성돼 있다. 박철응 기자 hero kyunghyang.com 경향신문 오늘의 인기뉴스 윤창중 패러디물 봇물…“이거야말로 웃프네” 윤창중 전 대변인 해명에 ‘미시 USA’에선 ‘부글부글’ 단독 윤창중 방미 첫날 뉴욕서도 ‘낯뜨거운 행동’… 잠적한 윤창중 직접 전화 “기사 내려라” 위협 성폭행 후 “너는 내 여자다 혼인신고하자”…30대男 검거 일간베스트 회원 “미시USA 해킹” 주장 모바일 경향 경향 뉴스진 경향신문 앱 모바일웹 공식 SNS 계정 경향 트위터 미투데이 페이스북 세상과 경향의 소통 Khross ⓒ 경향신문 www.khan.co.kr 무단전재 및 재배포 금지 〈경향신문은 한국온라인신문협회 www.kona.or.kr 의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=032&aid=0002337103,384
362540,2013.05.12. 오후 10:23,부동산,경향신문,분양정보래미안 영통 1330가구 外,래미안 영통 1330가구 삼성물산은 경기 수원시 영통구 신동 ‘래미안 영통 마크원’을 분양하고 있다. 지하 2층 지상 23층 5개 동 367가구에 전용면적 84 97㎡로 구성된 1단지와 지하 2층 지상 27층 11개 동 963가구에 84 115㎡로 구성된 2단지 등 전체 1330가구의 대단지다. 계약금 5% 중도금 이자후불제를 실시하고 있다. 최근 이마트가 단지 옆 1만6728㎡ 규모 부지를 사들여 백화점이나 쇼핑센터 등 대형 판매시설을 지을 예정이다. 분당선 연장선 개통으로 망포역을 통해 서울 강남까지 이동하기 편리하며 올해 안에 개통될 예정인 매탄역도 이용할 수 있다. 용인 서울 고속도로 경부고속도로 수원나들목도 인접해 있다. 근처에 삼성디지털시티가 있다. 1만여명이 근무하게 될 삼성연구소 R5가 이달부터 입주를 시작했다. 오는 10월에는 첨단전자소재연구소까지 들어설 예정이다. 031 239 3391 포스코건설 송도 ‘센투몰’ 포스코건설은 인천 송도신도시에서 ‘송도 센트럴파크Ⅱ 상업시설’ 센투몰 을 분양한다. 연면적 3만6920㎡ 지상 1 3층 3개동에 200개 상가가 들어선다. ‘송도 센트럴파크Ⅰ 상업시설’은 현재 90%가량 입점했다. 센투몰은 커낼워크에서 더샵 퍼스트월드로 이어지는 센트럴파크 상권의 중심에 위치하고 있다. 상가 맞은편의 ‘센트럴파크’는 42만㎡ 규모의 친환경 공원으로 주말이면 바자회 맥주 축제 등 각종 행사와 문화공연이 개최되고 있다. ‘I 타워’를 비롯해 IBS타워 송도 커낼워크 포스코건설 사옥 등 대규모 오피스 빌딩과 상권이 센투몰 인근에 형성돼 있다. I 타워에는 녹색기후기금 GCF 사무국과 유엔 산하 국제기구 등이 입주할 예정이다. 이달 말에는 이랜드 리테일이 운영하는 유럽형 쇼핑몰 ‘NC 큐브’가 송도 커낼워크에 개장한다. 송도 더샵 하버뷰 등 7000여가구가 인근에 입주했으며 ‘그린워크’ 등의 공동주택 입주가 2015년까지 순차적으로 이뤄질 예정이다. 분양가는 1층 기준 3.3㎡당 평균 2000만원 안팎이다. 032 832 8244 동탄 롯데캐슬 알바트로스 롯데건설은 동탄2신도시에서 ‘동탄 롯데캐슬 알바트로스’를 분양하고 있다. 일부 주택형을 제외한 대부분 물량이 4·1 부동산 대책에 따른 양도세 감면 혜택을 받을 수 있다. 1년간 중도금 무이자 혜택을 준다. 지하 1층 지상 29층 16개 동 1416가구 규모의 대단지다. 전용면적 101㎡ 976가구 122㎡ 430가구 대형 펜트하우스 10가구 등으로 구성된다. 걸어서 통학할 수 있는 곳에 초·중·고교가 들어설 예정이며 단지 남측으로 리베라CC 골프장을 접하고 있다. 광역환승시설이 가까워 광역버스 간선급행버스 BRT 등 대중교통 이용이 편리하다. 단지 녹지율이 45%에 달하며 ‘골프’를 주제로 한 4개의 테마가든을 조성한다. 3000여㎡ 규모로 조성되는 커뮤니티 시설에는 피트니스 센터 사우나실 연회장 외부 손님을 위한 게스트하우스 등을 마련한다. 노인들을 위한 ‘실버클럽’과 유아보육 시설인 ‘키즈클럽’도 갖춰진다. 1899 4321 세종시 EG 더원 464가구 EG건설이 ‘세종신도시 EG 더원 the1 ’을 분양한다. 세종시 생활권 중 비교적 인프라와 학군 녹지 등이 잘 갖춰진 1 4생활권 L1블록과 1 1생활권 L7블록에 위치하며 464가구 규모다. 전용면적 59 79㎡의 중소형으로 구성됐다. 1 4생활권 L1블록은 지하 2층 지상 18층 4개 동 59㎡ 단일 면적 159가구다. 1 1생활권 L7블록은 지하 2층 지상 17층 6개 동 59 79㎡ 305가구 규모다. 가구당 3㎡ 크기의 지하창고를 제공하는 게 특징이다. 중앙행정타운과 중앙공원이 가깝고 간선급행버스 BRT 정류장도 인접해 있다. 단지 인근에 초·중·고교가 모두 있으며 유치원도 개설될 예정이다. 고운뜰 근린공원이 단지와 이어진다. 단지가 들어서는 1 1생활권은 저밀도의 고급주택과 친환경 생태마을로 계획돼 있다. 견본주택은 세종시 대평동 264 1번지에 있다. 입주는 2015년 하반기로 예정돼 있다. 1661 0077 경향신문 오늘의 인기뉴스 윤창중 패러디물 봇물…“이거야말로 웃프네” 윤창중 전 대변인 해명에 ‘미시 USA’에선 ‘부글부글’ 단독 윤창중 방미 첫날 뉴욕서도 ‘낯뜨거운 행동’… 잠적한 윤창중 직접 전화 “기사 내려라” 위협 성폭행 후 “너는 내 여자다 혼인신고하자”…30대男 검거 일간베스트 회원 “미시USA 해킹” 주장 모바일 경향 경향 뉴스진 경향신문 앱 모바일웹 공식 SNS 계정 경향 트위터 미투데이 페이스북 세상과 경향의 소통 Khross ⓒ 경향신문 www.khan.co.kr 무단전재 및 재배포 금지 〈경향신문은 한국온라인신문협회 www.kona.or.kr 의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=032&aid=0002337102,384
362541,2013.05.12. 오후 8:26,부동산,한겨레,아파트 오름세 재건축 인근지역 확산,한겨레 재건축 아파트의 가격 상승세가 인근 지역을 중심으로만 확산되는 모양새다. 강남 권역은 ‘4·1 부동산 대책’ 직후부터 조금씩 상승세를 보이고 있지만 강북 권역은 여전히 하락세를 유지하고 있다. 12일 ‘부동산114’의 시황분석 자료를 보면 지난주 6 10일 서울의 아파트 시세는 0.02% 올랐다. 송파 0.20% 중구 0.08% 강동 0.06% 서초 0.03% 등이 오름세를 이끌었다. 그러나 강북 0.08% 용산 0.05% 성북 0.05% 구로 0.04% 등 지역의 하락세는 여전했다. 중구의 신당동 남산타운 강동구 상일동 고덕주공5단지 명일동 고덕주공9단지가 500만 1000만원 정도 오른 반면 강북구 번동 주공4단지와 성북구 안암동 대광 등은 250만 1000만원 정도 내렸다. 수도권과 새도시는 보합세를 보였다. 수도권은 광명 0.01% 용인 0.01% 이 조금씩 올랐고 남양주 0.01% 수원 0.01% 은 내렸다. 새도시는 분당 0.01% 만 조금 올랐고 일산 평촌 산본 중동 등은 보합세를 보였다. 분당은 정자동 한솔청구 서현동 효자현대가 500만원 정도씩 올랐다. 전셋값은 상승세를 이어갔다. 서울은 성북 0.19% 중구 0.18% 강서 0.15% 서대문 0.15% 등 강북 지역의 전셋값이 두루 오르며 0.04% 오름세를 보였다. 새도시와 수도권도 모두 오름세를 보였는데 분당 0.03% 과 인천 0.05% 의왕 0.03% 의 오름세가 두드러졌다. 정부의 부동산 대책 대부분이 국회 본회의를 통과하면서 재건축 아파트를 중심으로 한 오름세가 일반 아파트로도 일부 확산되고 있다. 그러나 강남3구와 중구 분당 등에 국한된 현상이었다. 매수자들은 단기 호가 상승에 부담을 느끼고 여전히 저가 급매물에만 관심을 보이고 있다. 노현웅 기자 goloke hani.co.kr news TOPSTORIES BOX st. 한겨레 인기기사 윤창중 기자회견에 “뻔뻔함에 치가 떨려” 윤창중 와인바 나온 뒤 2시간 동안 뭐했나 입 벌어진 매팅리 감독 “류현진은 장인” 화보 부산 입항 미 핵항모 ‘니미츠’의 위용 윤창중 귀국 항공편 예약지시는 누가 news TOPSTORIES BOX fin. 공식 SNS 통하니 트위터 미투데이 구독신청 한겨레신문 한겨레21 Copyrights ⓒ 한겨레신문사 무단전재 및 재배포 금지 한겨레는 한국온라인신문협회 www.kona.or.kr 의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=028&aid=0002187618,384
362542,2013.05.12. 오후 8:12,부동산,디지털타임스,LH 18개단지 신규상가 공급,LH 토지주택공사 는 서울서초 위례신도시 등 18개 단지 102개 신규상가를 공급한다고 12일 밝혔다. 이번에 신규 공급하는 단지 내 상가 가운데 가장 선호도가 높은 것으로 예상되는 곳은 서초보금자리지구내 A3BL 6호 및 A4BL 7호 단지다. 이 상가는 쾌적한 주거공간과 양재IC 과천 우면산 도시고속도로 등 편리한 교통망을 갖춘 주거단지에 위치해 있다. 또 위례신도시 A1 8BL 9호 A1 11BL 11호 단지는 신도시 내 최초 입주단지로 송파IC 분당 수서 고속화도로 복정역 거여역이 가깝고 배후의 3000세대를 보유한 곳에 자리하고 있다. 이밖에 수원 광교 A 10BL A 11BL 원주 혁신 B 3BL 제주 혁신 A1BL 등 신규단지 102호와 성남 도촌 S1 BL 성남 판교 A22 2BL 등 재분양단지 6호가 공급될 예정이다. 한편 입찰은 오는 20일부터 LH 분양임대청약시스템을 통해 진행되며 분양예정가격 이상 최고가 입찰자로 당첨자가 결정된다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=029&aid=0002163990,384
362543,2013.05.12. 오후 8:12,부동산,디지털타임스,층간소음 차단 권고안 마련 추진,이노근 의원 주택법 개정안 발의… 국가ㆍ지자체 책임 강화 아파트 등 공동주택에서 발생하는 층간소음이 최소화될 수 있도록 국가와 지방자치단체의 책임이 부여된다. 또 시ㆍ군ㆍ구가 층간소음 피해사례를 조사해 이를 유발시킨 입주자에 대해 소음 중단 또는 차단할 것을 권고하는 방안도 추진된다. 10일 이노근 국토교통위원회 새누리당 의원은 이같은 내용을 골자로 한 주택법 일부개정법률안 을 대표 발의했다고 밝혔다. 이번 개정안은 공동주택의 증가로 층간소음을 포함한 각종 주거생활소음이 심각한 사회적 갈등을 유발하고 급기야 방화ㆍ살인사건으로 비화되는 등 사회문제로 급부상했기 때문이다. 이에 층간소음 등 주거생활소음의 기준을 국토교통부와 환경부의 공동부령으로 정해 입주자 및 사용자의 요청에 따라 시장ㆍ군수ㆍ구청장이 소음을 조사하고 문제를 해결하도록 했다. 특히 국가와 지방자치단체에 주거생활소음 발생을 최소화 해 국민의 주거생활 보호와 사회적 갈등을 예방하는 규정을 신설하기로 했다. 또 입주자나 사용자의 요청에 다라 시장ㆍ군수ㆍ구청장은 공동주택관리 분쟁조정위원회에 주거생활소음 피해사례를 조사하도록 했다. 이에 따른 소음 피해가 확인될 경우 해당 소음을 발생시킨 입주자 또는 사용자에게 소음발생행위를 중단하거나 소음차단 조치를 취하도록 권고하는 방안을 마련했다. 이노근 의원실 관계자는 최근 심각한 사회문제로 등장한 층간소음 등을 줄이기 위해 국가 지자체에서 소음 피해를 최소화할 수 있도록 하고 일정 소음을 넘기면 이를 중단하거나 차단할 수 있도록 할 수 있는 관련 규정을 처음으로 마련한 것 이라고 말했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=029&aid=0002163981,384
362544,2013.05.12. 오후 6:36,부동산,서울경제,도대체 전용면적이 얼마야… 엉터리 건축물대장에 혼선,둔촌주공 양도세 면제 혜택 불구 실제보다 넓게 표기… 주민 답답 서울 강동구청에 근무하는 A씨는 국토교통부가 발급하는 1가구1주택자 확인서 의 면적표시 때문에 번거로운 일이 늘었다. 양도소득세 5년 면제 대상 주택인지 여부를 확인하기 위해 발급하는 이 증명서에는 주택의 전용면적이 표시돼 있는데 이 면적이 실제 전용면적과 다른 경우가 많기 때문이다. 국토부에서 자료를 보내주더라도 이를 다시 세무과에 의뢰해 정확한 면적을 파악해야만 한다. A씨는 국토부의 전용면적이 정확하지 않아 일을 두 번 해야 한다 며 양도세 면제 기준 때문에 문의가 늘고 있는데 하루빨리 잘못 표기된 전용면적을 정정해야 수요자들의 혼란이 줄어들 것 이라고 말했다. 12일 국토부에 따르면 국토부는 양도세 면제 대상 확인 여부를 위해 발급하는 1가구1주택자 확인서에 표기되는 전용면적 기준을 건축물대장에 표기된 면적 으로 삼고 있다. 하지만 강동구 둔촌주공 아파트의 경우 건축물대장에 나오는 면적이 실제 전용면적보다 넓게 표기돼 있어 일선 중개업소 및 수요자들이 혼선을 빚고 있는 것으로 밝혀졌다. 둔촌 주공은 대한주택공사가 1980년에 국민주택 규모로 공급한 아파트로 전 가구가 85㎡ 이하이기 때문에 취득시 농어촌특별세 부과 대상에서도 제외된다. 반면 국토부가 운영하는 온나라부동산포털에는 이 아파트의 전용면적이 최대 100㎡까지로 표기돼 있다. 포털에 표기된 대로라면 이 아파트 중 상당수가 면제대상에서 배제되는 것으로 잘못 판단할 수 있는 셈이다. 둔촌동 대일공인 관계자는 둔촌주공이 양도세 수혜 단지임에도 국토부의 전용면적 때문에 헷갈려 하는 민원인들이 많다 며 건축물대장도 온나라부동산포털도 잘못 표기돼 있는 상황 이라고 설명했다. 이 때문에 이 아파트가 양도소득세 면제 아파트인지를 명확히 확인하려면 재산세 과세대장까지 일일이 확인해야 한다. 각 구청에 구축돼 있는 전산상의 면적 기준에 따라 세금을 매기기 때문이다. 강동구청 세무과 관계자는 세무대장에는 전용면적과 공용면적이 명확히 구분돼 있어 이를 보고 세금을 매긴다 며 건축물대장의 면적을 확인하고 세금을 부과하는 것이 아니기 때문에 혼란이 생기면 구청 세무과에 문의해야 한다 고 말했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=011&aid=0002330734,384
362545,2013.05.12. 오후 6:27,부동산,서울경제,금융자산 많으면 공공주택 입주 못한다,자료제출 절차 대폭 간소화 주택법 개정안 하반기 적용 앞으로 토지ㆍ건물 등 부동산이 없더라도 금융자산이 많은 사람은 공공주택 입주가 어려워진다. 또 공공주택을 공급받으려는 수요자는 입주요건을 충족하기 위해 여러 관청을 다니며 서류를 떼지 않아도 될 전망이다. 국토교통부는 4ㆍ1 부동산 대책의 일환으로 이 같은 내용을 담은 주택법 개정안 이 최근 국회를 통과하면서 이르면 올 하반기부터 적용될 예정이라고 12일 밝혔다. 바뀐 법안에 따르면 국토부 장관은 주택을 공급받는 자의 입주자격을 확인하기 위해 관계기관으로부터 관련 자료를 일률적으로 제공받을 수 있게 된다. 특히 자료확인시 지방자치단체의 기존 사회복지통합망 을 이용할 수 있는 근거에 마련됨에 따라 자료 제출 등의 절차가 대폭 간소화될 예정이다. 국토부 관계자는 사회복지사업법에 따라 정보시스템 연계사용 등에 관한 근거를 마련한 것 이라며 자료 제출 등의 절차가 간소화되고 소득ㆍ자산 항목의 확대 등으로 입주자의 자격검증을 강화해 주거복지 서비스개선에 기여할 수 있을 것으로 보인다 고 말했다. 이밖에 개정안에는 금융정보나 신용정보 등 개인정보 보호와 관련해 당사자의 동의서면 제출을 요건으로 하고 관련 정보의 목적외에 사용이나 누설 등을 할 경우 벌칙을 적용하는 방안도 담겼다. 국토부 관계자는 그동안 청약자의 소득과 자산현황을 확인하기 위해서는 청약자가 각종 서류를 제출해야 하고 금융소득이나 전월세 보증금 등을 확인하기 어려운 경우가 많았다 고 말했다. 국토부는 자산범위의 가중치를 어떻게 설정할 것인지 등에 대한 세부지침을 확정해 이르면 하반기에 구체화할 예정이다. 함영진 부동산114 리서치센터장은 고급 외제차를 타는 사람이 공공임대주택에 거주하는 등 그동안 당국에서 부동산 자산만 들여다 볼 수밖에 없어 무주택 서민들과의 형평성 논란이 끊임없이 제기됐다 며 금융자산까지 파악할 수 있게 되면 실수요자들을 대상으로 주택 공급이 가능해져 공정성이 확대될 것 이라고 말했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=011&aid=0002330728,384
362546,2013.05.12. 오후 6:27,부동산,서울경제,민간 국민임대 내년 말 첫선,화성 남양뉴타운에 302가구 공공부문 대신 민간기업이 지어 운영하는 국민임대주택이 이르면 내년 말 첫선을 보인다. 국토교통부는 최근 경기 화성시 남양뉴타운 민간투자사업 BTL 추진을 위한 용역기관으로 한국토지주택공사 LH 산하 토지주택연구원을 선정하고 본격적인 사업 추진에 나설 예정이라고 12일 밝혔다. 이에 따라 토지주택연구원은 앞으로 15개월동안 BTL사업에 대한 시설사업 기본계획수립과 사업계획서 평가 등의 용역을 수행하게 된다. BTL사업이란 민간이 자금을 투입해 시설을 건설하고 완공시점에 소유권을 정부로 이전하는 대신 일정기간의 시설관리운영권을 정부로부터 부여 받아 이 시설을 임대해 유지관리ㆍ운영을 하는 사업방식을 뜻한다. 시범사업으로 추진하는 남양뉴타운 국민임대주택은 302가구 규모로 BTL 사업자는 30년간 시설임대료를 받게 된다. 그동안 도로 등과 같은 사회간접자본 SOC 사업에 민간투자가 이뤄졌지만 임대주택에 민간자본 도입을 시도한 것은 이번이 처음이다. 최근 전월세 시장이 불안해 지고 임대주택 주요 공급자인 LH의 재무구조가 악화됨에 따라 임대주택 공급에 민간자본을 활용하는 방안에 대한 필요성이 꾸준히 제기돼 왔다는 게 국토부의 설명이다. 지난해 말 정부는 한국개발연구원 KDI 연구용역을 통해 BTL사업이 타당성이 있다는 결과를 통보 받았고 국회로부터 남양뉴타운 320가구를 건설하는 사업로 236억원을 배정받은 바 있다. 국토부는 내년까지 사업계획에 대한 골격을 마무리 짓고 이르면 2014년말 착공에 들어갈 예정이다. 국토부 관계자는 현재 LH에서 임대주택 택지를 확보해 놓고 공동주택 계획을 수립하는 단계 라며 통상 주택건설에 24개월에서 26개월 정도가 소요되는 것을 감안하면 2017년 초에 입주가 가능할 것 이라고 말했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=011&aid=0002330723,384
