,date,headline,keyword
0,2006.12.10. 오후 10:03,‘부동산 투자 광풍’ 해외로 확산,"['부동산', '투자', '광풍', '해외', '확산']"
1,2006.12.10. 오후 9:09,고양 삼송지구 2만2천가구로 확대…2009년 분양,"['고양', '삼송', '삼송지구', '지구', '2', '2만2천', '만', '천', '가구', '확대', '2009', '2009년', '년', '분양']"
2,2006.12.10. 오후 8:48,키워드로 읽는 2006 경제 1. 집값 폭등,"['키워드', '2006', '경제', '1', '집값', '폭등']"
3,2006.12.10. 오후 8:21,경·공매시황 연립·다세대·빌라 공매 인기 쑥쑥,"['경', '공매', '공매시황', '시황', '연립', '다세대', '인기']"
4,2006.12.10. 오후 8:21,경·공매 포커스 송파구 가락동 쌍용 아파트 39평형 5억5000만원 外,"['경', '공매', '포커스', '송파', '송파구', '구', '가락', '가락동', '동', '쌍용', '아파트', '39', '39평형', '평', '형', '5', '5억5000만', '억', '5000', '만', '원']"
5,2006.12.10. 오후 8:21,주목 이곳 잠실동 레이크팰리스,"['주목', '이곳', '잠실', '잠실동', '동', '레이크', '레이크팰리스', '팰리스']"
6,2006.12.10. 오후 8:02,검찰 탄현 시행사대표 신병확보 나서,"['검찰', '현', '시', '시행사대표', '행사', '대표', '신병', '신병확보', '확보']"
7,2006.12.10. 오후 8:02,고양 삼송지구 가보니…판교 버금갈 북서부 주거벨트 기대감,"['고양', '삼송', '삼송지구', '지구', '판교', '버금', '북서부', '주거', '주거벨트', '벨트', '기대감']"
8,2006.12.10. 오후 8:02,서울 아파트 평균 분양가 외환위기후 年 19%씩 상승,"['서울', '아파트', '평균', '분양', '외환', '외환위기후', '위기', '후', '19', '상승']"
9,2006.12.10. 오후 8:02,도심 빌딩속에 영어마을,"['도심', '빌딩', '빌딩속', '속', '영어', '영어마을', '마을']"
10,2006.12.10. 오후 8:02,MK 추천매물 용인 단지내상가 3억5천만원,"['추천', '추천매물', '매물', '용인', '단지', '단지내상가', '내', '상가', '3', '3억5천만', '억', '5', '천만', '원']"
11,2006.12.10. 오후 8:02,땅 보상금 66조원…벌써 DJ정부의 두배 넘어,"['땅', '보상금', '66', '66조원', '조', '원', '정부', '배']"
12,2006.12.10. 오후 8:02,수도권에 보상금 11조원 풀린다는데…,"['수도권', '보상금', '11', '11조원', '조', '원', '데']"
13,2006.12.10. 오후 8:02,서정석 용인시장 기흥호수공원 일산처럼 명물될것,[]
14,2006.12.10. 오후 8:02,남산 조망 주상복합 2곳 견본주택 오픈,"['남산', '조망', '주상', '주상복합', '복합', '2', '2곳', '곳', '견본', '견본주택', '주택', '오픈']"
15,2006.12.10. 오후 8:00,주택대출금리 큰폭상승…가계부담도 ‘연중최고’,"['주택', '주택대출금리', '대출', '금리', '폭', '폭상승', '상승', '가계', '가계부담', '부담', '연', '연중최고', '중', '최고']"
16,2006.12.10. 오후 7:59,高분양가 연내 해결 물건너가 ‥ 은평뉴타운 등 무늬만 공영개발,"['분양', '연내', '해결', '물', '물건너', '건너', '평', '평뉴타운', '뉴', '타운', '등', '무늬', '공영', '공영개발', '개발']"
17,2006.12.10. 오후 7:30,국민임대 고양 삼송지구 09년 분양,"['국민', '국민임대', '임대', '고양', '삼송', '삼송지구', '지구', '09', '09년', '년', '분양']"
18,2006.12.10. 오후 7:24,주민들 동탄 분양가 부당이득금 돌려달라 소송 움직임,"['주민', '동', '분', '분양가', '양가', '부당', '부당이득금', '이득금', '소송', '움직임']"
