,total,하락세,하락,급락,내림세,하락…,하락...,하락..
0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
1,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
6,10.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0
7,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
14,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
15,7.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0
16,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,9.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
20,15.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0
21,18.0,1.0,13.0,0.0,1.0,3.0,0.0,0.0
22,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
23,14.0,5.0,7.0,0.0,1.0,1.0,0.0,0.0
24,8.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0
25,6.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
26,15.0,2.0,10.0,2.0,0.0,1.0,0.0,0.0
27,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
28,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
29,11.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0
30,11.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0
31,9.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
32,7.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0
33,11.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0
34,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
35,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,6.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
47,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
48,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
49,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
52,10.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0
53,12.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0
54,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
55,14.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0
56,13.0,6.0,5.0,0.0,2.0,0.0,0.0,0.0
57,24.0,3.0,13.0,2.0,5.0,1.0,0.0,0.0
58,29.0,12.0,15.0,1.0,1.0,0.0,0.0,0.0
59,16.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0
60,18.0,3.0,14.0,0.0,0.0,1.0,0.0,0.0
61,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
62,10.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0
63,14.0,5.0,8.0,0.0,0.0,0.0,0.0,1.0
64,17.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0
65,11.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0
66,18.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0
67,26.0,8.0,14.0,1.0,2.0,1.0,0.0,0.0
68,25.0,2.0,20.0,2.0,0.0,0.0,1.0,0.0
69,25.0,8.0,15.0,1.0,1.0,0.0,0.0,0.0
70,26.0,8.0,15.0,0.0,2.0,1.0,0.0,0.0
71,16.0,3.0,10.0,1.0,1.0,0.0,0.0,1.0
72,14.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0
73,9.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0
74,9.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0
75,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
76,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
77,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
78,7.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0
79,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
80,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
81,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
82,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
83,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
84,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
87,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
