,total,약세,안정세,보합세,보합
0,3.0,2.0,1.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,0.0,1.0,0.0
6,2.0,0.0,2.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,0.0,1.0,0.0
10,1.0,0.0,1.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,1.0,0.0,1.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,2.0,0.0,2.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,4.0,0.0,4.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,1.0,1.0,0.0,0.0,0.0
20,3.0,0.0,3.0,0.0,0.0
21,2.0,0.0,2.0,0.0,0.0
22,1.0,0.0,1.0,0.0,0.0
23,2.0,0.0,1.0,1.0,0.0
24,1.0,0.0,1.0,0.0,0.0
25,4.0,0.0,4.0,0.0,0.0
26,1.0,0.0,0.0,1.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,2.0,1.0,1.0,0.0,0.0
29,8.0,3.0,5.0,0.0,0.0
30,2.0,2.0,0.0,0.0,0.0
31,1.0,1.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
34,2.0,0.0,2.0,0.0,0.0
35,2.0,0.0,1.0,1.0,0.0
36,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0
38,2.0,1.0,0.0,0.0,1.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,1.0,0.0,0.0,0.0,1.0
44,1.0,0.0,1.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,8.0,0.0,7.0,1.0,0.0
48,2.0,0.0,2.0,0.0,0.0
49,3.0,1.0,1.0,1.0,0.0
50,3.0,2.0,1.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,4.0,3.0,1.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0
54,1.0,0.0,0.0,1.0,0.0
55,2.0,1.0,0.0,1.0,0.0
56,0.0,0.0,0.0,0.0,0.0
