,total,상승세,상승,올라,급등,상승…,오름세,상승..,상승...
0,20.0,1.0,9.0,6.0,3.0,1.0,0.0,0.0,0.0
1,16.0,3.0,3.0,3.0,1.0,1.0,5.0,0.0,0.0
2,12.0,2.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0
3,25.0,6.0,8.0,3.0,5.0,0.0,3.0,0.0,0.0
4,25.0,3.0,12.0,9.0,0.0,1.0,0.0,0.0,0.0
5,11.0,2.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0
6,12.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0
7,14.0,0.0,5.0,4.0,4.0,0.0,1.0,0.0,0.0
8,39.0,3.0,19.0,7.0,6.0,1.0,2.0,1.0,0.0
9,22.0,1.0,13.0,5.0,2.0,0.0,1.0,0.0,0.0
10,31.0,6.0,11.0,6.0,5.0,2.0,1.0,0.0,0.0
11,16.0,3.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0
12,14.0,2.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0
13,16.0,6.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0
14,12.0,5.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0
15,14.0,3.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0
16,39.0,4.0,16.0,12.0,4.0,3.0,0.0,0.0,0.0
17,23.0,5.0,5.0,7.0,4.0,1.0,0.0,1.0,0.0
18,13.0,2.0,7.0,1.0,0.0,0.0,3.0,0.0,0.0
19,24.0,9.0,6.0,4.0,2.0,0.0,3.0,0.0,0.0
20,14.0,3.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0
21,30.0,0.0,11.0,9.0,3.0,5.0,2.0,0.0,0.0
22,7.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0
23,13.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0
24,18.0,4.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0
25,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0
27,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
28,8.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
29,14.0,2.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0
30,5.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
31,9.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0
32,6.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
33,5.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0
34,13.0,0.0,7.0,4.0,0.0,1.0,1.0,0.0,0.0
35,18.0,2.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0
36,15.0,1.0,5.0,6.0,2.0,0.0,1.0,0.0,0.0
37,25.0,7.0,10.0,2.0,4.0,0.0,2.0,0.0,0.0
38,26.0,2.0,7.0,7.0,9.0,0.0,1.0,0.0,0.0
39,10.0,2.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0
40,30.0,4.0,15.0,8.0,3.0,0.0,0.0,0.0,0.0
41,23.0,7.0,4.0,5.0,2.0,0.0,5.0,0.0,0.0
42,30.0,3.0,16.0,4.0,7.0,0.0,0.0,0.0,0.0
43,16.0,1.0,5.0,1.0,9.0,0.0,0.0,0.0,0.0
44,29.0,1.0,12.0,10.0,4.0,1.0,1.0,0.0,0.0
45,17.0,6.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0
46,14.0,6.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0
47,30.0,5.0,6.0,7.0,5.0,1.0,3.0,3.0,0.0
48,29.0,4.0,12.0,5.0,6.0,0.0,2.0,0.0,0.0
