,url,comment
2006.09.01. 오후 10:03,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=055&aid=0000078751,"['""이젠 호주다~~ 천혜의 환경을 가진 호주 이젠 호주다. 미국에 비해 훨씬 Affordable 한 가격 그리고 신이 내린 자연....\\r\\n\\r\\n문의 : deftera@hanmail.net""', '""곪아 터진다. 서울에서 경기도 땅을 살려면 가족이 전부 이사와서 일년이상 살아야 한다. 그래야 땅을 살수 있는 자격이 주어진다.\\r\\n그런데 외국은 맘대로사라?\\r\\n그래 부동산 투기잡을려고 하는거 좋다.\\r\\n그러나 투기가 아닌 투자는 살려야 되는거 아닌가?\\r\\n부동산 을 무조건 투기로만 보면 어떻하자는 건가?\\r\\n지금의 정부는 분양원가 공개나 규제등으로 부동산의 근본 을 고치려하지 않고 세금과 억제책으로 정작 썩은곳은 냅두고 피안통하게 막고만 있다. 지금의 억제책은 분명얼마안가 터진다. 부동산급등의 근본원인인 분양가 를 규제하고 공개하라. \\r\\n정작 투기하는 곳은 공기업인 토공이란 생각은 안드는가?\\r\\n토공의 지난해 이익이 얼만줄아나?\\r\\n왜 공기업이 국민을 위해 봉사하지 않고 국민들 돈을 빠는가?\\r\\n국민들 돈으로 장사하는 토공이나, 이 정부... 정말 국민들을 속이고 \\r\\n기만하려고 하는가?\\r\\n정말 답답하다.""', '""미국은 지금 하락기입니다. 위험한 투자입니다. 미국은 지금 하락기입니다. 위험한 투자입니다. 괜히 똥밟지 마세요.""', '""부동산 투자는 기본이 땅을 알아야 하는 것인데 해외 부동산.. 잘 아는 사람이 있나? \\r\\n투자가 아니라 투기 아닌가?""', '""재밌는 나라야 이러다 남의 나라 부동산 흔들어놨다고 욕이나 안먹을런지""']"
2006.09.01. 오후 9:15,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=028&aid=0000168949,"['""한나라소속이 인천시장이니 당연하지 경제특구로 경제살리기보다는\\r\\n집장사해서 제몫챙기겟다?!\\r\\n전형적인 한나라짓거리라\\r\\n별로 놀랍지도 않습니다""', '""왜 부정적으로만 보는지 그져 남 잘되는것 배아파 하는 못된 심보 가진 인간들이 여기도 많구먼...""', '""왜 빨갱이들은 고층건물을 싫어하나? 서울의 100층짜리 여의도 등 각종 건축물 지금까지 100층이상 허가신청한거 빨갱이정권때 모두 허가안났다 그나마 롯데월드 몇년을 지지 끌다가 겨우허가내줘놓고 이제와서 다시 비행기때문에 안된다고.. \\r\\n그런것이 관광산업을 얼마나 일으키는지 아냐?\\r\\n양극화해소는 부자를 잡아 하는게 아니고\\r\\n사회에 돈을 돌게 해서 하는거란다 빨갱이들아.\\r\\n유럽 나라들이 핸드폰이나 반도체도 못만드는데가 왜 선진국인줄\\r\\n아나?\\r\\n관광으로 버는 돈이 엄청나서 가만히만 잇어도 돈이 벌리기 때문이다""', '""미----친 대기업의 국민상대 집장사라. 미치겠구만 .""', '""열뚜당 빨갱이들..집이면 어떻고 사무실이면? 집많이 지어야 값이 떨어질께 아니냐고\\r\\n집이 모자라니 자꾸 투기가 설치지\\r\\n집이 많아봐라... 세금만자꾸 올리지 말고 이렇게 집을 많이지어""', '""151층에 살수나 잇으려나 ;; 킁...킁...킁...킁...킁...킁... (아 왜 10자야 ;;)""', '""저거 되기는 하겠냐? 하나라도 똑바로 밀어라 부산도 인천도 저마다 자기가 금융의 허브니 물류의 중심이니 하니까 정신없다~ 둘다 죽을라고~""', '""가장 좋은 방법은.... 내국인의 취득을 금지하거나 최소한의 비율만 인정해라...\\r\\n안 그럼 또 투기장 된다...""', '""롯데 보다는 멋있군. 디자이너 탓인가? 총수 탓인가?""', '""결론은.. 아파트가 되겠지...시공사도 바보가 아닐바에야 저 좋은걸 비즈니스 센타 짓겠남 ㅋㅋ아파트만들면 평당 일억은 가겠다 ㅋㅋ""', '""이건 인천 송도특구가 국제도시가 돼기는 커녕 단순한 신도시 수준에서 끝날것이라는 조짐이다... 솔직히 지금까지 얼마나 외국기업 유치했냐?""', '""고층빌딩....터무니없이 부족..=엄청난 재앙 우리나라에는 고층빌딩이라고 내놓을것이 스타타워,대한생명빌딩밖에 없다....고층빌딩은 그나라의 경제지표이자 중심이다. 물론 꼭 그것이 비례하지만은 않지만 한국국토와 한국인구수를 가안하면 세계최고의 인구밀도국이다...그런데 정작 고층아파트,빌딩은 인구밀도가 낮은나라에 있고 우리나라는 \'항공에 문제가생긴다\' \'사적경치\' \'비용이 얼마다\'등등의 소수인들의 쓰잘데기 없는 바보같은 소리로 건축취소,심지어 검토절차도 망쳐놓는경우가 많다. 과연 외국나라에서는 과연 심심하게..아니, .외국에 자랑할려고 그런 큰돈을 들였을까??? 그정도로 바보인가?""', '""저게 집이가? 피뢰침이지\\r\\n벼락 무쟈게맞겠네..""', '""돈 낭비 돈 낭비 제대로 하려고 하네 ㅋ""', '""누가 입주나 하겠나? 아파트든 업무용이든 누가 와서 살겠나..\\r\\n우리나라가 미국인줄 아나..\\r\\n다지으면 아마 임대 깃발만 휘날릴듯..""']"
2006.09.01. 오후 9:08,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=019&aid=0000153344,[]
2006.09.01. 오후 8:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=001&aid=0001399692,[]
2006.09.01. 오후 6:54,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=028&aid=0000168874,[]
2006.09.01. 오후 6:53,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=008&aid=0000697243,[]
2006.09.01. 오후 6:48,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=011&aid=0000147433,[]
2006.09.01. 오후 6:39,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=032&aid=0000190692,[]
2006.09.01. 오후 6:33,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=011&aid=0000147417,[]
2006.09.01. 오후 5:56,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=003&aid=0000169077,[]
2006.09.01. 오후 5:43,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=015&aid=0000916816,[]
2006.09.01. 오후 5:42,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=015&aid=0000916762,[]
2006.09.01. 오후 5:41,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=015&aid=0000916826,[]
2006.09.01. 오후 5:41,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=009&aid=0000528041,"['""판교 동양엔파트 입주자 모임 카페 많은참여 다음 카페 아래 주소에 카페가 있습니다.\\r\\n입주 예정자분들의 많은 참여 바랍니다.\\r\\nhttp://cafe.daum.net/pangyonpart""', '""그래서 건설사 돈 뜯어먹는 브로커들이 생기지 우리아파트도 잘은 모르지만 입주동호회만들어놓코 아마도 동호회장이 브로커같아....이그""']"
2006.09.01. 오후 5:40,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=015&aid=0000916817,[]
2006.09.01. 오후 5:35,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=015&aid=0000916776,[]
2006.09.01. 오후 5:33,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=015&aid=0000916821,[]
2006.09.01. 오후 5:23,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=008&aid=0000697213,[]
2006.09.01. 오후 5:22,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=001&aid=0001399605,"['""10년동안 팔지도 못하는 제품을... 왜들 살려고 바둥대는지 분양가는 엄청나게 비싼데...ㅉㅉㅉ""']"
2006.09.01. 오후 5:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=009&aid=0000528018,[]
2006.09.01. 오후 5:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=009&aid=0000528017,[]
2006.09.01. 오후 5:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=009&aid=0000528016,[]
2006.09.01. 오후 5:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=009&aid=0000528012,[]
2006.09.01. 오후 5:08,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=009&aid=0000528003,"['""3건설사들 다 분양에는 성공하겠지만.. 용인에서는 다른 브랜드보다 GS자이(예전 LG빌리지)를 가장 선호합니다. 시세도 가장 높고 선호도도 높고...참!! 그리고 3곳 분양해도 죽전GS자이 명성은 못딸아갈듯..골프장 조망권을 아시나? ㅋ""']"
2006.09.01. 오후 5:08,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=016&aid=0000219138,[]
2006.09.01. 오후 4:59,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=001&aid=0001907011,[]
2006.09.01. 오후 4:59,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=130&aid=0000010682,"['""부동산 부자들만 모아놓고 토론했구나! 어떡하면 부동산 부자가 더되나하고 연구중 이로구나!..\\r\\n한나라당은 누가 뭐라해도 부동산 부자들만 모인당!!!!!\\r\\n무조건 종부세부터 무용지물 만들려고 하는구나!""']"
2006.09.01. 오후 4:07,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=008&aid=0000697180,[]
2006.09.01. 오후 3:46,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=008&aid=0000697167,[]
2006.09.01. 오후 3:41,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=021&aid=0000162924,[]
2006.09.01. 오후 3:36,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=014&aid=0000242408,[]
2006.09.01. 오후 3:25,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=018&aid=0000412161,"['""국민혈세! 국민의 돈은 국민에게 돌려줘야지!,,,,,,,""', '""임대주택이 투자대상입니까?` 도대체 얼마나 임대료와 보증금을 올리려합니까?\\r\\n지금 임대주택이 임대주택입니까? \\r\\n판교임대주택이 임대주택입니까?\\r\\n서민을 위한 임대주택을 가지고 정부에서 서민돈으로 투자합니까?\\r\\n국민연금이 앞으로 뻔히 조단위의 금액이 필요할텐데 그돈을 임대주택에서 빼내려면 임대료를 절대로 내리지 않겠네요.\\r\\n그리고 투자라면 돈을 벌어야 하는것인데 임대주택이 돈버는 대상입니까?\\r\\n그래서 무슨 부동산 안정입니까 누가 비싼 임대주택들어오려 하겠습니까?\\r\\n그러면 부동산 악순환 뻔한것 아닙니까? 유시민 장관님 임대주택에 살아보셨습니까?""']"
2006.09.01. 오후 2:35,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=019&aid=0000153313,"['""기사 제목을 정확하게 해주셔야죠. 한나라당 주최로 열린 \'8.31 대책 시행 1년 토론회\' 실패""']"
2006.09.01. 오후 2:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=009&aid=0000527885,[]
2006.09.01. 오후 2:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=009&aid=0000527882,[]
2006.09.01. 오후 2:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=016&aid=0000219139,[]
2006.09.01. 오후 2:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=016&aid=0000219137,[]
2006.09.01. 오후 2:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=016&aid=0000219136,[]
2006.09.01. 오후 2:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=016&aid=0000219135,[]
2006.09.01. 오후 2:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=016&aid=0000219134,[]
2006.09.01. 오후 2:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=016&aid=0000219128,[]
2006.09.01. 오후 2:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=016&aid=0000219127,[]
2006.09.01. 오후 2:01,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=003&aid=0000168752,[]
2006.09.01. 오후 2:00,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=008&aid=0000697110,[]
2006.09.01. 오후 1:50,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=015&aid=0000916722,[]
2006.09.01. 오후 1:37,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=215&aid=0000001454,[]
2006.09.01. 오후 12:42,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=055&aid=0000078713,[]
2006.09.01. 오후 12:11,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=003&aid=0000168648,[]
2006.09.01. 오전 11:56,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=003&aid=0000168629,[]
2006.09.01. 오전 11:36,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=003&aid=0000168597,[]
2006.09.01. 오전 11:35,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=008&aid=0000697045,[]
2006.09.01. 오전 11:23,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=001&aid=0001399130,[]
2006.09.01. 오전 11:21,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=003&aid=0000168563,[]
2006.09.01. 오전 11:16,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=260&oid=003&aid=0000168555,[]
