,count
0,1631
1,1575
2,1524
3,1272
4,1222
5,1377
6,1401
7,1265
8,1092
9,1151
10,1120
11,1390
12,1395
13,1640
14,1311
15,1108
16,1099
17,1164
18,990
19,1041
20,1069
21,1242
22,1263
23,1510
24,1454
25,1475
26,1392
27,1176
28,1206
29,1267
30,1184
31,1034
32,936
33,1265
34,1163
35,1398
36,1429
37,1512
38,1407
39,1336
40,1265
41,1224
42,1337
43,1380
44,1223
45,1444
46,1536
47,1669
48,1816
49,1585
50,1584
51,1364
52,1207
53,1189
54,1352
55,1183
56,974
57,1473
58,1272
59,1545
60,1539
61,1309
62,1311
63,1131
64,1397
65,1099
66,1204
67,1180
68,1101
69,1446
70,1425
71,1760
72,1304
73,1526
74,1236
75,1130
76,1150
77,1063
78,1218
79,1278
80,1291
81,1109
82,1403
83,1617
84,1490
85,1301
86,1476
87,1039
88,1250
89,1119
90,1110
91,1119
92,1122
93,1565
94,1657
95,1588
96,1537
97,1319
98,1333
99,1168
100,1172
101,1144
102,1224
103,1614
104,1079
105,1454
106,1540
107,1886
108,1387
109,1446
110,1013
111,1017
112,1308
113,1483
114,1391
115,1032
116,955
117,1164
118,1195
119,1009
