,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,보증금액,월세금액
0,11305,미아동,2011-01-01,벽산라이브파크,1354,114.68,10,2004,20000,0
1,11305,미아동,2011-01-03,벽산라이브파크(임대),1354-1,32.94,11,2004,741,11
2,11305,미아동,2011-01-03,에스케이북한산시티,1353,114.85,6,2004,20000,0
3,11305,미아동,2011-01-03,벽산라이브파크(임대),1354-1,32.94,1,2004,741,11
4,11305,미아동,2011-01-03,삼각산아이원(임대),1357-2,24.053,8,2003,631,7
5,11305,미아동,2011-01-04,에스케이북한산시티,1353,59.98,21,2004,15000,0
6,11305,미아동,2011-01-04,현대(190-2),190-2,84.91,4,1992,5000,80
7,11305,미아동,2011-01-04,현대캐슬,133-12,66.71,4,2008,15000,0
8,11305,미아동,2011-01-04,삼성래미안트리베라2단지,812,84.29,13,2010,22000,0
9,11305,미아동,2011-01-05,에스케이북한산시티,1353,84.76,4,2004,8000,55
10,11305,미아동,2011-01-05,에스케이북한산시티,1353,84.86,8,2004,4000,85
11,11305,미아동,2011-01-05,미아1차래미안,797,59.9,4,2006,16500,0
12,11305,미아동,2011-01-05,미아동부센트레빌,474,59.96,7,2006,20000,0
13,11305,미아동,2011-01-05,삼각산아이원,1357,84.705,4,2003,16000,0
14,11305,미아동,2011-01-05,삼각산아이원,1357,114.88,12,2003,21000,0
15,11305,미아동,2011-01-05,벽산라이브파크,1354,114.68,6,2004,18000,0
16,11305,미아동,2011-01-06,미아동부센트레빌,474,84.93,9,2006,22000,0
17,11305,미아동,2011-01-06,벽산라이브파크,1354,114.68,8,2004,19000,0
18,11305,미아동,2011-01-06,래미안트리베라1단지,813,84.97,8,2010,22000,0
19,11305,미아동,2011-01-06,미아동부센트레빌,474,84.93,4,2006,25000,0
20,11305,미아동,2011-01-06,삼성래미안트리베라2단지,812,59.38,20,2010,6000,75
21,11305,미아동,2011-01-06,미아동부센트레빌,474,84.93,11,2006,13000,80
22,11305,미아동,2011-01-07,래미안트리베라2단지(임대),812,42.2,12,2010,2605,26
23,11305,미아동,2011-01-07,에스케이북한산시티,1353,114.85,19,2004,13000,0
24,11305,미아동,2011-01-07,경남아너스빌,796,84.9134,9,2008,20000,0
