,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,보증금액,월세금액
0,11620,남현동,2011-01-03,관악산대창센시티,1137,80.26,6,2005,23000,0
1,11620,남현동,2011-01-06,남현동한일유앤아이,1136,84.99,8,2005,27000,0
2,11620,남현동,2011-01-09,예성그린캐슬1차,1084-1,63.43,10,2003,10000,0
3,11620,남현동,2011-01-10,우림루미아트,1135,84.53,6,2004,30000,0
4,11620,남현동,2011-01-10,e산이랑,602-153,142.02,1,2006,32000,0
5,11620,남현동,2011-01-15,삼성홈타운,602-200,98.76,6,2000,33000,0
6,11620,남현동,2011-01-15,예촌그린,1072-46,99.84,3,2004,26000,0
7,11620,남현동,2011-01-21,예성2차그린캐슬,1134,84.1,3,2004,27000,0
8,11620,남현동,2011-01-22,흥화브라운빌,1132,84.95,2,2003,26000,0
9,11620,남현동,2011-01-24,예성2차그린캐슬,1134,84.33,2,2004,27000,0
10,11620,남현동,2011-01-28,우림루미아트,1135,84.51,3,2004,28000,0
11,11620,남현동,2011-01-28,양지빌라트,602-212,155.91,5,2000,35000,0
12,11620,남현동,2011-01-29,문영마운틴,1072-57,83.27,4,2003,21000,0
13,11620,남현동,2011-01-31,예성그린캐슬III,1133,84.38,5,2003,27000,0
14,11620,봉천동,2011-01-01,관악드림(삼성),1712,84.96,12,2003,20000,0
15,11620,봉천동,2011-01-01,관악드림(삼성),1712,59.83,26,2003,17000,0
16,11620,봉천동,2011-01-01,새진 (1653-10),1653-10,58.82,5,2003,16000,0
17,11620,봉천동,2011-01-01,봉천우성,1706,84.96,12,2000,25000,0
18,11620,봉천동,2011-01-02,관악푸르지오,1717,59.58,18,2004,3000,90
19,11620,봉천동,2011-01-02,현대(관악),1000,116.72,1,1992,1500,25
20,11620,봉천동,2011-01-02,관악드림(동아),1712,59.85,4,2003,5000,70
21,11620,봉천동,2011-01-03,관악푸르지오(임대),1717-1,32.37,4,2004,3040,0
22,11620,봉천동,2011-01-03,벽산블루밍,1718,59.99,21,2005,11000,0
23,11620,봉천동,2011-01-03,관악드림타운(임대),1712-1,32.76,15,2003,614,9
24,11620,봉천동,2011-01-03,관악드림타운(임대),1712-1,32.76,9,2003,1031,14
25,11620,봉천동,2011-01-03,현대(관악),1000,68.8,7,1992,17000,0
26,11620,봉천동,2011-01-03,봉천우성,1706,114.78,12,2000,26000,0
27,11620,봉천동,2011-01-03,두산,1708,84.87,16,2000,26000,0
28,11620,봉천동,2011-01-03,관악드림(삼성),1712,84.96,2,2003,23000,0
