,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,보증금액,월세금액
0,11215,광장동,2011-01-01,현대5,554-7,59.67,19,1989,21500,0
1,11215,광장동,2011-01-01,상록타워아파트,570,59.4,10,1997,3100,0
2,11215,광장동,2011-01-03,"현대8(801동,802동)",565,84.92,15,1995,32000,0
3,11215,광장동,2011-01-03,신동아파밀리에,250,84.78,7,2007,34000,0
4,11215,광장동,2011-01-03,광나루현대,567,84.92,13,1996,10000,95
5,11215,광장동,2011-01-04,광장11현대홈타운,579,84.94,1,2003,45000,0
6,11215,광장동,2011-01-04,현대3,484,84.97,9,1990,32500,0
7,11215,광장동,2011-01-04,삼성광장2,453-1,84.66,3,1989,30000,0
8,11215,광장동,2011-01-04,청구,566,59.95,8,1996,23000,0
9,11215,광장동,2011-01-04,현대파크빌,577,84.81,1,2000,31500,0
10,11215,광장동,2011-01-04,극동2,218-1,84.55,11,1989,28000,0
11,11215,광장동,2011-01-04,청구,566,59.95,3,1996,23000,0
12,11215,광장동,2011-01-05,현대3,484,59.67,21,1990,22000,0
13,11215,광장동,2011-01-05,신동아파밀리에,250,84.69,1,2007,22000,0
14,11215,광장동,2011-01-05,광장자이,581,158.26,6,2008,58000,0
15,11215,광장동,2011-01-05,광장자이,581,158.26,12,2008,40000,0
16,11215,광장동,2011-01-06,광장현대9단지,576,84.96,3,1999,32000,0
17,11215,광장동,2011-01-06,금호베스트빌,578,84.91,20,2001,30000,0
18,11215,광장동,2011-01-06,현대5,554-7,84.53,10,1989,34000,0
19,11215,광장동,2011-01-06,현대3,484,84.97,2,1990,28500,0
20,11215,광장동,2011-01-07,청구,566,84.86,10,1996,32000,0
21,11215,광장동,2011-01-07,삼성광장1,561,79.53,5,1987,26000,0
22,11215,광장동,2011-01-07,현대5,554-7,59.67,19,1989,23000,0
23,11215,광장동,2011-01-08,현대3,484,59.67,1,1990,22000,0
24,11215,광장동,2011-01-08,현대3,484,84.97,6,1990,33000,0
25,11215,광장동,2011-01-08,극동2,218-1,75.55,7,1989,25000,0
26,11215,광장동,2011-01-08,광장11현대홈타운,579,84.94,2,2003,42000,0
27,11215,광장동,2011-01-08,삼성광장1,561,66.03,14,1987,24000,0
28,11215,광장동,2011-01-08,청구,566,59.95,12,1996,22000,0
29,11215,광장동,2011-01-08,극동1,218-1,84.55,8,1985,28000,0
30,11215,광장동,2011-01-08,극동2,218-1,84.55,7,1989,27000,0
31,11215,광장동,2011-01-10,현대파크빌,577,84.81,25,2000,29000,0
32,11215,광장동,2011-01-10,현대3,484,84.97,11,1990,35000,0
33,11215,광장동,2011-01-10,현대8(803동),569,59.94,17,1996,5000,90
34,11215,광장동,2011-01-10,광장11현대홈타운,579,84.94,2,2003,10000,220
35,11215,광장동,2011-01-10,청구,566,59.95,17,1996,23000,0
36,11215,광장동,2011-01-10,극동2,218-1,84.55,4,1989,27000,0
37,11215,광장동,2011-01-11,금호베스트빌,578,84.91,7,2001,27000,0
38,11215,광장동,2011-01-11,현대파크빌,577,84.81,11,2000,35000,0
39,11215,광장동,2011-01-11,현대5,554-7,59.67,8,1989,14000,40
40,11215,광장동,2011-01-11,극동2,218-1,84.55,11,1989,20000,40
41,11215,광장동,2011-01-11,워커힐,145-8,226.45,3,1978,45000,0
42,11215,광장동,2011-01-11,워커힐,145-8,162.41,7,1978,48000,0
43,11215,광장동,2011-01-12,청구,566,84.86,8,1996,31000,0
44,11215,광장동,2011-01-12,청구,566,59.95,3,1996,22000,0
45,11215,광장동,2011-01-12,현대3,484,84.97,17,1990,32000,0
46,11215,광장동,2011-01-12,극동2,218-1,75.55,5,1989,25000,0
47,11215,광장동,2011-01-12,극동1,218-1,84.55,5,1985,23000,0
48,11215,광장동,2011-01-12,금호베스트빌,578,84.91,12,2001,30000,0
49,11215,광장동,2011-01-12,극동1,218-1,126.94,7,1985,44000,0
50,11215,광장동,2011-01-13,청구,566,59.95,9,1996,24000,0
51,11215,광장동,2011-01-13,현대파크빌,577,84.81,22,2000,22000,0
52,11215,광장동,2011-01-13,현대파크빌,577,84.81,7,2000,21000,50
53,11215,광장동,2011-01-14,광장현대9단지,576,84.96,19,1999,32000,0
54,11215,광장동,2011-01-14,광장현대9단지,576,84.96,19,1999,31000,0
55,11215,광장동,2011-01-14,현대5,554-7,59.67,15,1989,23000,0
56,11215,광장동,2011-01-14,현대3,484,59.67,16,1990,5000,85
57,11215,광장동,2011-01-15,현대홈타운12차,580,147.23,15,2004,60000,0
58,11215,광장동,2011-01-15,광장11현대홈타운,579,84.94,2,2003,42000,0
59,11215,광장동,2011-01-15,현대5,554-7,84.56,9,1989,35000,0
60,11215,광장동,2011-01-15,광장현대9단지,576,84.96,1,1999,30000,0
61,11215,광장동,2011-01-15,연세리버빌6차,184-1,207.2,10,1997,8000,0
62,11215,광장동,2011-01-15,현대파크빌,577,59.76,7,2000,25000,0
63,11215,광장동,2011-01-15,현대3,484,84.97,2,1990,31000,0
64,11215,광장동,2011-01-15,극동2,218-1,84.55,14,1989,29000,0
65,11215,광장동,2011-01-16,현대5,554-7,59.67,15,1989,5000,100
66,11215,광장동,2011-01-16,"현대8(801동,802동)",565,84.92,21,1995,21000,70
67,11215,광장동,2011-01-17,현대홈타운12차,580,143.86,9,2004,57000,0
68,11215,광장동,2011-01-17,동북아스위트힐(107),107,84.64,4,2006,20000,0
69,11215,광장동,2011-01-17,현대파크빌,577,84.81,16,2000,27000,0
70,11215,광장동,2011-01-17,현대3,484,84.97,13,1990,27000,0
71,11215,광장동,2011-01-17,청구,566,84.86,15,1996,31500,0
72,11215,광장동,2011-01-17,청구,566,59.95,9,1996,22000,0
73,11215,광장동,2011-01-18,극동2,218-1,84.55,10,1989,10000,100
74,11215,광장동,2011-01-18,삼성광장1,561,66.03,6,1987,4200,113
75,11215,광장동,2011-01-18,광장현대9단지,576,84.96,14,1999,20000,55
76,11215,광장동,2011-01-18,현대파크빌,577,84.51,15,2000,32000,0
77,11215,광장동,2011-01-19,현대5,554-7,74.88,8,1989,5000,147
78,11215,광장동,2011-01-19,광장현대9단지,576,59.97,4,1999,26000,0
79,11215,광장동,2011-01-19,신동아파밀리에,250,84.55,7,2007,35000,0
80,11215,광장동,2011-01-19,현대파크빌,577,59.55,2,2000,24000,0
81,11215,광장동,2011-01-19,현대3,484,84.97,10,1990,31500,0
82,11215,광장동,2011-01-19,극동2,218-1,84.55,11,1989,17000,50
83,11215,광장동,2011-01-21,신동아파밀리에,250,84.69,4,2007,30000,0
84,11215,광장동,2011-01-21,현대5,554-7,59.67,11,1989,23000,0
85,11215,광장동,2011-01-21,워크힐팰리스,125,104.42,3,2005,31000,0
86,11215,광장동,2011-01-21,동북아스위트힐(107),107,84.63,2,2006,20000,0
87,11215,광장동,2011-01-22,청구,566,59.95,3,1996,20500,0
88,11215,광장동,2011-01-22,청구,566,59.95,17,1996,22000,0
89,11215,광장동,2011-01-22,현대5,554-7,84.53,13,1989,32000,0
90,11215,광장동,2011-01-22,광장현대9단지,576,59.97,13,1999,25000,0
91,11215,광장동,2011-01-22,현대3,484,84.97,4,1990,32000,0
92,11215,광장동,2011-01-24,현대8(803동),569,59.94,4,1996,23000,0
93,11215,광장동,2011-01-24,청구,566,84.86,18,1996,27000,0
94,11215,광장동,2011-01-24,청구,566,84.86,22,1996,30000,0
95,11215,광장동,2011-01-24,현대3,484,84.97,9,1990,33000,0
96,11215,광장동,2011-01-24,현대5,554-7,59.67,15,1989,6000,80
97,11215,광장동,2011-01-24,현대3,484,59.67,13,1990,14000,0
98,11215,광장동,2011-01-25,신동아파밀리에,250,84.69,5,2007,33000,0
99,11215,광장동,2011-01-25,광장자이,581,125.89,8,2008,52000,0
100,11215,광장동,2011-01-25,금호베스트빌,578,84.91,8,2001,30000,0
