,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,보증금액,월세금액
0,11545,가산동,2011-01-10,주상복합두산,772,59.25,9,1998,12000,0
1,11545,가산동,2011-01-15,두산,769,59.84,9,1998,15000,0
2,11545,가산동,2011-01-15,삼익,234-46,84.69,10,1998,18000,0
3,11545,가산동,2011-01-17,드림캐슬,235-57,79.17,4,2004,13000,0
4,11545,가산동,2011-01-20,두산,769,134.95,8,1998,22000,0
5,11545,가산동,2011-01-20,두산,769,59.84,23,1998,15500,0
6,11545,가산동,2011-01-24,두산,769,84.9,1,1998,17000,0
7,11545,가산동,2011-01-29,주상복합두산,772,47.15,9,1998,9500,0
8,11545,가산동,2011-01-30,두산,769,59.84,13,1998,16000,0
9,11545,가산동,2011-01-30,두산,769,134.95,4,1998,22000,0
10,11545,가산동,2011-01-31,주상복합두산,772,59.25,7,1998,12000,0
11,11545,독산동,2011-01-01,독산주공14단지,1088,44.94,13,1990,3000,30
12,11545,독산동,2011-01-04,한신아파트,1093-4,89.46,11,1991,16000,0
13,11545,독산동,2011-01-06,독산주공14단지,1088,38.64,10,1990,8100,0
14,11545,독산동,2011-01-06,금천현대,711-2,84.83,16,2002,15000,0
15,11545,독산동,2011-01-07,금천현대,711-2,84.83,1,2002,14000,0
16,11545,독산동,2011-01-08,독산동중앙하이츠빌,1140,84.8768,22,2004,18000,0
17,11545,독산동,2011-01-08,진도2차,1133,84.58,14,1997,17000,0
18,11545,독산동,2011-01-10,한신아파트,1093-4,89.46,11,1991,2000,80
19,11545,독산동,2011-01-10,독산동중앙하이츠빌,1140,84.8768,2,2004,17000,0
20,11545,독산동,2011-01-10,독산주공14단지,1088,38.64,1,1990,8000,0
21,11545,독산동,2011-01-11,금천현대,711-2,84.83,11,2002,15000,0
22,11545,독산동,2011-01-12,독산동중앙하이츠빌,1140,84.8768,14,2004,18000,0
23,11545,독산동,2011-01-12,독산동중앙하이츠빌,1140,84.8768,11,2004,19500,0
24,11545,독산동,2011-01-12,한신아파트,1093-4,89.46,13,1991,17000,0
25,11545,독산동,2011-01-14,독산동중앙하이츠빌,1140,84.8768,7,2004,7000,70
26,11545,독산동,2011-01-14,한신아파트,1093-4,89.46,5,1991,15000,0
27,11545,독산동,2011-01-15,금천현대,711-2,59.82,4,2002,13000,0
28,11545,독산동,2011-01-17,독산주공14단지,1088,84.79,10,1990,14000,0
29,11545,독산동,2011-01-17,금천현대,711-2,84.83,4,2002,15300,0
30,11545,독산동,2011-01-17,독산주공14단지,1088,59.22,10,1990,13000,0
31,11545,독산동,2011-01-19,독산동중앙하이츠빌,1140,84.8768,11,2004,34000,0
32,11545,독산동,2011-01-19,독산동중앙하이츠빌,1140,84.8768,20,2004,18000,0
33,11545,독산동,2011-01-21,독산동중앙하이츠빌,1140,84.8768,18,2004,18000,0
34,11545,독산동,2011-01-21,독산주공14단지,1088,44.94,6,1990,8000,0
35,11545,독산동,2011-01-21,진도3차아파트,1136,79.71,14,1999,14000,0
36,11545,독산동,2011-01-22,독산동중앙하이츠빌,1140,84.8768,10,2004,17500,0
37,11545,독산동,2011-01-22,독산동중앙하이츠빌,1140,84.8768,6,2004,17000,0
38,11545,독산동,2011-01-23,각산,1093-5,84.78,10,2002,15500,0
39,11545,독산동,2011-01-23,진도3차아파트,1136,79.71,18,1999,16000,0
40,11545,독산동,2011-01-24,독산동중앙하이츠빌,1140,84.8768,11,2004,1000,30
41,11545,독산동,2011-01-24,이랜드해가든,1143,84.927,6,2008,15000,0
42,11545,독산동,2011-01-26,독산동중앙하이츠빌,1140,84.8768,21,2004,19000,0
43,11545,독산동,2011-01-26,독산주공13단지,1088-1,40.32,2,1990,309,0
44,11545,독산동,2011-01-27,한아프라임102동,147-1,84.95,4,2004,17000,0
45,11545,독산동,2011-01-27,독산동중앙하이츠빌,1140,84.8768,16,2004,14200,0
46,11545,독산동,2011-01-28,진도1차,1002,59.94,6,1996,12000,0
47,11545,독산동,2011-01-28,을미월드힐,958,84.87,4,2006,17500,0
48,11545,독산동,2011-01-31,동심,184-4,84.3668,5,2003,16000,0
49,11545,독산동,2011-01-31,이랜드해가든,1143,84.927,9,2008,18000,0
50,11545,시흥동,2011-01-01,관악산벽산타운5,1013,114.84,15,2004,20000,0
51,11545,시흥동,2011-01-01,백운한비치,1012,78.1642,5,2003,16000,0
52,11545,시흥동,2011-01-03,삼익,05월 13일,59.9,5,1999,13000,0
53,11545,시흥동,2011-01-03,삼익,05월 13일,114.48,13,1999,19000,0
54,11545,시흥동,2011-01-04,관악산벽산타운5,1013,114.84,3,2004,19000,0
55,11545,시흥동,2011-01-04,벽산,1010,114.84,11,2000,19000,0
56,11545,시흥동,2011-01-04,현대(220-2),220-2,49.14,2,1984,6000,0
57,11545,시흥동,2011-01-04,관악산벽산타운5,1013,59.34,13,2004,13700,0
58,11545,시흥동,2011-01-04,관악산벽산타운5,1013,84.97,3,2004,17000,0
59,11545,시흥동,2011-01-05,삼익,05월 13일,59.9,2,1999,12000,0
60,11545,시흥동,2011-01-06,시흥베르빌,1015,58.96,5,2004,15000,0
61,11545,시흥동,2011-01-06,한빛무궁화101동,1016,68.309,9,2004,15000,0
62,11545,시흥동,2011-01-07,삼익,05월 13일,114.48,9,1999,19500,0
63,11545,시흥동,2011-01-08,남서울건영2,384-12,41.34,5,1989,7000,0
64,11545,시흥동,2011-01-08,남서울건영2,384-12,41.34,11,1989,7500,0
65,11545,시흥동,2011-01-08,무지개,109-1,53.75,3,1980,7500,0
