,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,보증금액,월세금액
0,11320,도봉동,2011-01-03,서원,641,24.05,17,1996,603,8
1,11320,도봉동,2011-01-03,중흥에스-클래스,Dec-51,84.951,9,2004,18000,0
2,11320,도봉동,2011-01-04,도봉산리베니움,571,84.19,2,2004,2000,0
3,11320,도봉동,2011-01-04,동아에코빌,654,84.967,21,2003,16000,0
4,11320,도봉동,2011-01-04,한신,01월 30일,84.94,16,1995,15000,0
5,11320,도봉동,2011-01-04,한신,01월 30일,84.94,10,1995,15000,0
6,11320,도봉동,2011-01-04,한신,01월 30일,84.94,1,1995,13500,0
7,11320,도봉동,2011-01-04,한신,01월 30일,84.94,9,1995,15000,0
8,11320,도봉동,2011-01-05,삼환도봉,87,73.89,13,1987,4000,65
9,11320,도봉동,2011-01-05,신도봉,588,58.44,2,1994,2000,50
10,11320,도봉동,2011-01-06,동아에코빌,654,84.967,8,2003,12000,0
11,11320,도봉동,2011-01-06,유원도봉,83,84.93,7,1990,13000,0
12,11320,도봉동,2011-01-07,서원,641,49.77,9,1996,11000,0
13,11320,도봉동,2011-01-07,한신,01월 30일,84.94,8,1995,3000,80
14,11320,도봉동,2011-01-07,도봉파크빌3,644,84.336,5,2002,18000,0
15,11320,도봉동,2011-01-08,서원,641,39.85,5,1996,8500,0
16,11320,도봉동,2011-01-08,한신,01월 30일,84.94,5,1995,5000,60
17,11320,도봉동,2011-01-10,래미안도봉,655,59.25,15,2005,16000,0
18,11320,도봉동,2011-01-10,래미안도봉,655,59.25,18,2005,17000,0
19,11320,도봉동,2011-01-10,현대성우,642,59.04,17,1998,12000,0
20,11320,도봉동,2011-01-11,동아에코빌,654,84.967,2,2003,15000,0
21,11320,도봉동,2011-01-11,동아에코빌,654,84.967,2,2003,16000,0
22,11320,도봉동,2011-01-11,서광,643,59.58,4,1999,11500,0
23,11320,도봉동,2011-01-11,서원,641,49.77,12,1996,3000,45
24,11320,도봉동,2011-01-13,서울가든,555,75.33,2,1987,10000,0
25,11320,도봉동,2011-01-13,한양수자인,657,84.99,6,2010,18000,0
26,11320,도봉동,2011-01-13,한신,01월 30일,84.94,4,1995,15000,0
27,11320,도봉동,2011-01-13,한신,01월 30일,84.94,2,1995,14000,0
28,11320,도봉동,2011-01-13,현대성우,642,59.92,12,1998,5000,50
29,11320,도봉동,2011-01-13,서원,641,59.76,12,1996,12000,0
30,11320,도봉동,2011-01-15,삼환도봉,87,73.89,4,1987,12000,0
31,11320,도봉동,2011-01-15,삼환도봉,87,73.89,1,1987,2000,55
32,11320,도봉동,2011-01-15,한신,01월 30일,84.94,3,1995,14000,0
33,11320,도봉동,2011-01-15,동아에코빌,654,84.967,3,2003,16000,0
34,11320,도봉동,2011-01-15,서광,643,59.91,6,1999,12000,0
35,11320,도봉동,2011-01-15,삼환도봉,87,73.89,11,1987,12000,0
36,11320,도봉동,2011-01-17,서원,641,49.77,9,1996,11000,0
37,11320,도봉동,2011-01-17,서광,643,59.25,7,1999,12000,0
38,11320,도봉동,2011-01-17,한신,01월 30일,84.94,2,1995,15500,0
39,11320,도봉동,2011-01-17,중흥에스-클래스,Dec-51,84.951,6,2004,17000,0
40,11320,도봉동,2011-01-17,럭키,595,84.86,3,1992,13000,0
41,11320,도봉동,2011-01-17,한신,01월 30일,84.94,4,1995,16000,0
42,11320,도봉동,2011-01-17,한신,01월 30일,84.94,13,1995,14500,0
43,11320,도봉동,2011-01-18,한신,01월 30일,84.94,17,1995,15500,0
44,11320,도봉동,2011-01-19,한신,01월 30일,84.94,13,1995,15000,0
45,11320,도봉동,2011-01-20,한신,01월 30일,84.94,11,1995,14500,0
46,11320,도봉동,2011-01-21,삼환도봉,87,83.97,10,1987,13000,0
47,11320,도봉동,2011-01-21,럭키,595,84.86,12,1992,15000,0
48,11320,도봉동,2011-01-21,래미안도봉,655,84.55,17,2005,21000,0
49,11320,도봉동,2011-01-22,양우내안애,656,84.92,10,2005,17000,0
50,11320,도봉동,2011-01-22,서울가든,555,75.33,4,1987,12000,0
51,11320,도봉동,2011-01-22,서원,641,49.77,10,1996,11000,0
52,11320,도봉동,2011-01-22,서원,641,59.51,1,1996,12000,0
53,11320,도봉동,2011-01-22,한신,01월 30일,84.94,8,1995,6000,60
54,11320,도봉동,2011-01-24,서원,641,59.76,18,1996,12000,0
55,11320,도봉동,2011-01-24,한양수자인,657,84.99,8,2010,20000,0
56,11320,도봉동,2011-01-24,한양수자인,657,84.46,9,2010,14000,0
57,11320,도봉동,2011-01-25,한신,01월 30일,84.94,11,1995,16000,0
58,11320,도봉동,2011-01-26,서울가든,555,75.33,7,1987,10000,20
59,11320,도봉동,2011-01-26,럭키,595,84.86,3,1992,16000,0
60,11320,도봉동,2011-01-26,서원,641,49.77,16,1996,10000,0
61,11320,도봉동,2011-01-26,서원,641,40.02,9,1996,8800,0
62,11320,도봉동,2011-01-28,한신,01월 30일,84.94,14,1995,15000,0
63,11320,도봉동,2011-01-28,서원,641,40.02,2,1996,7500,0
64,11320,도봉동,2011-01-28,한신,01월 30일,84.94,1,1995,6000,0
65,11320,도봉동,2011-01-28,도봉파크빌2,647,84.354,9,2002,18500,0
66,11320,도봉동,2011-01-29,서원,641,59.76,6,1996,12000,0
67,11320,도봉동,2011-01-30,현대성우,642,59.92,6,1998,10000,0
68,11320,도봉동,2011-01-31,한신,01월 30일,84.94,3,1995,11000,0
69,11320,도봉동,2011-01-31,동아에코빌,654,123.687,19,2003,23000,0
70,11320,도봉동,2011-01-31,동아에코빌,654,84.967,18,2003,18000,0
71,11320,도봉동,2011-01-31,삼환도봉,87,73.89,12,1987,13000,0
72,11320,도봉동,2011-01-31,도봉파크빌3,644,84.354,8,2002,16500,0
73,11320,도봉동,2011-01-31,현대성우,642,59.92,6,1998,3000,52
74,11320,방학동,2011-01-03,태솔에버빌아파트,712-17,62.12,2,2008,3000,60
75,11320,방학동,2011-01-03,벽산아파트2,496,84.98,15,1998,14000,0
76,11320,방학동,2011-01-03,대상타운현대아파트,720-1,84.78,12,2001,22000,0
77,11320,방학동,2011-01-04,동부센트레빌아파트,689,84.974,9,2005,21000,0
78,11320,방학동,2011-01-05,삼익세라믹아파트,274,58.77,6,1988,10000,0
79,11320,방학동,2011-01-05,한화/성원아파트,731,84.98,10,1996,15000,0
80,11320,방학동,2011-01-05,신동아아파트1,271-1,62.22,11,1986,11000,0
