,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,보증금액,월세금액
0,11230,답십리동,2011-01-02,래미안엘파인아파트,1000,59.95,17,2011,10000,45
1,11230,답십리동,2011-01-04,두산위브,998,84.91,4,2007,23500,0
2,11230,답십리동,2011-01-04,래미안엘파인아파트,1000,59.95,4,2011,17000,0
3,11230,답십리동,2011-01-04,동아,10,59.88,1,2001,16000,0
4,11230,답십리동,2011-01-04,동아,10,59.88,1,2001,18000,0
5,11230,답십리동,2011-01-04,답십리청솔우성,80,84.94,1,2000,10000,30
6,11230,답십리동,2011-01-04,답십리동아(임대),10월 01일,31.77,8,2001,2648,13
7,11230,답십리동,2011-01-05,동아,10,114.84,3,2001,21000,0
8,11230,답십리동,2011-01-05,래미안엘파인아파트,1000,59.95,10,2011,17500,0
9,11230,답십리동,2011-01-05,래미안엘파인아파트,1000,84.9,4,2011,20000,0
10,11230,답십리동,2011-01-06,답십리청솔우성,80,59.74,21,2000,16000,0
11,11230,답십리동,2011-01-06,래미안엘파인아파트,1000,84.9,10,2011,21000,0
12,11230,답십리동,2011-01-07,래미안엘파인아파트,1000,59.95,9,2011,18500,0
13,11230,답십리동,2011-01-07,동답한신,42,44.35,12,1992,7000,40
14,11230,답십리동,2011-01-07,래미안엘파인아파트,1000,59.95,12,2011,17500,0
15,11230,답십리동,2011-01-07,래미안엘파인아파트,1000,84.83,2,2011,20000,0
16,11230,답십리동,2011-01-07,답십리대우,111,59.76,12,2002,16000,0
17,11230,답십리동,2011-01-08,청계한신휴플러스,1002,59.74,15,2010,24000,0
18,11230,답십리동,2011-01-08,청솔2차우성,Feb-80,82.49,12,2000,19000,0
19,11230,답십리동,2011-01-09,청계한신휴플러스,1002,84.73,14,2010,28000,0
20,11230,답십리동,2011-01-09,동서울한양,41,76.41,8,1989,1500,0
21,11230,답십리동,2011-01-10,두산,990,114.97,3,2000,21000,0
22,11230,답십리동,2011-01-10,답십리청솔우성,80,59.74,21,2000,16000,0
23,11230,답십리동,2011-01-10,답십리청솔우성,80,84.94,2,2000,18500,0
24,11230,답십리동,2011-01-10,답십리청솔우성,80,84.94,1,2000,18000,0
25,11230,답십리동,2011-01-10,동답한신,42,35.45,14,1992,11000,0
26,11230,답십리동,2011-01-12,답십리한화,994,84.86,8,2001,10000,0
27,11230,답십리동,2011-01-12,세양청마루,997,84.98,12,2005,19000,0
28,11230,답십리동,2011-01-12,답십리청솔우성,80,114.76,1,2000,20000,0
29,11230,답십리동,2011-01-12,우성그린,989-1,84.98,13,1997,15000,0
30,11230,답십리동,2011-01-13,동아,10,59.88,3,2001,16000,0
31,11230,답십리동,2011-01-13,답십리한화,994,84.86,9,2001,3750,0
32,11230,답십리동,2011-01-13,래미안엘파인아파트,1000,59.95,8,2011,17500,0
33,11230,답십리동,2011-01-14,대림,808,84.66,4,2003,18000,0
34,11230,답십리동,2011-01-15,래미안엘파인아파트,1000,59.95,7,2011,15000,0
35,11230,답십리동,2011-01-15,두산위브,998,59.91,6,2007,20000,0
36,11230,답십리동,2011-01-15,래미안엘파인아파트,1000,59.95,9,2011,17000,0
37,11230,답십리동,2011-01-16,래미안엘파인아파트,1000,114.82,16,2011,27000,0
38,11230,답십리동,2011-01-17,래미안엘파인아파트,1000,59.95,7,2011,19500,0
39,11230,답십리동,2011-01-17,답십리두산(임대),990-1,32.93,8,2000,1381,14
40,11230,답십리동,2011-01-18,답십리청솔우성,80,59.89,17,2000,14000,0
41,11230,답십리동,2011-01-18,래미안엘파인아파트,1000,59.95,8,2011,19500,0
42,11230,답십리동,2011-01-19,청계한신휴플러스,1002,59.74,10,2010,24000,0
