,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,보증금액,월세금액
0,11170,도원동,2011-01-07,삼성래미안,23,59.94,4,2001,23000,0
1,11170,도원동,2011-01-07,삼성래미안,23,84.69,14,2001,24000,0
2,11170,도원동,2011-01-07,삼성래미안,23,59.94,10,2001,7000,80
3,11170,도원동,2011-01-12,삼성래미안,23,84.69,8,2001,26500,0
4,11170,도원동,2011-01-15,삼성래미안,23,114.99,6,2001,35000,0
5,11170,도원동,2011-01-16,삼성래미안,23,114.99,11,2001,33500,0
6,11170,도원동,2011-01-19,삼성래미안,23,84.92,6,2001,5000,120
7,11170,도원동,2011-01-21,삼성래미안,23,84.69,14,2001,5000,0
8,11170,도원동,2011-01-24,도원동삼성래미안(임대),25,32.76,4,2001,3267,0
9,11170,도원동,2011-01-27,삼성래미안,23,114.99,17,2001,32000,0
10,11170,도원동,2011-01-30,삼성래미안,23,114.99,22,2001,34000,0
11,11170,도원동,2011-01-30,삼성래미안,23,59.94,1,2001,3000,110
12,11170,문배동,2011-01-03,이안용산1차(103동),11월 29일,84.9,6,2005,28000,0
13,11170,문배동,2011-01-08,지오베르크,01월 17일,76.02,12,2004,24000,0
14,11170,문배동,2011-01-10,아크로타워,24-21,84.97,10,2007,30000,0
15,11170,문배동,2011-01-13,이안용산1차(103동),11월 29일,84.9,3,2005,25000,0
16,11170,문배동,2011-01-15,CJ나인파크,06월 24일,97.24,25,2007,34000,0
17,11170,문배동,2011-01-15,삼라마이다스빌2,40-19,66.72,9,2004,20000,0
18,11170,문배동,2011-01-17,삼라마이다스빌2,40-19,63.26,8,2004,21000,0
19,11170,문배동,2011-01-20,CJ나인파크,06월 24일,84.98,13,2007,22000,40
20,11170,문배동,2011-01-20,아크로타워,24-21,126.3,7,2007,38500,0
21,11170,문배동,2011-01-26,이안용산1차(103동),11월 29일,84.67,11,2005,27000,0
22,11170,문배동,2011-01-26,CJ나인파크,06월 24일,84.98,19,2007,30000,0
23,11170,문배동,2011-01-27,지오베르크,01월 17일,84.95,7,2004,25000,0
24,11170,문배동,2011-01-29,이안용산1차(103동),11월 29일,84.96,10,2005,27000,0
25,11170,문배동,2011-01-31,아크로타워,24-21,84.97,26,2007,29000,0
26,11170,보광동,2011-01-05,주미,260-6,79.21,5,1973,12000,0
27,11170,보광동,2011-01-11,신동아1,448,84.93,11,1992,3500,150
28,11170,산천동,2011-01-03,리버힐삼성,193,59.98,9,2001,20000,0
29,11170,산천동,2011-01-03,리버힐삼성아파트(임대),194,32.99,9,2001,2699,14
30,11170,산천동,2011-01-03,리버힐삼성,193,84.98,9,2001,5000,110
31,11170,산천동,2011-01-03,리버힐삼성아파트(임대),194,32.99,16,2001,2699,0
32,11170,산천동,2011-01-05,리버힐삼성,193,84.98,9,2001,25500,0
33,11170,산천동,2011-01-05,리버힐삼성,193,59.55,3,2001,18000,0
34,11170,산천동,2011-01-06,리버힐삼성,193,84.98,19,2001,24000,0
35,11170,산천동,2011-01-06,리버힐삼성,193,59.55,6,2001,20000,0
36,11170,산천동,2011-01-06,한강타운,204,59.69,5,2001,15000,0
37,11170,산천동,2011-01-08,한강타운,204,59.69,1,2001,16000,0
38,11170,산천동,2011-01-10,한강타운,204,59.69,13,2001,3000,100
39,11170,산천동,2011-01-14,리버힐삼성,193,84.98,11,2001,25500,0
40,11170,산천동,2011-01-14,리버힐삼성,193,84.98,3,2001,24000,0
41,11170,산천동,2011-01-15,리버힐삼성,193,114.48,4,2001,31000,0
42,11170,산천동,2011-01-15,리버힐삼성,193,84.98,7,2001,25000,0
43,11170,산천동,2011-01-15,리버힐삼성,193,114.48,15,2001,31500,0
44,11170,산천동,2011-01-16,리버힐삼성,193,84.98,15,2001,26000,0
45,11170,산천동,2011-01-17,리버힐삼성,193,84.98,16,2001,25000,0
46,11170,산천동,2011-01-17,리버힐삼성,193,84.98,19,2001,25000,0
47,11170,산천동,2011-01-17,리버힐삼성,193,114.48,12,2001,30000,0
48,11170,산천동,2011-01-17,리버힐삼성,193,84.98,13,2001,300,15
49,11170,산천동,2011-01-20,리버힐삼성,193,114.48,20,2001,32000,0
50,11170,산천동,2011-01-21,리버힐삼성,193,84.98,11,2001,18000,45
51,11170,산천동,2011-01-21,리버힐삼성아파트(임대),194,32.99,2,2001,2699,0
52,11170,산천동,2011-01-22,리버힐삼성,193,84.98,1,2001,22000,0
53,11170,산천동,2011-01-22,리버힐삼성,193,59.55,7,2001,5000,80
54,11170,산천동,2011-01-25,리버힐삼성,193,84.98,18,2001,23000,0
55,11170,산천동,2011-01-27,리버힐삼성,193,59.55,4,2001,19000,0
56,11170,서빙고동,2011-01-08,신동아,241-21,95.66,9,1984,31000,0
57,11170,서빙고동,2011-01-14,신동아,241-21,140.81,4,1984,50000,0
58,11170,서빙고동,2011-01-14,신동아,241-21,166.98,10,1984,55000,0
59,11170,서빙고동,2011-01-15,신동아,241-21,166.98,9,1984,3000,310
60,11170,서빙고동,2011-01-15,그린파크(코오롱 하늘채),293,59.98,11,2000,19000,0
61,11170,서빙고동,2011-01-15,신동아,241-21,95.66,9,1984,32000,0
62,11170,서빙고동,2011-01-19,신동아,241-21,166.98,5,1984,55000,0
63,11170,서빙고동,2011-01-20,신동아,241-21,140.81,11,1984,45000,0
64,11170,서빙고동,2011-01-25,신동아,241-21,95.66,3,1984,30000,0
65,11170,서빙고동,2011-01-27,신동아,241-21,95.66,10,1984,30000,0
66,11170,서빙고동,2011-01-27,신동아,241-21,95.66,11,1984,31000,0
67,11170,서빙고동,2011-01-28,신동아,241-21,140.81,11,1984,30000,83
68,11170,신계동,2011-01-02,용산e편한세상,48,124.96,20,2011,50000,0
69,11170,신계동,2011-01-04,용산e편한세상,48,84.89,21,2011,36000,0
70,11170,신계동,2011-01-05,용산e편한세상,48,124.08,14,2011,45000,0
71,11170,신계동,2011-01-07,용산e편한세상,48,84.21,11,2011,35000,0
72,11170,신계동,2011-01-07,용산e편한세상,48,59.66,17,2011,30000,0
73,11170,신계동,2011-01-08,용산e편한세상,48,84.89,21,2011,35000,0
74,11170,신계동,2011-01-09,용산e편한세상,48,59.66,5,2011,29500,0
75,11170,신계동,2011-01-09,용산e편한세상,48,84.21,15,2011,35000,0
76,11170,신계동,2011-01-12,용산e편한세상,48,124.96,16,2011,50000,0
77,11170,신계동,2011-01-12,용산e편한세상,48,84.89,24,2011,32000,0
78,11170,신계동,2011-01-12,용산e편한세상,48,59.64,3,2011,28000,0
79,11170,신계동,2011-01-12,용산e편한세상,48,124.96,14,2011,43000,0
80,11170,신계동,2011-01-13,용산e편한세상,48,84.89,19,2011,35000,0
81,11170,신계동,2011-01-13,용산e편한세상,48,84.21,19,2011,36000,0
82,11170,신계동,2011-01-15,용산e편한세상,48,84.89,24,2011,34000,0
83,11170,신계동,2011-01-16,용산e편한세상,48,84.21,10,2011,35000,0
84,11170,신계동,2011-01-17,용산e편한세상,48,59.66,13,2011,30000,0
85,11170,신계동,2011-01-18,용산e편한세상,48,84.89,12,2011,60000,0
86,11170,신계동,2011-01-18,용산e편한세상,48,84.89,14,2011,35000,0
87,11170,신계동,2011-01-19,용산e편한세상,48,84.89,1,2011,31000,0
88,11170,신계동,2011-01-21,용산e편한세상,48,84.21,14,2011,36000,0
89,11170,신계동,2011-01-22,용산e편한세상,48,84.21,17,2011,37000,0
90,11170,신계동,2011-01-22,용산e편한세상,48,84.21,12,2011,37000,0
91,11170,신계동,2011-01-22,용산e편한세상,48,84.89,1,2011,30000,0
