,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,보증금액,월세금액
0,11380,갈현동,2011-01-06,갈현동현대,537,84.87,5,1997,16500,0
1,11380,갈현동,2011-01-07,지캐슬,487-2,64.64,4,2003,11500,0
2,11380,갈현동,2011-01-07,갈현동현대,537,59.25,15,1997,13000,0
3,11380,갈현동,2011-01-07,미미,538,124.65,1,1997,22000,0
4,11380,갈현동,2011-01-10,갈현동현대,537,88.47,2,1997,17000,0
5,11380,갈현동,2011-01-11,동광갈현베르빌,465-12,134.715,12,2004,29000,0
6,11380,갈현동,2011-01-12,우남,540,59.92,15,1998,10000,0
7,11380,갈현동,2011-01-13,한솔,539,39.96,9,1997,7000,5
8,11380,갈현동,2011-01-15,대양,281-208,68.4,2,2001,9500,0
9,11380,갈현동,2011-01-19,코오롱하늘채,545,123.2858,11,2003,10000,120
10,11380,갈현동,2011-01-19,코오롱하늘채,545,84.9462,7,2003,17000,0
11,11380,갈현동,2011-01-20,갈현건영,541-1,84.38,15,2001,15000,0
12,11380,갈현동,2011-01-20,동광갈현베르빌,465-12,134.715,4,2004,10000,100
13,11380,갈현동,2011-01-22,반도하우드,258-1,84.56,2,2007,19000,0
14,11380,갈현동,2011-01-23,갈현동현대,537,84.87,10,1997,20000,0
15,11380,갈현동,2011-01-24,갈현건영,541-1,84.38,10,2001,13000,0
16,11380,갈현동,2011-01-26,동광갈현베르빌,465-12,84.99700000000001,7,2004,25000,0
17,11380,갈현동,2011-01-28,우남,540,133.02,5,1998,20000,0
18,11380,갈현동,2011-01-29,코오롱하늘채,545,84.9462,16,2003,19000,0
19,11380,구산동,2011-01-04,갈현1단지e-편한세상,547,84.618,16,2004,19000,0
20,11380,구산동,2011-01-04,경남아너스빌,224,84.99,12,2004,15500,0
21,11380,구산동,2011-01-06,금강포란재(101),355-82,84.18,2,2005,14000,0
22,11380,구산동,2011-01-07,경향,162-1,84.06,10,1989,13000,0
23,11380,구산동,2011-01-08,경남아너스빌,224,84.69,2,2004,16000,0
24,11380,구산동,2011-01-09,브라운스톤구산,159-10,59.97,11,2006,15000,0
25,11380,구산동,2011-01-10,경향,162-1,84.06,5,1989,13000,0
26,11380,구산동,2011-01-11,경남아너스빌,224,84.69,8,2004,15000,0
27,11380,구산동,2011-01-11,경남아너스빌,224,84.69,9,2004,16000,0
28,11380,구산동,2011-01-12,갈현1단지e-편한세상,547,84.618,14,2004,18000,0
29,11380,구산동,2011-01-14,동익파크(355-98),355-98,84.95,1,1991,12500,0
30,11380,구산동,2011-01-17,신호(199-24),199-24,83.7,5,2008,10000,0
31,11380,구산동,2011-01-17,경향,162-1,84.06,4,1989,13000,0
32,11380,구산동,2011-01-19,두일,308-3,84.62,6,2004,12000,0
33,11380,구산동,2011-01-25,대림e-편한세상2,546,59.886,4,2004,15000,0
34,11380,구산동,2011-01-26,경남아너스빌,224,122.77,5,2004,19500,0
35,11380,구산동,2011-01-28,갈현1단지e-편한세상,547,84.618,3,2004,18000,0
36,11380,구산동,2011-01-28,새천년드림,213-17,84.48,6,2002,12000,30
37,11380,녹번동,2011-01-05,거성,83-37,63.34,4,2008,15000,0
38,11380,녹번동,2011-01-05,녹번JR아파트,280-1,84.92299999999999,7,2002,18000,0
39,11380,녹번동,2011-01-07,대신홈타운(168-33),168-33,83.85,6,2000,17000,0
40,11380,녹번동,2011-01-10,녹번JR아파트,280-1,59.86600000000001,17,2002,16000,0
41,11380,녹번동,2011-01-14,녹번JR아파트,280-1,84.92299999999999,13,2002,18000,0
42,11380,녹번동,2011-01-15,녹번2현대,278-1,84.94,6,2001,20000,0
43,11380,녹번동,2011-01-20,대림아파트(276),276,84.94,14,1993,18000,0
44,11380,녹번동,2011-01-21,대림아파트(276),276,84.68,14,1993,17000,0
45,11380,녹번동,2011-01-22,녹번JR아파트,280-1,59.86600000000001,9,2002,15000,0
46,11380,녹번동,2011-01-22,녹번JR아파트,280-1,59.86600000000001,2,2002,15000,0
47,11380,녹번동,2011-01-29,해주드림빌,279-1,78.8,4,2001,19500,0
48,11380,녹번동,2011-01-31,녹번2현대,278-1,84.94,3,2001,22000,0
49,11380,대조동,2011-01-01,아이안,59-20,78.3,3,2008,18000,0
50,11380,대조동,2011-01-03,삼성타운,231,59.4,10,1997,14500,0
51,11380,대조동,2011-01-08,만민하늘愛,59-48,73.34,8,2008,15000,0
52,11380,대조동,2011-01-18,삼성타운,231,84.82,8,1997,19500,0
53,11380,대조동,2011-01-18,삼성타운,231,84.82,14,1997,12000,0
54,11380,대조동,2011-01-27,삼성타운,231,59.4,21,1997,15000,0
55,11380,대조동,2011-01-28,만민하늘愛,59-48,73.34,8,2008,15000,0
56,11380,대조동,2011-01-29,대조동 아트캐슬 주상복합,198-10,84.8,7,2010,22000,0
57,11380,대조동,2011-01-31,아이안,59-20,78.3,4,2008,19300,0
58,11380,불광동,2011-01-05,북한산현대홈타운,633,59.9765,7,2004,19000,0
59,11380,불광동,2011-01-05,북한산래미안아파트(1단지),638,59.99,9,2010,20000,0
60,11380,불광동,2011-01-05,북한산현대힐스테이트3차아파트,641,84.96,7,2010,22000,0
61,11380,불광동,2011-01-05,라이프미성,248,66.7,15,1988,14000,0
62,11380,불광동,2011-01-05,라이프미성,248,84.65,3,1988,20000,0
63,11380,불광동,2011-01-06,라이프미성,248,66.7,6,1988,17000,0
64,11380,불광동,2011-01-06,라이프미성,248,84.65,15,1988,17000,0
65,11380,불광동,2011-01-06,북한산현대힐스테이트3차아파트,641,84.98,14,2010,4000,100
66,11380,불광동,2011-01-07,해피플러스1,483-11,81.51,5,2005,16000,0
67,11380,불광동,2011-01-09,대호아파트,629,59.7,13,1999,14700,0
68,11380,불광동,2011-01-10,북한산현대홈타운,633,59.9765,12,2004,13000,0
69,11380,불광동,2011-01-10,북한산힐스테이트1차아파트,635,84.734,10,2009,23000,0
70,11380,불광동,2011-01-10,북한산 한양 수자인 아파트,636,84.97,3,2006,19000,0
71,11380,불광동,2011-01-10,라이프미성,248,125.75,2,1988,23000,0
72,11380,불광동,2011-01-14,북한산현대홈타운,633,84.9956,2,2004,22000,0
73,11380,불광동,2011-01-14,대호프라자 아파트,631-1,59.97,9,2000,14000,0
74,11380,불광동,2011-01-14,북한산래미안아파트(1단지),638,59.99,1,2010,20000,0
75,11380,불광동,2011-01-15,북한산힐스테이트1차아파트,635,59.817,1,2009,3000,90
