,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,보증금액,월세금액
0,11110,교북동,2011-01-10,동아,101,99.29,2.0,1995,20000,0
1,11110,구기동,2011-01-19,렉스팰리스,95-1,140.56,1.0,2005,24000,0
2,11110,내수동,2011-01-11,경희궁의아침4단지,73,124.17,13.0,2004,55000,0
3,11110,내수동,2011-01-11,경희궁 파크팰리스,95,146.39,5.0,2003,60000,0
4,11110,내수동,2011-01-12,경희궁 파크팰리스,95,148.09,11.0,2003,45000,0
5,11110,내수동,2011-01-20,경희궁 파크팰리스,95,103.77,12.0,2003,500,270
6,11110,내수동,2011-01-21,경희궁의아침4단지,73,124.17,9.0,2004,5000,300
7,11110,내수동,2011-01-24,경희궁의아침3단지,72,174.55,15.0,2004,85000,0
8,11110,내수동,2011-01-29,경희궁 파크팰리스,95,146.39,9.0,2003,15000,250
9,11110,명륜1가,2011-01-03,송림아마레스아파트,2-12,84.62,4.0,2003,20000,0
10,11110,명륜2가,2011-01-03,아남3,237,50.49,4.0,1999,20000,0
11,11110,명륜2가,2011-01-04,아남1,4,84.8,18.0,1995,32000,0
12,11110,명륜2가,2011-01-08,아남3,237,50.49,3.0,1999,10000,65
13,11110,명륜2가,2011-01-08,아남3,237,47.43,7.0,1999,21000,0
14,11110,명륜2가,2011-01-11,아남1,4,84.9,10.0,1995,30000,0
15,11110,명륜2가,2011-01-12,아남2,236,59.4,8.0,1996,23000,0
16,11110,명륜2가,2011-01-18,아남3,237,50.49,4.0,1999,19000,0
17,11110,명륜2가,2011-01-18,아남1,4,84.9,12.0,1995,35000,0
18,11110,명륜2가,2011-01-18,아남1,4,84.9,8.0,1995,36000,0
19,11110,명륜2가,2011-01-24,아남1,4,84.9,11.0,1995,33000,0
20,11110,명륜2가,2011-01-25,아남1,4,84.8,7.0,1995,31000,0
21,11110,명륜2가,2011-01-26,아남3,237,47.43,3.0,1999,4000,100
22,11110,명륜2가,2011-01-29,아남1,4,84.9,1.0,1995,30000,0
23,11110,명륜2가,2011-01-31,아남3,237,47.43,7.0,1999,20000,0
24,11110,명륜3가,2011-01-25,(1-102),1-102,59.97,2.0,1997,3500,0
25,11110,무악동,2011-01-01,인왕산아이파크,60,84.85799999999999,3.0,2008,33000,0
26,11110,무악동,2011-01-03,현대,82,60.0,13.0,2000,18000,27
27,11110,무악동,2011-01-05,현대,82,60.0,3.0,2000,5000,100
28,11110,무악동,2011-01-06,현대,82,84.92,16.0,2000,5000,100
29,11110,무악동,2011-01-06,현대,82,114.9,5.0,2000,33000,0
30,11110,무악동,2011-01-07,인왕산아이파크,60,84.85799999999999,8.0,2008,35000,0
31,11110,무악동,2011-01-09,인왕산아이파크,60,114.931,10.0,2008,20000,150
32,11110,무악동,2011-01-10,인왕산아이파크,60,84.85799999999999,14.0,2008,36000,0
33,11110,무악동,2011-01-13,현대,82,60.0,6.0,2000,22000,0
34,11110,무악동,2011-01-15,현대,82,60.0,2.0,2000,22000,0
35,11110,무악동,2011-01-19,인왕산아이파크,60,84.85799999999999,16.0,2008,5000,170
36,11110,무악동,2011-01-20,현대,82,84.92,10.0,2000,2000,190
37,11110,무악동,2011-01-21,현대,82,84.92,17.0,2000,30000,0
38,11110,무악동,2011-01-21,현대,82,60.0,8.0,2000,21000,0
