,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,보증금액,월세금액
0,11140,남대문로5가,2011-01-08,남산트라팰리스,827,126.78,16,2010,47000,0
1,11140,만리동2가,2011-01-31,양정,116-4,46.52,1,2005,3000,50
2,11140,묵정동,2011-01-26,묵정,11-67,52.46,7,1981,9000,0
3,11140,순화동,2011-01-18,바비엥3,215,70.81,17,2006,22000,0
4,11140,순화동,2011-01-22,바비엥3,215,78.29,16,2006,27000,0
5,11140,신당동,2011-01-02,남산타운,844,59.94,15,2002,20000,0
6,11140,신당동,2011-01-03,청구파크뷰,292-35,84.69,4,2003,25000,0
7,11140,신당동,2011-01-04,약수하이츠,842,57.63,3,1999,21000,0
8,11140,신당동,2011-01-04,남산타운,844,114.88,12,2002,39000,0
9,11140,신당동,2011-01-04,삼성,843,84.96,17,1999,27000,0
10,11140,신당동,2011-01-05,삼성,843,59.97,2,1999,22000,0
11,11140,신당동,2011-01-05,삼성,843,114.91,15,1999,29000,0
12,11140,신당동,2011-01-05,삼성,843,84.96,5,1999,27000,0
13,11140,신당동,2011-01-05,남산타운,844,59.94,10,2002,5000,93
14,11140,신당동,2011-01-05,현대,840,66.6,9,1993,17000,0
15,11140,신당동,2011-01-06,한진해모로,845,59.76,12,2001,18000,0
16,11140,신당동,2011-01-06,남산타운,844,114.88,5,2002,35000,0
17,11140,신당동,2011-01-06,현대,840,66.6,13,1993,16000,0
18,11140,신당동,2011-01-07,남산타운,844,59.94,4,2002,22000,0
19,11140,신당동,2011-01-07,동산,432-579,46.53,4,2001,5500,0
20,11140,신당동,2011-01-07,남산타운,844,59.94,15,2002,23500,0
21,11140,신당동,2011-01-07,남산타운,844,84.88,11,2002,30000,0
22,11140,신당동,2011-01-07,약수하이츠,842,57.63,1,1999,23000,0
23,11140,신당동,2011-01-07,남산타운,844,59.94,4,2002,23000,0
24,11140,신당동,2011-01-08,삼성,843,59.98,2,1999,20000,0
25,11140,신당동,2011-01-08,약수하이츠,842,65.37,1,1999,24000,0
26,11140,신당동,2011-01-08,약수하이츠,842,84.88,4,1999,25000,0
27,11140,신당동,2011-01-08,청구파크뷰,292-35,78.2,5,2003,22500,0
28,11140,신당동,2011-01-08,한진해모로,845,59.76,3,2001,19000,0
29,11140,신당동,2011-01-08,신당푸르지오,850,84.39,11,2005,10000,110
30,11140,신당동,2011-01-08,남산타운,844,84.88,14,2002,10000,0
31,11140,신당동,2011-01-08,남산타운,844,59.94,9,2002,4000,90
32,11140,신당동,2011-01-10,약수하이츠,842,57.63,10,1999,4000,100
33,11140,신당동,2011-01-11,수산타운(2차),432-2006,59.99,2,2001,10000,0
34,11140,신당동,2011-01-11,푸른마을(B),432-922,59.42,2,2001,10000,0
35,11140,신당동,2011-01-11,약수하이츠,842,57.63,3,1999,18000,0
36,11140,신당동,2011-01-11,남산타운,844,84.88,8,2002,29000,0
37,11140,신당동,2011-01-12,약수하이츠,842,65.37,11,1999,24500,0
38,11140,신당동,2011-01-12,남산타운,844,114.88,2,2002,37000,0
39,11140,신당동,2011-01-12,삼성,843,84.96,6,1999,27000,0
40,11140,신당동,2011-01-12,남산타운,844,114.88,2,2002,36000,0
41,11140,신당동,2011-01-13,남산정은스카이,366-126,143.049,9,2005,39000,0
42,11140,신당동,2011-01-13,신당푸르지오,850,84.39,13,2005,28000,0
43,11140,신당동,2011-01-14,(372-66),372-66,63.9,4,2010,2000,110
44,11140,신당동,2011-01-14,약수하이츠,842,114.92,6,1999,35000,0
45,11140,신당동,2011-01-14,한진해모로,845,59.76,6,2001,16000,0
46,11140,신당동,2011-01-15,약수하이츠,842,57.63,17,1999,20000,0
47,11140,신당동,2011-01-15,삼성,843,59.97,10,1999,20000,0
48,11140,신당동,2011-01-15,삼성,843,59.98,15,1999,10000,0
49,11140,신당동,2011-01-15,남산타운,844,114.88,4,2002,33000,0
50,11140,신당동,2011-01-15,남산타운,844,84.88,14,2002,33000,0
51,11140,신당동,2011-01-17,약수하이츠,842,57.63,4,1999,21000,0
52,11140,신당동,2011-01-17,현대,840,139.275,15,1993,24000,0
53,11140,신당동,2011-01-17,남산타운,844,59.94,13,2002,23000,0
54,11140,신당동,2011-01-17,남산타운,844,84.88,16,2002,30000,0
55,11140,신당동,2011-01-17,신당푸르지오,850,84.39,1,2005,3500,150
56,11140,신당동,2011-01-17,삼성,843,114.91,10,1999,28000,0
57,11140,신당동,2011-01-18,삼성,843,84.96,4,1999,23500,0
58,11140,신당동,2011-01-18,신당푸르지오,850,114.48,6,2005,36000,0
59,11140,신당동,2011-01-19,남산타운,844,114.88,12,2002,39000,0
60,11140,신당동,2011-01-19,남산타운,844,59.94,15,2002,18500,35
61,11140,신당동,2011-01-19,남산타운,844,59.94,14,2002,23000,0
62,11140,신당동,2011-01-20,약수하이츠,842,57.63,3,1999,23000,0
63,11140,신당동,2011-01-21,현대,840,122.275,15,1993,30000,0
64,11140,신당동,2011-01-21,남산타운,844,59.94,15,2002,16000,40
65,11140,신당동,2011-01-21,남산타운,844,59.94,3,2002,21000,0
66,11140,신당동,2011-01-22,약수하이츠,842,57.63,1,1999,24000,0
67,11140,신당동,2011-01-22,신당푸르지오,850,84.39,8,2005,30000,0
68,11140,신당동,2011-01-22,남산타운,844,84.88,3,2002,29000,0
69,11140,신당동,2011-01-24,남산타운,844,84.88,17,2002,32000,0
70,11140,신당동,2011-01-24,신당푸르지오,850,114.48,15,2005,35000,0
71,11140,신당동,2011-01-24,남산타운,844,59.94,15,2002,22000,0
72,11140,신당동,2011-01-24,삼성,843,59.98,7,1999,21000,0
73,11140,신당동,2011-01-25,남산타운,844,59.94,1,2002,17000,0
74,11140,신당동,2011-01-25,현대,840,83.97,8,1993,17500,15
75,11140,신당동,2011-01-25,남산타운,844,84.88,14,2002,5000,140
76,11140,신당동,2011-01-25,남산타운,844,84.88,7,2002,29000,0
77,11140,신당동,2011-01-26,남산타운,844,114.88,16,2002,39000,0
78,11140,신당동,2011-01-27,약수하이츠,842,57.63,12,1999,5000,110
79,11140,신당동,2011-01-27,남산타운,844,59.94,11,2002,20500,0
80,11140,신당동,2011-01-27,남산타운,844,59.94,2,2002,24000,0
81,11140,신당동,2011-01-27,남산타운,844,114.88,8,2002,5000,190
82,11140,신당동,2011-01-27,남산타운,844,84.88,4,2002,30000,0
83,11140,신당동,2011-01-27,신당푸르지오,850,84.39,1,2005,25000,0
84,11140,신당동,2011-01-28,남산타운,844,84.88,14,2002,30000,0
85,11140,신당동,2011-01-28,남산타운,844,84.88,10,2002,27000,0
86,11140,신당동,2011-01-28,현대,840,83.97,12,1993,21000,0
87,11140,신당동,2011-01-28,약수하이츠,842,84.88,3,1999,29000,0
88,11140,신당동,2011-01-29,남산타운,844,84.88,14,2002,29000,0
89,11140,신당동,2011-01-29,약수하이츠,842,65.37,6,1999,25000,0
90,11140,신당동,2011-01-29,남산타운,844,114.88,1,2002,33000,0
91,11140,신당동,2011-01-30,남산타운,844,59.94,12,2002,5000,105
92,11140,신당동,2011-01-30,남산타운,844,84.88,18,2002,29000,0
93,11140,신당동,2011-01-31,남산타운,844,84.88,9,2002,29000,0
94,11140,신당동,2011-01-31,현대,840,122.275,6,1993,23000,0
95,11140,신당동,2011-01-31,현대,840,83.97,15,1993,5000,100
96,11140,신당동,2011-01-31,남산타운,844,114.88,8,2002,40000,0
97,11140,장충동2가,2011-01-09,장충,193-29,31.64,2,1981,1000,45
98,11140,중림동,2011-01-05,브라운스톤(355-0),355,139.562,14,2006,45000,0
