,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,보증금액,월세금액
0,11260,망우동,2011-01-05,금호어울림(580),580,84.94,4,2006,18000,0
1,11260,망우동,2011-01-07,경남,226,52.71,5,1989,10000,0
2,11260,망우동,2011-01-08,경남,226,81.91,3,1989,14500,0
3,11260,망우동,2011-01-09,한일써너스빌리젠시2단지,495,84.48,22,2008,10000,20
4,11260,망우동,2011-01-12,경남,226,59.94,5,1989,5000,45
5,11260,망우동,2011-01-13,월드101,508-50,62.86,7,2002,15000,0
6,11260,망우동,2011-01-13,산솔트윈,461-12,64.23,9,2009,14000,0
7,11260,망우동,2011-01-14,경남,226,81.91,3,1989,16000,0
8,11260,망우동,2011-01-14,한일써너스빌리젠시2단지,495,105.38,21,2008,26000,0
9,11260,망우동,2011-01-14,신원,573,59.62,4,1999,13000,0
10,11260,망우동,2011-01-15,해오름101동,508-14,84.972,9,2005,18000,0
11,11260,망우동,2011-01-16,신원,573,59.62,1,1999,13000,0
12,11260,망우동,2011-01-17,한일써너스빌리젠시2단지,495,105.38,16,2008,14000,0
13,11260,망우동,2011-01-18,금호어울림(580),580,84.93,6,2006,19500,0
14,11260,망우동,2011-01-19,경남,226,81.91,1,1989,15500,0
15,11260,면목동,2011-01-02,면목동금호어울림아파트,1528,84.0827,1,2005,20000,0
16,11260,면목동,2011-01-03,두산4,1522,84.86,2,2000,18000,0
17,11260,면목동,2011-01-04,성원상떼빌,1515,84.96,14,1997,19000,0
18,11260,면목동,2011-01-04,현대,1502,84.81,2,1994,18000,0
19,11260,면목동,2011-01-04,현대,1502,84.81,2,1994,17000,0
20,11260,면목동,2011-01-05,면목삼호101,1513,83.27,2,2000,18000,0
21,11260,면목동,2011-01-05,대명미르테,1532,83.09,9,2009,16000,0
22,11260,면목동,2011-01-06,늘푸른동아,715,84.97,19,2002,19500,0
23,11260,면목동,2011-01-06,두산4,1522,84.87,23,2000,23000,0
24,11260,면목동,2011-01-06,두산4,1522,59.97,2,2000,17000,0
25,11260,면목동,2011-01-06,현대,1502,84.81,20,1994,16000,0
26,11260,면목동,2011-01-06,용마동아,1499,84.88,2,1993,8000,0
27,11260,면목동,2011-01-07,동원베네스트,1508,84.86,4,2003,20000,0
28,11260,면목동,2011-01-07,한신,193-1,45.44,2,1987,9500,0
29,11260,면목동,2011-01-08,두산4,1522,59.97,7,2000,5000,70
