,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,보증금액,월세금액
0,11650,반포동,2011-01-02,반포리체,30-26,84.96700000000001,34,2011,55000,0
1,11650,반포동,2011-01-02,반포자이,20-43,84.984,10,2009,68000,0
2,11650,반포동,2011-01-03,반포미도2차아파트,60-5,59.07,7,1989,23000,0
3,11650,반포동,2011-01-03,래미안퍼스티지,18-1,59.98,17,2009,54000,0
4,11650,반포동,2011-01-03,반포리체,30-26,59.993,23,2011,40000,0
5,11650,반포동,2011-01-03,반포자이,20-43,84.984,8,2009,68000,0
6,11650,반포동,2011-01-03,반포경남아파트,1-8,97.79,5,1978,26000,0
7,11650,반포동,2011-01-03,삼호가든맨션(4차),30-18,102.15,12,1983,26000,0
8,11650,반포동,2011-01-03,에이아이디차관주택,968,72.51,4,1974,3000,130
9,11650,반포동,2011-01-03,반포자이,20-43,132.179,27,2009,104000,0
10,11650,반포동,2011-01-03,반포미도,60-4,84.96,1,1987,27500,0
11,11650,반포동,2011-01-04,반포리체,30-26,84.96700000000001,26,2011,20000,180
12,11650,반포동,2011-01-04,반포리체,30-26,106.148,8,2011,65000,0
13,11650,반포동,2011-01-04,반포리체,30-26,84.96700000000001,27,2011,52000,0
14,11650,반포동,2011-01-04,반포리체,30-26,84.96700000000001,29,2011,55000,0
15,11650,반포동,2011-01-04,삼호가든맨션(4차),30-18,96.6,12,1983,29000,0
16,11650,반포동,2011-01-04,삼호가든맨션(5차),30-1,153.54,14,1986,50000,0
17,11650,반포동,2011-01-04,반포자이,20-43,84.99799999999999,10,2009,20000,250
18,11650,반포동,2011-01-04,한신서래,70-1,137.47,7,1987,35000,0
19,11650,반포동,2011-01-04,라인,70,84.89,3,1995,33000,0
20,11650,반포동,2011-01-04,반포미도,60-4,84.96,11,1987,29000,0
21,11650,반포동,2011-01-04,반포자이,20-43,132.439,16,2009,100000,0
22,11650,반포동,2011-01-04,반포자이,20-43,84.943,9,2009,67000,0
23,11650,반포동,2011-01-04,한신23차,1-15,56.9,7,1983,19000,0
24,11650,반포동,2011-01-04,반포리체,30-26,59.993,35,2011,20000,120
25,11650,반포동,2011-01-04,반포경남아파트,1-8,71.97,5,1978,23000,0
26,11650,반포동,2011-01-05,한신3차,1-1,108.89,9,1978,39500,0
27,11650,반포동,2011-01-05,한신1차,2-1,86.81,5,1977,26000,0
28,11650,반포동,2011-01-05,반포푸르지오,10,84.82,6,2000,5000,195
29,11650,반포동,2011-01-05,반포자이,20-43,165.446,7,2009,110000,0
30,11650,반포동,2011-01-05,반포자이,20-43,59.98,16,2009,53000,0
31,11650,반포동,2011-01-05,반포자이,20-43,165.05200000000002,5,2009,75000,150
32,11650,반포동,2011-01-05,한양,32-5,137.22,2,1982,53000,0
33,11650,반포동,2011-01-05,반포미도,60-4,84.96,2,1987,27000,0
34,11650,반포동,2011-01-05,반포미도,60-4,84.96,9,1987,27500,0
35,11650,반포동,2011-01-05,반포미도,60-4,84.96,7,1987,28000,0
36,11650,반포동,2011-01-05,현대동궁아파트,64-5,82.35,2,1991,32000,0
37,11650,반포동,2011-01-05,한신서래,70-1,45.72,3,1987,18000,0
38,11650,반포동,2011-01-05,반포 주공1단지,757,140.13,1,1973,10000,210
39,11650,반포동,2011-01-05,삼호가든맨션(4차),30-18,96.6,5,1983,22000,0
40,11650,반포동,2011-01-05,반포리체,30-26,84.96700000000001,8,2011,10000,230
41,11650,반포동,2011-01-05,반포리체,30-26,59.993,21,2011,43000,0
42,11650,반포동,2011-01-06,반포리체,30-26,138.257,9,2011,86500,0
43,11650,반포동,2011-01-06,삼호가든맨션(3차),32-8,105.69,2,1982,20000,60
44,11650,반포동,2011-01-06,반포미도,60-4,84.96,15,1987,29000,0
45,11650,반포동,2011-01-06,반포자이,20-43,132.439,15,2009,20000,0
46,11650,반포동,2011-01-06,반포리체,30-26,84.96700000000001,8,2011,53500,0
47,11650,반포동,2011-01-06,삼호가든맨션(4차),30-18,96.6,10,1983,7000,130
48,11650,반포동,2011-01-06,반포경남아파트,1-8,72.28,2,1978,23000,0
49,11650,반포동,2011-01-06,반포리체,30-26,59.993,34,2011,45000,0
