,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11620,남현동,2006-01-07,남현동한일유앤아이,1136,84.99,8,2005,36000
1,11620,남현동,2006-01-09,관악산대창센시티,1137,59.6,1,2005,18300
2,11620,남현동,2006-01-09,예성2차그린캐슬,1134,84.17,3,2004,34000
3,11620,봉천동,2006-01-01,봉천우성,1706,59.76,3,2000,16900
4,11620,봉천동,2006-01-03,낙성대현대(296),296,59.78,7,1998,27000
5,11620,봉천동,2006-01-03,현대(관악),1000,58.59,12,1992,16000
6,11620,봉천동,2006-01-03,관악드림(동아),1712,59.85,18,2003,18500
7,11620,봉천동,2006-01-03,관악드림(동아),1712,84.96,15,2003,27500
8,11620,봉천동,2006-01-03,두산,1708,59.92,13,2000,28550
9,11620,봉천동,2006-01-04,현대(관악),1000,68.8,8,1992,20900
10,11620,봉천동,2006-01-05,봉천우성,1706,84.96,27,2000,30000
11,11620,봉천동,2006-01-05,관악드림(삼성),1712,84.96,20,2003,27000
12,11620,봉천동,2006-01-06,관악드림(동아),1712,84.96,20,2003,30900
13,11620,봉천동,2006-01-07,관악푸르지오,1717,59.58,14,2004,24500
14,11620,봉천동,2006-01-07,관악드림(동아),1712,60,1,2003,21000
15,11620,봉천동,2006-01-07,관악푸르지오,1717,59.58,23,2004,25700
16,11620,봉천동,2006-01-08,봉천동아,1703,84.87,16,2000,28500
17,11620,봉천동,2006-01-08,관악드림(삼성),1712,84.96,5,2003,28700
18,11620,봉천동,2006-01-09,관악드림(동아),1712,114.75,22,2003,38500
19,11620,봉천동,2006-01-09,봉천우성,1706,84.96,4,2000,29050
20,11620,봉천동,2006-01-09,봉천우성,1706,84.96,4,2000,27000
21,11620,봉천동,2006-01-09,무학,1531-39,59.38,3,1998,14250
22,11620,봉천동,2006-01-09,현대(관악),1000,105.84,8,1992,30000
23,11620,봉천동,2006-01-09,제창그로힐,1722,81.842,6,2005,30000
24,11620,봉천동,2006-01-10,노블레스,905-10,79.51,5,2005,20000
25,11620,봉천동,2006-01-10,보라매삼성,1698-1,84.84,6,1996,30700
26,11620,봉천동,2006-01-10,두산,1708,59.92,10,2000,26400
27,11620,봉천동,2006-01-10,봉천우성,1706,114.78,11,2000,35900
28,11620,봉천동,2006-01-11,봉천우성,1706,84.96,4,2000,24000
29,11620,봉천동,2006-01-11,두산,1708,59.92,4,2000,23200
30,11620,봉천동,2006-01-11,관악캠퍼스타워,875-1,25.86,12,1998,6200
31,11620,봉천동,2006-01-11,봉천동아,1703,84.87,22,2000,31500
32,11620,봉천동,2006-01-11,봉천우성,1706,84.96,4,2000,28800
33,11620,봉천동,2006-01-12,일두(1021),1021,38.92,1,1985,9500
34,11620,봉천동,2006-01-12,태승,24-14,55.5,6,2000,12000
35,11620,봉천동,2006-01-12,현대(관악),1000,58.59,14,1992,16550
36,11620,봉천동,2006-01-12,벽산타운II,1716,57.36,7,2003,17200
37,11620,봉천동,2006-01-12,해바라기,1500,49.02,3,1978,14100
38,11620,봉천동,2006-01-13,관악드림(동아),1712,60,11,2003,21900
39,11620,봉천동,2006-01-13,관악드림(삼성),1712,59.83,24,2003,21800
40,11620,봉천동,2006-01-13,벽산블루밍,1718,59.99,5,2005,19000
41,11620,봉천동,2006-01-13,봉천우성,1706,59.76,2,2000,18000
42,11620,봉천동,2006-01-13,관악푸르지오,1717,59.58,18,2004,23000
43,11620,봉천동,2006-01-14,해바라기,1500,49.06,3,1978,16400
44,11620,봉천동,2006-01-14,현대(관악),1000,68.8,2,1992,18700
45,11620,봉천동,2006-01-14,관악드림(동아),1712,84.96,23,2003,29600
46,11620,봉천동,2006-01-14,관악드림(동아),1712,84.96,9,2003,28500
47,11620,봉천동,2006-01-14,현대(관악),1000,58.59,10,1992,18500
48,11620,봉천동,2006-01-14,관악푸르지오,1717,84.75,19,2004,36000
