,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11530,가리봉동,2006-01-24,효성,139,84.87,6,1998,17000
1,11530,개봉동,2006-01-02,현대,481,114.99,17,2001,41800
2,11530,개봉동,2006-01-03,현대홈타운,480,84.915,17,2001,30800
3,11530,개봉동,2006-01-03,삼환,470,59.4,4,1995,12600
4,11530,개봉동,2006-01-04,한마을,476,149.97,20,1999,46500
5,11530,개봉동,2006-01-07,삼환,470,114.48,10,1995,24000
6,11530,개봉동,2006-01-07,현대,481,114.99,4,2001,34000
7,11530,개봉동,2006-01-09,영화,475,59.78,2,1998,15700
8,11530,개봉동,2006-01-09,영화,475,84.96,23,1998,24300
9,11530,개봉동,2006-01-09,한진,478,59.95,14,2000,15000
10,11530,개봉동,2006-01-10,한진,478,59.95,16,2000,15250
11,11530,개봉동,2006-01-10,삼호,471,59.86,9,1996,16900
12,11530,개봉동,2006-01-10,삼호,471,84.88,21,1996,21200
13,11530,개봉동,2006-01-10,상우,473,96.3,12,1997,20000
14,11530,개봉동,2006-01-10,한마을,476,59.57,24,1999,18000
15,11530,개봉동,2006-01-10,한마을,476,59.57,10,1999,18500
16,11530,개봉동,2006-01-12,한마을,476,59.57,13,1999,18300
17,11530,개봉동,2006-01-12,현대,481,114.99,19,2001,37000
18,11530,개봉동,2006-01-12,두산,472,59.69,9,1997,14500
19,11530,개봉동,2006-01-14,한마을,476,84.57,23,1999,29900
20,11530,개봉동,2006-01-14,한진,478,84.96,13,2000,23500
21,11530,개봉동,2006-01-14,삼환,470,59.4,10,1995,14200
22,11530,개봉동,2006-01-15,현대,481,84.99,12,2001,28400
23,11530,개봉동,2006-01-16,현대,481,84.99,22,2001,27900
24,11530,개봉동,2006-01-16,현대홈타운,480,84.915,6,2001,26200
25,11530,개봉동,2006-01-17,한진,478,59.95,9,2000,15000
26,11530,개봉동,2006-01-17,상우,473,59.4,19,1997,12900
27,11530,개봉동,2006-01-17,청실,175-8,64.56,2,1987,14250
28,11530,개봉동,2006-01-18,한진,478,84.96,9,2000,22500
29,11530,개봉동,2006-01-18,현대,481,84.99,1,2001,26000
30,11530,개봉동,2006-01-18,현대홈타운,480,84.915,3,2001,24000
31,11530,개봉동,2006-01-18,현대,481,114.99,18,2001,37000
32,11530,개봉동,2006-01-19,현대홈타운,480,84.915,17,2001,26000
33,11530,개봉동,2006-01-19,영화아이닉스,488,84.98,11,2005,22900
34,11530,개봉동,2006-01-19,한진,478,59.95,15,2000,15400
35,11530,개봉동,2006-01-19,신양지(나동),318-1,65.53,2,2004,14500
36,11530,개봉동,2006-01-20,한진,478,84.96,14,2000,23500
37,11530,개봉동,2006-01-20,현대,481,59.94,20,2001,22100
38,11530,개봉동,2006-01-20,현대홈타운,480,59.49,21,2001,18800
39,11530,개봉동,2006-01-21,두산,472,59.69,27,1997,13000
40,11530,개봉동,2006-01-21,한진,478,59.95,8,2000,15430
41,11530,개봉동,2006-01-22,삼환,470,59.4,19,1995,14500
42,11530,개봉동,2006-01-22,고운아파트,484,84.91,2,2002,18100
43,11530,개봉동,2006-01-22,현대,481,114.99,25,2001,34000
44,11530,개봉동,2006-01-23,거성,270-80,58.23,5,1988,11200
45,11530,개봉동,2006-01-23,현대,481,114.99,13,2001,36000
46,11530,개봉동,2006-01-24,한마을,476,59.57,13,1999,19500
47,11530,개봉동,2006-01-24,한진,478,59.95,1,2000,13200
48,11530,개봉동,2006-01-24,한진,478,84.96,3,2000,23200
49,11530,개봉동,2006-01-24,현대,481,84.99,17,2001,26650
50,11530,개봉동,2006-01-24,한마을,476,84.57,8,1999,29100
51,11530,개봉동,2006-01-25,삼환,470,59.4,14,1995,13750
52,11530,개봉동,2006-01-25,신양지(가동),318-36,65.53,4,2004,14200
53,11530,개봉동,2006-01-26,건양(346-33),346-33,70.71,1,2001,11800
54,11530,개봉동,2006-01-26,현대,481,84.99,24,2001,28500
55,11530,개봉동,2006-01-26,한진,478,59.95,16,2000,15250
56,11530,개봉동,2006-01-26,한마을,476,59.57,23,1999,20100
57,11530,개봉동,2006-01-26,삼환,470,114.48,24,1995,26000
58,11530,개봉동,2006-01-26,길훈,312-38,59.56,2,1988,11300
