,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11545,가산동,2006-01-02,두산,769,59.84,1,1998,16000
1,11545,가산동,2006-01-13,두산,769,59.84,8,1998,16000
2,11545,가산동,2006-01-23,두산,769,59.84,18,1998,18000
3,11545,독산동,2006-01-04,진도1차,1002,84.84,9,1996,16900
4,11545,독산동,2006-01-07,계룡아파트,332-14,84.96,10,1998,21500
5,11545,독산동,2006-01-08,한신아파트,1093-4,89.46,5,1991,22500
6,11545,독산동,2006-01-10,독산주공14단지,1088,84.79,6,1990,25000
7,11545,독산동,2006-01-10,문성,887-7,68.76,7,2001,14300
8,11545,독산동,2006-01-11,금천현대,711-2,59.82,6,2002,14800
9,11545,독산동,2006-01-11,금천현대,711-2,84.83,17,2002,20100
10,11545,독산동,2006-01-11,진도3차아파트,1136,79.71,17,1999,19600
11,11545,독산동,2006-01-12,호정타워,1069,76.62,5,1993,13800
12,11545,독산동,2006-01-12,진도3차아파트,1136,79.71,19,1999,19800
13,11545,독산동,2006-01-13,한아마인드,1142,73.81,8,2005,19500
14,11545,독산동,2006-01-15,독산주공14단지,1088,38.64,10,1990,9000
15,11545,독산동,2006-01-15,금천현대,711-2,59.82,4,2002,14600
16,11545,독산동,2006-01-15,한신아파트,1093-4,89.46,10,1991,23300
17,11545,독산동,2006-01-16,한신아파트,1093-4,129.66,11,1991,41500
18,11545,독산동,2006-01-16,대덕트윈빌,1028,59.56,7,2002,17300
19,11545,독산동,2006-01-19,금천현대,711-2,59.82,16,2002,16200
20,11545,독산동,2006-01-19,독산주공14단지,1088,59.22,4,1990,16110
21,11545,독산동,2006-01-20,동심,184-4,55.8429,2,2003,13500
22,11545,독산동,2006-01-21,신도브래뉴,955,55.55,8,2002,18800
23,11545,독산동,2006-01-21,금천현대,711-2,84.83,1,2002,18600
24,11545,독산동,2006-01-23,독산주공14단지,1088,44.89,14,1990,10500
25,11545,독산동,2006-01-23,삼익,956,59.96,4,1998,16250
26,11545,독산동,2006-01-24,독산주공14단지,1088,59.22,9,1990,16618
27,11545,독산동,2006-01-24,독산주공14단지,1088,59.22,3,1990,16130
28,11545,독산동,2006-01-25,진도2차,1133,59.95,3,1997,13000
29,11545,독산동,2006-01-26,금천현대,711-2,84.83,18,2002,20950
30,11545,독산동,2006-01-27,각산,1093-5,84.78,2,2002,22000
31,11545,독산동,2006-01-31,한아마인드,1142,73.81,8,2005,15000
32,11545,독산동,2006-01-31,한신아파트,1093-4,89.46,12,1991,22000
33,11545,시흥동,2006-01-03,우방,1011,84.84,13,2002,27500
34,11545,시흥동,2006-01-04,벽산,1010,59.94,9,2000,14000
35,11545,시흥동,2006-01-05,관악산벽산타운5,1013,84.97,4,2004,22500
