,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11320,도봉동,2006-01-02,서원,641,49.77,2,1996,9600
1,11320,도봉동,2006-01-03,한신,01월 30일,84.94,2,1995,17450
2,11320,도봉동,2006-01-04,한신,01월 30일,84.94,17,1995,17750
3,11320,도봉동,2006-01-05,한신,01월 30일,84.94,6,1995,17600
4,11320,도봉동,2006-01-09,동아에코빌,654,105.976,1,2003,33800
5,11320,도봉동,2006-01-10,서울가든,555,75.33,1,1987,13700
6,11320,도봉동,2006-01-10,현대성우,642,59.92,14,1998,13000
7,11320,도봉동,2006-01-14,현대성우,642,59.04,14,1998,13700
8,11320,도봉동,2006-01-17,서원,641,49.77,12,1996,10700
9,11320,도봉동,2006-01-18,럭키,595,84.86,6,1992,20500
10,11320,도봉동,2006-01-18,양우내안애,656,84.92,1,2005,20800
11,11320,도봉동,2006-01-19,한신,01월 30일,84.94,16,1995,19300
12,11320,도봉동,2006-01-20,서원,641,49.77,6,1996,10200
13,11320,도봉동,2006-01-23,서원,641,49.77,5,1996,10600
14,11320,도봉동,2006-01-25,한신,01월 30일,84.94,3,1995,18300
15,11320,도봉동,2006-01-26,서울가든,555,75.33,9,1987,15000
16,11320,도봉동,2006-01-27,한신,01월 30일,84.94,13,1995,18000
17,11320,도봉동,2006-01-28,서원,641,49.77,10,1996,10400
18,11320,방학동,2006-01-02,벽산아파트1,275,84.9,5,1991,16300
19,11320,방학동,2006-01-02,신동아아파트1,271-1,51.27,1,1987,7500
20,11320,방학동,2006-01-03,신동아아파트1,271-1,51.27,6,1987,8950
21,11320,방학동,2006-01-04,한화/성원아파트,731,84.98,3,1996,17300
22,11320,방학동,2006-01-04,신동아아파트1,271-1,53.16,3,1988,8200
23,11320,방학동,2006-01-05,벽산아파트1,275,52.36,13,1991,8500
24,11320,방학동,2006-01-09,삼익세라믹아파트,274,58.77,5,1988,10000
25,11320,방학동,2006-01-09,신동아아파트1,271-1,53.16,8,1988,9200
26,11320,방학동,2006-01-10,한화/성원아파트,731,84.98,6,1996,17700
27,11320,방학동,2006-01-10,청구아파트,734,84.97,2,1995,15400
28,11320,방학동,2006-01-11,신동아아파트2,531,147.48,13,1992,41200
29,11320,방학동,2006-01-11,신동아아파트2,531,122.28,9,1992,34500
30,11320,방학동,2006-01-12,대상타운현대아파트,720-1,84.78,9,2001,32200
31,11320,방학동,2006-01-12,신동아아파트2,531,84.82,11,1992,18850
32,11320,방학동,2006-01-16,거성학마을아파트,701-15,134.29,14,1994,30000
33,11320,방학동,2006-01-16,청구아파트,734,70.69,2,1995,13170
34,11320,방학동,2006-01-17,신동아아파트4,732,84.9,6,1995,16550
35,11320,방학동,2006-01-17,우성아파트2,508,84.98,2,1993,15300
36,11320,방학동,2006-01-18,방학E.S.A2아파트,716-5,84.98,14,2003,28800
37,11320,방학동,2006-01-19,신동아아파트1,271-1,43.35,5,1988,7200
38,11320,방학동,2006-01-19,신동아아파트1,271-1,62.22,3,1990,10700
39,11320,방학동,2006-01-19,신동아아파트1,271-1,112.49,9,1989,31000
40,11320,방학동,2006-01-20,신동아아파트4,732,84.9,11,1995,16200
41,11320,방학동,2006-01-21,신동아아파트1,271-1,62.22,4,1988,11500
42,11320,방학동,2006-01-23,대상타운현대아파트,720-1,84.78,19,2001,33200
43,11320,방학동,2006-01-23,우성아파트2,508,84.98,5,1993,17250
44,11320,방학동,2006-01-23,신동아아파트1,271-1,53.16,3,1988,8800
45,11320,방학동,2006-01-25,동부센트레빌아파트,689,84.983,5,2005,30000
46,11320,방학동,2006-01-25,대상타운현대아파트,720-1,84.78,12,2001,32250
47,11320,방학동,2006-01-26,신동아아파트2,531,84.86,14,1992,19500
48,11320,방학동,2006-01-27,신동아아파트1,271-1,53.16,4,1989,9800
49,11320,방학동,2006-01-27,신동아아파트1,271-1,62.22,11,1988,11450
50,11320,방학동,2006-01-27,신동아아파트4,732,59.92,5,1995,10500
51,11320,방학동,2006-01-28,신주아파트B,695-21,56.21,2,2003,9350
52,11320,방학동,2006-01-31,극동아파트,730,84.935,12,1993,16900
53,11320,방학동,2006-01-31,우성아파트1,507,72.06,7,1992,13650
54,11320,쌍문동,2006-01-02,삼익세라믹,56,58.77,6,1988,10550
55,11320,쌍문동,2006-01-04,한양6,May-59,83.86,7,2002,17450
56,11320,쌍문동,2006-01-04,북한산월드메르디앙,728,114.28,9,2005,44000
57,11320,쌍문동,2006-01-05,미라보,160,59.96,4,1995,12000
58,11320,쌍문동,2006-01-09,금호1,199-1,70.13,11,1990,14500
59,11320,쌍문동,2006-01-11,금호2,산69-1,71.98,9,1991,15000
60,11320,쌍문동,2006-01-11,극동,721,84.9,4,1996,17400
61,11320,쌍문동,2006-01-11,동익미라벨,285-5,84.53,11,1987,13000
62,11320,쌍문동,2006-01-11,삼익세라믹,56,58.77,4,1988,10900
63,11320,쌍문동,2006-01-12,한양1,388-33,50.58,6,1986,12300
64,11320,쌍문동,2006-01-13,한양2,59,48.96,2,1988,8240
65,11320,쌍문동,2006-01-13,한양6,May-59,83.86,3,2002,16400
66,11320,쌍문동,2006-01-13,한양1,388-33,66.33,8,1986,15800
67,11320,쌍문동,2006-01-14,한양6,May-59,83.86,3,2002,15500
68,11320,쌍문동,2006-01-16,신일라이프,726,81.68,11,2002,18800
69,11320,쌍문동,2006-01-16,한양4,59,35.1,5,1989,5900
70,11320,쌍문동,2006-01-18,현대3,719,84.83,10,1995,18000
71,11320,쌍문동,2006-01-18,삼익세라믹,56,42.93,6,1988,8100
72,11320,쌍문동,2006-01-19,삼익세라믹,56,79.98,3,1988,17380
73,11320,쌍문동,2006-01-19,삼익세라믹,56,58.77,12,1988,10850
74,11320,쌍문동,2006-01-20,한양2,59,59.67,14,1988,10280
75,11320,쌍문동,2006-01-20,현대1,54,44.55,11,1990,7500
76,11320,쌍문동,2006-01-21,현대1,54,84.66,3,1990,15050
77,11320,쌍문동,2006-01-21,현대2,50,85,4,1993,15600
78,11320,쌍문동,2006-01-21,한양1,388-33,66.33,6,1986,16400
79,11320,쌍문동,2006-01-23,경남,73,46.3,1,1988,7700
80,11320,쌍문동,2006-01-24,경남,73,46.3,7,1988,8000
81,11320,쌍문동,2006-01-24,한양1,388-33,50.58,4,1986,12500
82,11320,쌍문동,2006-01-24,한양3,59,76.92,7,1988,13900
83,11320,쌍문동,2006-01-25,금호1,199-1,70.13,11,1990,14050
84,11320,쌍문동,2006-01-26,현대2,50,85,6,1993,16650
85,11320,쌍문동,2006-01-27,한양3,59,76.92,8,1988,13750
86,11320,쌍문동,2006-01-27,현대1,54,84.66,3,1990,16200
87,11320,쌍문동,2006-01-31,한양6,May-59,83.86,10,2002,17000
88,11320,창동,2006-01-03,창동2차현대,815,84.504,19,2001,29500
89,11320,창동,2006-01-06,창동주공1단지,305,49.94,14,1990,10306
90,11320,창동,2006-01-07,쌍용,807,59.88,20,1997,18670
91,11320,창동,2006-01-09,창동주공3단지(해등마을),347,49.94,6,1991,12730
92,11320,창동,2006-01-09,창동주공2단지,316,36.16,12,1990,7300
93,11320,창동,2006-01-10,창동주공2단지,316,36.16,15,1990,6800
94,11320,창동,2006-01-10,창동주공4단지,380,41.3,7,1991,7600
95,11320,창동,2006-01-10,삼성래미안,45,84.87,9,1992,24500
96,11320,창동,2006-01-11,창동주공3단지(해등마을),347,49.94,15,1990,12000
97,11320,창동,2006-01-12,태영데시앙,819,84.995,12,2003,27700
98,11320,창동,2006-01-12,대우,804,59.86,16,1995,15500
99,11320,창동,2006-01-12,상아1차아파트,299,69.03,11,1987,17400
100,11320,창동,2006-01-13,삼성래미안,45,84.87,8,1992,25300
101,11320,창동,2006-01-13,창동주공3단지(해등마을),347,79.07,2,1990,22900
102,11320,창동,2006-01-14,초안산신도브래뉴,821,84.9991,16,2005,25000
103,11320,창동,2006-01-14,삼성래미안,45,73.92,10,1992,22300
104,11320,창동,2006-01-16,창동주공3단지(해등마을),347,66.56,15,1990,18000
105,11320,창동,2006-01-16,창동주공3단지(해등마을),347,79.07,11,1990,25000
106,11320,창동,2006-01-16,대우,804,59.86,6,1995,15700
107,11320,창동,2006-01-17,창동주공4단지,380,41.3,1,1991,6650
108,11320,창동,2006-01-17,대우그린,814,59.97,1,2000,15000
109,11320,창동,2006-01-18,창동주공3단지(해등마을),347,79.07,4,1990,23000
110,11320,창동,2006-01-18,창동주공2단지,316,49.94,1,1990,10500
111,11320,창동,2006-01-18,대동,811,59.76,1,1999,11000
112,11320,창동,2006-01-19,금용,809,122.15,11,1997,27500
113,11320,창동,2006-01-19,창동주공3단지(해등마을),347,49.94,9,1991,13150
114,11320,창동,2006-01-20,주공17단지,38,36.16,6,1989,6000
115,11320,창동,2006-01-20,창동주공3단지(해등마을),347,71.89,5,1990,18500
