,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11230,답십리동,2006-01-02,우성그린,989-1,59.36,8,1997,12000
1,11230,답십리동,2006-01-13,답십리청솔우성,80,84.94,14,2000,28500
2,11230,답십리동,2006-01-16,두산,990,84.83,15,2000,28500
3,11230,답십리동,2006-01-18,동서울한양,41,76.41,15,1989,22700
4,11230,답십리동,2006-01-19,답십리대우,111,114.94,9,2002,34800
5,11230,답십리동,2006-01-20,두산,990,59.96,5,2000,18000
6,11230,답십리동,2006-01-22,두산,990,84.83,18,2000,26700
7,11230,답십리동,2006-01-26,답십리대우,111,84.99,13,2002,25000
8,11230,답십리동,2006-01-26,두산,990,84.83,21,2000,26000
9,11230,답십리동,2006-01-27,동답한신,42,44.35,8,1992,11300
10,11230,답십리동,2006-01-28,동답한신,42,82.39,1,1992,17800
11,11230,답십리동,2006-01-31,우성그린,989-1,59.36,1,1997,13500
12,11230,용두동,2006-01-25,신동아,779,58.59,15,1994,16550
13,11230,용두동,2006-01-26,신동아,779,84.63,2,1994,25000
14,11230,이문동,2006-01-08,대림e-편한세상,225,59.958,12,2003,23900
15,11230,이문동,2006-01-14,래미안이문2차,311,59.79,23,2004,23700
16,11230,이문동,2006-01-16,래미안이문2차,311,84.61,15,2004,34500
17,11230,이문동,2006-01-18,현대,54,84.58,2,2000,22000
18,11230,이문동,2006-01-21,현대,54,59.92,18,2000,17000
19,11230,이문동,2006-01-22,대림e-편한세상,225,59.958,5,2003,24000
20,11230,이문동,2006-01-23,대림e-편한세상,225,84.97200000000001,12,2003,32000
21,11230,이문동,2006-01-23,대림e-편한세상,225,59.958,8,2003,22500
22,11230,이문동,2006-01-23,래미안이문2차,311,59.79,12,2004,23500
23,11230,이문동,2006-01-25,대림e-편한세상,225,59.958,4,2003,22500
24,11230,이문동,2006-01-26,래미안이문2차,311,84.61,12,2004,34250
25,11230,장안동,2006-01-02,장안삼성쉐르빌,371-1,119.05,17,2002,35500
26,11230,장안동,2006-01-03,장안삼성쉐르빌,371-1,98.5,23,2002,25000
27,11230,장안동,2006-01-03,장안삼성쉐르빌,371-1,119.05,12,2002,35000
28,11230,장안동,2006-01-04,현대홈타운2차,569,84.97,1,2005,27470
29,11230,장안동,2006-01-07,현대홈타운2차,569,96.22,13,2005,34850
30,11230,장안동,2006-01-11,한신아파트,555-1,84.4,15,1996,21500
31,11230,장안동,2006-01-11,현대홈타운2차,569,84.97,1,2005,27470
32,11230,장안동,2006-01-12,신부파스카(563),563,84.99,8,2005,25000
33,11230,장안동,2006-01-14,현대홈타운2차,569,76.07,14,2005,28000
34,11230,장안동,2006-01-16,장안동신일해피트리,568,84.94,1,2005,27780
35,11230,장안동,2006-01-16,현대홈타운2차,569,84.97,1,2005,27470
36,11230,장안동,2006-01-17,현대홈타운2차,569,84.97,1,2005,27470
37,11230,장안동,2006-01-17,한신아파트,555-1,84.9,16,1996,23000
38,11230,장안동,2006-01-18,형인허브빌2차(566),566,83.65,1,2005,21600
39,11230,장안동,2006-01-20,신일해피트리2차(567),567,79.51,8,2005,27480
40,11230,장안동,2006-01-24,장안현대,95-1,95.39,2,1984,22450
41,11230,장안동,2006-01-27,래미안장안,354-2,59.86,21,2003,26250
42,11230,장안동,2006-01-29,형인허브빌2차(566),566,83.65,6,2005,21951
43,11230,장안동,2006-01-31,장안현대홈타운(336),336,112.78,20,2003,47700
44,11230,장안동,2006-01-31,장안삼성쉐르빌,371-1,97.5,27,2002,29000
45,11230,장안동,2006-01-31,형인허브빌2차(566),566,84.94,8,2005,27400
46,11230,전농동,2006-01-14,전농동삼성래미안,155,84.98,12,2000,30900
47,11230,전농동,2006-01-16,동아,645-2,57.9,9,1997,17500
48,11230,전농동,2006-01-16,전농SK,10,84.95,20,2000,27500
49,11230,전농동,2006-01-22,동아,645-2,83.01,8,1997,26500
50,11230,전농동,2006-01-23,전농우성,6,44.24,13,1992,11300
51,11230,전농동,2006-01-24,전농동삼성래미안,155,59.93,9,2000,20600
52,11230,전농동,2006-01-26,전농SK,10,59.34,17,2000,18400
53,11230,전농동,2006-01-26,전농동신성미소지움,687,55.371,3,2005,18500
54,11230,전농동,2006-01-27,전농SK,10,59.96,18,2000,21400
55,11230,전농동,2006-01-27,전농동삼성래미안,155,59.93,9,2000,20000
56,11230,전농동,2006-01-28,전농동신성미소지움,687,55.371,3,2005,18000
57,11230,제기동,2006-01-04,한신아파트,1212,59.84,15,2004,18200
58,11230,제기동,2006-01-12,한신아파트,1212,59.84,3,2004,17000
59,11230,제기동,2006-01-14,한신아파트,1212,84.76,18,2004,27300
60,11230,제기동,2006-01-14,한신아파트,1212,59.84,15,2004,17800
61,11230,제기동,2006-01-17,한신아파트,1212,114.885,6,2004,32250
62,11230,제기동,2006-01-19,한신아파트,1212,59.84,5,2004,17000
63,11230,제기동,2006-01-20,현대,892-66,59.92,16,1999,20950
64,11230,제기동,2006-01-22,경동미주,892-68,96.96,5,1977,27000
65,11230,청량리동,2006-01-04,홍릉동부,212,59.7,20,2001,23000
66,11230,청량리동,2006-01-05,한신,60,84.92,19,1997,26000
67,11230,청량리동,2006-01-07,한신,60,114.95,20,1997,30500
68,11230,청량리동,2006-01-10,한신,60,84.92,17,1997,25800
69,11230,청량리동,2006-01-10,홍릉동부,212,84.7,12,2001,26900
70,11230,청량리동,2006-01-11,한신,60,84.92,11,1997,27250
71,11230,청량리동,2006-01-12,한신,60,114.95,18,1997,34500
72,11230,청량리동,2006-01-17,한신,60,59.97,4,1997,17850
73,11230,청량리동,2006-01-23,한신,60,84.92,2,1997,24000
74,11230,청량리동,2006-01-23,홍릉동부,212,59.85,11,2001,19800
75,11230,청량리동,2006-01-26,미주,235-1,86.74,5,1978,25000
76,11230,회기동,2006-01-05,신현대,65,72.27,3,1989,19300
77,11230,회기동,2006-01-06,신현대,65,84.96,8,1989,23100
78,11230,회기동,2006-01-14,신현대,65,84.96,6,1989,22500
79,11230,회기동,2006-01-16,신현대,65,84.96,7,1989,21500
80,11230,회기동,2006-01-31,신현대,65,55.89,1,1989,13500
81,11230,휘경동,2006-01-05,동양1차,115,59.85,14,2000,27000
