,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11590,노량진동,2006-01-07,형인한강,331,76.05,9,2001,20000
1,11590,노량진동,2006-01-09,신동아리버파크,325,114.75,19,2001,51500
2,11590,노량진동,2006-01-09,우성,323,59.82,14,1997,21300
3,11590,노량진동,2006-01-12,신동아리버파크,325,84.88,2,2001,32900
4,11590,노량진동,2006-01-13,신동아리버파크,325,59.67,9,2001,24000
5,11590,노량진동,2006-01-15,우성,323,124.77,15,1997,45500
6,11590,노량진동,2006-01-16,삼익,330,58.96,9,2001,20000
7,11590,노량진동,2006-01-17,신동아리버파크,325,84.88,22,2001,39500
8,11590,노량진동,2006-01-18,신동아리버파크,325,59.67,5,2001,24300
9,11590,노량진동,2006-01-18,신동아리버파크,325,84.88,19,2001,38500
10,11590,노량진동,2006-01-18,삼익,330,84.68,15,2001,26800
11,11590,노량진동,2006-01-18,우성,323,59.82,7,1997,21000
12,11590,노량진동,2006-01-18,신동아리버파크,325,59.67,13,2001,23800
13,11590,노량진동,2006-01-19,신동아리버파크,325,59.67,6,2001,23700
14,11590,노량진동,2006-01-19,우성,323,59.82,13,1997,20900
15,11590,노량진동,2006-01-20,우성,323,124.77,11,1997,47000
16,11590,노량진동,2006-01-20,신동아리버파크,325,59.67,22,2001,23300
17,11590,노량진동,2006-01-20,우성,323,59.82,10,1997,21500
18,11590,노량진동,2006-01-21,우성,323,59.82,7,1997,21650
19,11590,노량진동,2006-01-21,신동아리버파크,325,59.67,17,2001,24800
20,11590,노량진동,2006-01-21,우성,323,84.96,8,1997,33000
21,11590,노량진동,2006-01-22,신동아리버파크,325,59.67,26,2001,24650
22,11590,노량진동,2006-01-23,신동아리버파크,325,59.67,17,2001,24500
23,11590,노량진동,2006-01-23,형인한강,331,76.05,13,2001,20500
24,11590,노량진동,2006-01-24,우성,323,59.82,4,1997,21000
25,11590,노량진동,2006-01-24,신동아리버파크,325,84.88,4,2001,36500
26,11590,노량진동,2006-01-24,신동아리버파크,325,84.88,21,2001,39500
27,11590,노량진동,2006-01-24,우성,323,84.96,14,1997,30000
28,11590,노량진동,2006-01-24,신동아리버파크,325,84.88,7,2001,33000
29,11590,노량진동,2006-01-25,신동아리버파크,325,59.67,14,2001,25500
30,11590,노량진동,2006-01-25,신동아리버파크,325,84.88,1,2001,29000
31,11590,노량진동,2006-01-25,우성,323,84.96,15,1997,33000
32,11590,노량진동,2006-01-25,신동아리버파크,325,84.88,21,2001,40000
33,11590,노량진동,2006-01-27,신동아리버파크,325,84.88,24,2001,40900
34,11590,노량진동,2006-01-27,우성,323,59.82,7,1997,21400
35,11590,노량진동,2006-01-27,신동아리버파크,325,84.88,23,2001,40900
36,11590,노량진동,2006-01-27,신동아리버파크,325,114.75,18,2001,53000
37,11590,노량진동,2006-01-31,우성,323,84.96,1,1997,29500
38,11590,대방동,2006-01-03,대림아파트,501,59.84,11,1993,25000
