,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11440,공덕동,2006-01-03,공덕1삼성래미안,371,84.94,10,1999,44000
1,11440,공덕동,2006-01-07,공덕2삼성래미안,43,59.97,5,2004,29800
2,11440,공덕동,2006-01-09,공덕1삼성래미안,371,59.74,9,1999,26500
3,11440,공덕동,2006-01-09,공덕현대,370-9,84.61,15,1989,28000
4,11440,공덕동,2006-01-10,공덕1삼성래미안,371,84.94,15,1999,45000
5,11440,공덕동,2006-01-11,공덕1삼성래미안,371,84.94,23,1999,47000
6,11440,공덕동,2006-01-13,공덕1삼성래미안,371,84.94,10,1999,43500
7,11440,공덕동,2006-01-13,공덕1삼성래미안,371,84.94,4,1999,43800
8,11440,공덕동,2006-01-14,공덕1삼성래미안,371,84.94,22,1999,43250
9,11440,공덕동,2006-01-15,공덕현대,370-9,71.82,6,1989,24500
10,11440,공덕동,2006-01-15,마포현대,188-108,84.87,1,1988,25900
11,11440,공덕동,2006-01-15,마포현대,188-108,84.87,15,1988,31500
12,11440,공덕동,2006-01-16,공덕2삼성래미안,43,114.87,20,2004,56500
13,11440,공덕동,2006-01-16,공덕2삼성래미안,43,84.94,7,2004,40000
14,11440,공덕동,2006-01-17,공덕2삼성래미안,43,59.97,11,2004,30500
15,11440,공덕동,2006-01-17,공덕현대,370-9,84.79,2,1989,25400
16,11440,공덕동,2006-01-18,공덕3삼성래미안,457,114.98,7,2004,71000
17,11440,공덕동,2006-01-19,공덕현대,370-9,51.62,4,1989,17800
18,11440,공덕동,2006-01-20,공덕현대,370-9,84.61,12,1989,29500
19,11440,공덕동,2006-01-21,공덕2삼성래미안,43,84.94,2,2004,40500
20,11440,공덕동,2006-01-21,마포현대,188-108,59.95,4,1988,20000
21,11440,공덕동,2006-01-22,공덕현대,370-9,84.69,11,1989,28500
22,11440,공덕동,2006-01-22,공덕현대,370-9,84.79,9,1989,27400
23,11440,공덕동,2006-01-23,공덕1삼성래미안,371,59.74,2,1999,24000
24,11440,공덕동,2006-01-24,공덕1삼성래미안,371,84.94,16,1999,45000
25,11440,공덕동,2006-01-24,공덕1삼성래미안,371,84.94,7,1999,44800
26,11440,공덕동,2006-01-25,공덕2삼성래미안,43,84.94,14,2004,46000
27,11440,공덕동,2006-01-25,공덕현대,370-9,84.61,13,1989,30000
28,11440,공덕동,2006-01-25,공덕현대,370-9,84.61,11,1989,29500
29,11440,공덕동,2006-01-25,공덕1삼성래미안,371,59.74,5,1999,27950
30,11440,노고산동,2006-01-04,신촌포스빌,01월 03일,32.34,7,2004,13500
31,11440,대흥동,2006-01-03,마포태영,660,84.77,10,1999,38000
32,11440,대흥동,2006-01-05,마포태영,660,84.77,16,1999,40750
33,11440,대흥동,2006-01-08,마포태영,660,59.4,20,1999,24800
34,11440,대흥동,2006-01-12,마포태영,660,114.93,2,1999,46700
35,11440,대흥동,2006-01-12,마포태영,660,59.4,22,1999,22000
36,11440,대흥동,2006-01-16,대흥동세양,802,114.24,5,2000,40000
37,11440,대흥동,2006-01-16,마포태영,660,59.4,13,1999,24000
38,11440,대흥동,2006-01-16,마포태영,660,84.77,2,1999,34500
39,11440,대흥동,2006-01-17,마포태영,660,84.77,22,1999,38500
40,11440,대흥동,2006-01-17,마포태영,660,84.77,15,1999,40100
41,11440,대흥동,2006-01-18,마포태영,660,59.4,20,1999,24800
42,11440,대흥동,2006-01-18,마포태영,660,84.77,23,1999,39500
43,11440,대흥동,2006-01-19,마포태영,660,84.77,7,1999,37400
44,11440,대흥동,2006-01-19,마포태영,660,59.4,13,1999,23500
45,11440,대흥동,2006-01-19,마포태영,660,59.4,5,1999,22500
46,11440,대흥동,2006-01-21,마포태영,660,114.93,14,1999,57500
47,11440,대흥동,2006-01-23,마포태영,660,59.4,11,1999,23450
48,11440,대흥동,2006-01-23,마포태영,660,84.77,23,1999,44800
49,11440,대흥동,2006-01-26,마포태영,660,59.4,1,1999,20000
50,11440,대흥동,2006-01-26,마포태영,660,114.93,24,1999,54700
51,11440,대흥동,2006-01-26,마포태영,660,114.93,8,1999,56250
52,11440,대흥동,2006-01-27,마포태영,660,84.77,2,1999,35600
53,11440,도화동,2006-01-04,우성,82,68.94,12,1991,27200
54,11440,도화동,2006-01-05,삼성,550,84.985,5,1997,44000
55,11440,도화동,2006-01-07,삼성,550,72.185,6,1997,34700
56,11440,도화동,2006-01-07,삼성,550,84.985,5,1997,40500
57,11440,도화동,2006-01-09,우성,82,68.94,14,1991,27700
58,11440,도화동,2006-01-09,삼성,550,84.985,12,1997,43000
59,11440,도화동,2006-01-10,우성,82,141.515,2,1991,59500
60,11440,도화동,2006-01-10,현대홈타운,353,84.95,6,2000,31600
61,11440,도화동,2006-01-10,도화동현대,357,54.72,6,1996,18500
62,11440,도화동,2006-01-10,삼성,550,84.985,1,1997,36500
63,11440,도화동,2006-01-12,현대홈타운,353,84.95,8,2000,32000
64,11440,도화동,2006-01-12,현대홈타운,353,84.95,4,2000,32500
65,11440,도화동,2006-01-13,도화동현대,357,68.22,7,1996,23000
