,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11650,반포동,2006-01-02,에이아이디차관주택,968,72.51,4,1974,76000
1,11650,반포동,2006-01-02,반포 주공1단지,757,107.47,2,1973,125000
2,11650,반포동,2006-01-02,한신서래,70-1,45.72,2,1987,24000
3,11650,반포동,2006-01-03,청목아트빌,95-14,110.01,3,2001,38000
4,11650,반포동,2006-01-03,삼호가든맨션(4차),30-18,96.6,9,1983,64000
5,11650,반포동,2006-01-03,삼호가든맨션(4차),30-18,96.6,9,1984,64000
6,11650,반포동,2006-01-03,에이아이디차관주택,968,72.51,5,1974,70000
7,11650,반포동,2006-01-04,반포(주공3),20-1,80.23,3,1980,150000
8,11650,반포동,2006-01-04,반포경남아파트,1-8,72.28,1,1978,48750
9,11650,반포동,2006-01-05,레베빌,86-2,244.74,6,1998,230000
10,11650,반포동,2006-01-06,반포 주공1단지,757,107.47,5,1973,118000
11,11650,반포동,2006-01-06,반포경남아파트,1-8,97.79,1,1978,65000
12,11650,반포동,2006-01-06,반포(주공2),14-1,57.36,5,1980,115000
13,11650,반포동,2006-01-07,반포(주공3),20-1,49.98,5,1980,135000
14,11650,반포동,2006-01-07,반포미도2차아파트,60-5,71.49,12,1989,50000
15,11650,반포동,2006-01-07,반포미도,60-4,84.96,14,1987,70000
16,11650,반포동,2006-01-07,"삼호가든맨션(1,2차)",30-2,129.22,4,1981,100000
17,11650,반포동,2006-01-08,반포(주공2),14-1,57.36,5,1980,119500
18,11650,반포동,2006-01-08,반포미도,60-4,84.96,14,1987,68000
19,11650,반포동,2006-01-08,삼호가든맨션(3차),32-8,109.72,11,1982,64800
20,11650,반포동,2006-01-09,에이아이디차관주택,968,72.51,3,1974,77500
21,11650,반포동,2006-01-09,현대동궁아파트,64-5,70.38,12,1991,43000
22,11650,반포동,2006-01-09,에이아이디차관주택,968,72.51,2,1974,78000
23,11650,반포동,2006-01-09,반포푸르지오,10,84.82,6,2000,62800
24,11650,반포동,2006-01-09,"삼호가든맨션(1,2차)",30-2,99.11,9,1981,75000
25,11650,반포동,2006-01-10,반포미도2차아파트,60-5,71.49,4,1989,46400
26,11650,반포동,2006-01-10,반포(주공3),20-1,49.98,2,1980,87000
27,11650,반포동,2006-01-10,반포경남아파트,1-8,72.28,5,1978,49900
28,11650,반포동,2006-01-10,반포경남아파트,1-8,97.79,2,1978,68000
29,11650,반포동,2006-01-10,한신3차,1-1,108.89,2,1978,79000
30,11650,반포동,2006-01-10,반포경남아파트,1-8,154.74,8,1978,130000
31,11650,반포동,2006-01-10,에이아이디차관주택,968,72.51,5,1974,77000
32,11650,반포동,2006-01-11,"삼호가든맨션(1,2차)",30-2,61.12,6,1981,42400
33,11650,반포동,2006-01-11,반포 주공1단지,757,107.47,4,1973,123500
34,11650,반포동,2006-01-11,반포푸르지오,10,59.91,11,2000,44500
35,11650,반포동,2006-01-11,반포(주공2),14-1,57.36,2,1980,125000
36,11650,반포동,2006-01-11,반포미도,60-4,84.96,12,1987,67000
37,11650,반포동,2006-01-11,한신서래,70-1,147.67,2,1987,90000
38,11650,반포동,2006-01-12,반포경남아파트,1-8,71.97,8,1978,51800
39,11650,반포동,2006-01-12,반포푸르지오,10,84.82,5,2000,62000
40,11650,반포동,2006-01-12,반포(주공3),20-1,50.88,3,1980,130000
41,11650,반포동,2006-01-12,"삼호가든맨션(1,2차)",30-2,63.5,9,1981,44000
42,11650,반포동,2006-01-12,"삼호가든맨션(1,2차)",30-2,84.36,11,1981,61800
43,11650,반포동,2006-01-12,"삼호가든맨션(1,2차)",30-2,99.14,6,1981,75000
44,11650,반포동,2006-01-12,한신서래,70-1,118.32,2,1987,71300
45,11650,반포동,2006-01-12,한신서래,70-1,115.0,1,1987,70000
46,11650,반포동,2006-01-13,반포 주공1단지,757,140.33,5,1973,157000
47,11650,반포동,2006-01-13,상지리츠빌(73-10),73-10,180.39,4,2001,89800
48,11650,반포동,2006-01-13,한신서래,70-1,137.47,1,1987,77000
