,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11290,길음동,2006-01-11,길음동동부센트레빌(1278-0),1278,59.998000000000005,9,2003,20000
1,11290,길음동,2006-01-15,돈암2-1삼부,1276,84.13,12,1998,23300
2,11290,길음동,2006-01-18,길음뉴타운2단지푸르지오,1280,84.97,14,2005,33000
3,11290,길음동,2006-01-18,돈암2-1삼부,1276,59.94,6,1998,15300
4,11290,길음동,2006-01-21,길음동동부센트레빌(1278-0),1278,59.998000000000005,14,2003,21200
5,11290,길음동,2006-01-21,길음동동부센트레빌(1278-0),1278,59.998000000000005,7,2003,20700
6,11290,길음동,2006-01-21,돈암2-1삼부,1276,59.94,9,1998,15750
7,11290,길음동,2006-01-22,길음동동부센트레빌(1278-0),1278,59.998000000000005,6,2003,20700
8,11290,길음동,2006-01-23,길음동동부센트레빌(1278-0),1278,84.844,18,2003,28800
9,11290,길음동,2006-01-24,길음동동부센트레빌(1278-0),1278,59.998000000000005,18,2003,20500
10,11290,길음동,2006-01-26,길음뉴타운1단지(래미안길음1차),1279,114.98,4,2003,44300
11,11290,길음동,2006-01-26,길음동동부센트레빌(1278-0),1278,84.844,16,2003,29200
12,11290,길음동,2006-01-26,길음뉴타운1단지(래미안길음1차),1279,59.99,14,2003,25500
13,11290,길음동,2006-01-26,길음동동부센트레빌(1278-0),1278,59.998000000000005,9,2003,20100
14,11290,길음동,2006-01-27,돈암2-1삼부,1276,59.94,14,1998,15300
15,11290,길음동,2006-01-27,돈암2-1삼부,1276,111.71,1,1998,26700
16,11290,돈암동,2006-01-04,돈암동삼성,15-1,84.59,15,1999,25500
17,11290,돈암동,2006-01-05,한신,609-1,68.13,20,1998,16500
18,11290,돈암동,2006-01-05,한진(609-1),609-1,84.87,7,1998,25000
19,11290,돈암동,2006-01-07,돈암동삼성,15-1,59.4,4,1999,15800
20,11290,돈암동,2006-01-15,한진(609-1),609-1,132.96,15,1998,35000
21,11290,돈암동,2006-01-16,한신,609-1,84.87,12,1998,28000
22,11290,돈암동,2006-01-17,한진(609-1),609-1,84.87,5,1998,23000
23,11290,돈암동,2006-01-17,한진(609-1),609-1,84.87,20,1998,23200
24,11290,돈암동,2006-01-17,범양,631,114.93,12,1998,26800
25,11290,돈암동,2006-01-17,한신,609-1,84.87,7,1998,28000
26,11290,돈암동,2006-01-18,돈암현대아파트,1,41.58,10,1991,10900
27,11290,돈암동,2006-01-18,한진(609-1),609-1,84.87,14,1998,23500
28,11290,돈암동,2006-01-18,한진(609-1),609-1,84.87,10,1998,24200
29,11290,돈암동,2006-01-18,한진(609-1),609-1,113.67,15,1998,32500
30,11290,돈암동,2006-01-18,한신,609-1,84.87,17,1998,28100
31,11290,돈암동,2006-01-19,한신,609-1,68.13,2,1998,15500
32,11290,돈암동,2006-01-20,범양,631,84.92,4,1998,21900
33,11290,돈암동,2006-01-21,한진(609-1),609-1,84.87,2,1998,22000
34,11290,돈암동,2006-01-22,돈암현대아파트,1,41.58,10,1991,10300
35,11290,돈암동,2006-01-22,돈암동삼성,15-1,84.59,2,1999,21600
36,11290,돈암동,2006-01-22,돈암동삼성,15-1,84.59,11,1999,25850
37,11290,돈암동,2006-01-22,한진(609-1),609-1,132.96,6,1998,38250
38,11290,돈암동,2006-01-23,한진(609-1),609-1,59.58,8,1998,14400
39,11290,돈암동,2006-01-23,한진(609-1),609-1,59.58,9,1998,14500
40,11290,돈암동,2006-01-23,돈암동 풍림아파트 101~105동,632,59.64,4,1999,14300
41,11290,돈암동,2006-01-23,범양,631,84.92,3,1998,22161
42,11290,돈암동,2006-01-23,한진(609-1),609-1,113.67,19,1998,39800
43,11290,돈암동,2006-01-24,한신,609-1,68.13,7,1998,16500
44,11290,돈암동,2006-01-24,구현대,624,51.47,2,1981,11000
45,11290,돈암동,2006-01-25,한진(609-1),609-1,59.58,17,1998,14000
46,11290,돈암동,2006-01-25,돈암동삼성,15-1,84.59,14,1999,26500
47,11290,돈암동,2006-01-26,구현대,624,66.02,1,1981,10450
48,11290,돈암동,2006-01-26,구현대,624,74.95,3,1981,11750
49,11290,돈암동,2006-01-26,일신건영휴먼빌아파트,524,84.98,6,2005,27800
50,11290,돈암동,2006-01-26,한신,609-1,84.87,18,1998,28500
51,11290,돈암동,2006-01-27,한신,609-1,132.96,1,1998,35000
52,11290,돈암동,2006-01-31,한신,609-1,68.13,14,1998,17500
53,11290,동소문동4가,2006-01-16,송산아파트,279,84.87,7,1998,28000
54,11290,동소문동7가,2006-01-24,한신플러스C,23,84.95,3,2004,29000
55,11290,보문동3가,2006-01-25,현대I-PARK,2,59.65,1,2003,23200
56,11290,보문동6가,2006-01-15,아남,36-2,84.9,6,1994,20800
57,11290,삼선동4가,2006-01-17,코오롱,73,59.94,16,1999,19800
58,11290,삼선동4가,2006-01-26,코오롱,73,59.94,7,1999,19500
59,11290,석관동,2006-01-04,두산,10,84.9,24,1998,27500
60,11290,석관동,2006-01-09,두산,10,84.9,1,1998,21000
61,11290,석관동,2006-01-09,중앙하이츠,110-2,59.79,5,1994,12700
62,11290,석관동,2006-01-12,두산,10,59.97,14,1998,18500
63,11290,석관동,2006-01-16,코오롱,405,59.94,13,1999,14800
64,11290,석관동,2006-01-18,두산,10,59.97,22,1998,18400
65,11290,석관동,2006-01-19,코오롱,405,59.94,5,1999,14000
