,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11470,목동,2006-01-02,목동신시가지7,925,53.88,11,1988,31000
1,11470,목동,2006-01-02,금호1,934,59.88,10,1997,31000
2,11470,목동,2006-01-03,성원2,709-2,59.9,11,2000,18300
3,11470,목동,2006-01-04,동해아파트,405-293,83.58,6,1997,27300
4,11470,목동,2006-01-04,극동늘푸른,752-1,59.91,17,1998,21200
5,11470,목동,2006-01-04,대원칸타빌,808-5,107.268,13,2001,58000
6,11470,목동,2006-01-04,목4현대,755-1,59.91,10,1997,18000
7,11470,목동,2006-01-05,목동신시가지6,911,65.1,9,1986,47250
8,11470,목동,2006-01-05,목동신시가지3,903,153.58,2,1986,177000
9,11470,목동,2006-01-05,금호어울림,951,133.03,3,2004,58000
10,11470,목동,2006-01-05,월드메르디앙,750-5,84.1969,1,2001,25000
11,11470,목동,2006-01-06,대원,502-7,84.986,3,2002,25000
12,11470,목동,2006-01-06,건영,928,84.33,12,1994,20300
13,11470,목동,2006-01-06,진도1,935,59.84,14,1998,27500
14,11470,목동,2006-01-07,현대I-PARK,940,82.81,14,2003,45300
15,11470,목동,2006-01-07,목동신시가지7,925,66.6,14,1986,50800
16,11470,목동,2006-01-07,부영3,908-34,157.29,19,2000,89000
17,11470,목동,2006-01-07,금호어울림,951,133.03,6,2004,64000
18,11470,목동,2006-01-08,현대I-PARK,940,100.45,12,2003,56500
19,11470,목동,2006-01-09,에이스,769-19,58.07,7,1997,13000
20,11470,목동,2006-01-09,목동신시가지3,903,64.98,4,1986,53500
21,11470,목동,2006-01-09,목동성원초원,751-4,84.96,14,1999,29000
22,11470,목동,2006-01-09,목동신시가지1,901,83.23,1,1985,77000
23,11470,목동,2006-01-09,대원칸타빌,808-5,81.233,9,2001,44500
24,11470,목동,2006-01-09,목동신시가지5,912,65.08,7,1986,48750
25,11470,목동,2006-01-09,목동신시가지4,904,95.67,4,1986,83000
26,11470,목동,2006-01-09,목동신시가지2,902,95.67,1,1986,73000
27,11470,목동,2006-01-10,부영2,908-28,207.06,12,2000,108000
28,11470,목동,2006-01-10,부영3,908-34,133.03,24,2000,78800
29,11470,목동,2006-01-10,목동신시가지3,903,64.98,6,1986,47000
30,11470,목동,2006-01-10,현대I-PARK,940,100.45,14,2003,54000
31,11470,목동,2006-01-10,목동금호베스트빌,549,125.37,7,2002,57800
32,11470,목동,2006-01-10,우성,200,84.44,11,1992,42600
33,11470,목동,2006-01-10,목동청구한신아파트,929,84.77,6,1997,54000
34,11470,목동,2006-01-11,목동청구한신아파트,929,84.77,2,1997,49700
35,11470,목동,2006-01-11,목동신시가지1,901,51.48,4,1985,36500
36,11470,목동,2006-01-11,목동청구한신아파트,929,84.77,3,1997,46000
37,11470,목동,2006-01-11,대원칸타빌2,941,84.98,4,2003,46200
38,11470,목동,2006-01-11,진도1,935,84.96,11,1998,44500
39,11470,목동,2006-01-11,목동신시가지1,901,98.08,3,1985,86900
40,11470,목동,2006-01-11,목동신시가지7,925,101.2,7,1986,83000
41,11470,목동,2006-01-11,롯데캐슬위너,956,84.94,10,2005,50200
42,11470,목동,2006-01-12,목동신시가지5,912,95.21,4,1986,79700
43,11470,목동,2006-01-12,목동신시가지7,925,101.2,15,1986,84500
44,11470,목동,2006-01-12,목동신시가지3,903,95.74,3,1986,85000
45,11470,목동,2006-01-12,목동신시가지6,911,65.1,19,1986,45900
46,11470,목동,2006-01-12,목동신시가지7,925,53.88,8,1988,31300
47,11470,목동,2006-01-12,금강에스쁘아,753-1,82.615,16,2002,33000
48,11470,목동,2006-01-12,목동신시가지6,911,65.1,5,1986,45500
49,11470,목동,2006-01-13,극동늘푸른,752-1,84.21,8,1998,33200
50,11470,목동,2006-01-13,우성,200,84.44,10,1992,42000
51,11470,목동,2006-01-13,현대I-PARK,940,59.65,11,2003,31000
52,11470,목동,2006-01-13,목동신시가지6,911,65.1,8,1986,45800
53,11470,목동,2006-01-13,목동신시가지2,902,95.4,4,1986,85000
54,11470,목동,2006-01-13,목동신시가지1,901,91.26,1,1985,75500
55,11470,목동,2006-01-13,목동신시가지5,912,65.08,10,1986,51800
56,11470,목동,2006-01-14,목동신시가지7,925,59.39,5,1986,36800
57,11470,목동,2006-01-14,목동신시가지7,925,53.88,12,1988,31500
58,11470,목동,2006-01-14,목동성원(926-8),926-8,58.05,5,1997,19000
59,11470,목동,2006-01-14,목동청구한신아파트,929,84.77,7,1997,55000
60,11470,목동,2006-01-14,목동신시가지5,912,95.06,14,1986,84000
61,11470,목동,2006-01-14,신동아파밀리에,772-7,84.9861,1,2002,29000
