,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11560,당산동,2006-01-06,드림리버빌,378,74.14,3,2002,23900
1,11560,당산동,2006-01-14,강변래미안,376,79.43,9,2002,41000
2,11560,당산동,2006-01-14,강변래미안,376,55.91,16,2002,30000
3,11560,당산동,2006-01-17,강변래미안,376,79.05,7,2002,45200
4,11560,당산동,2006-01-18,강변래미안,376,55.91,6,2002,29000
5,11560,당산동,2006-01-21,강변래미안,376,55.91,12,2002,29000
6,11560,당산동,2006-01-23,강변래미안,376,79.43,16,2002,41800
7,11560,당산동,2006-01-24,강변래미안,376,79.43,17,2002,42500
8,11560,당산동,2006-01-25,래미안당산1차,374,114.79,4,1995,53500
9,11560,당산동,2006-01-25,래미안당산1차,374,59.97,5,1995,25800
10,11560,당산동,2006-01-26,강변래미안,376,79.43,15,2002,42000
11,11560,당산동,2006-01-26,강변래미안,376,79.43,3,2002,37800
12,11560,당산동,2006-01-26,드림시드,171-19,64.02,5,2005,20500
13,11560,당산동,2006-01-26,강변래미안,376,55.91,6,2002,30450
14,11560,당산동,2006-01-26,강변래미안,376,78.9,2,2002,34800
15,11560,당산동1가,2006-01-19,진로,01월 16일,84.87,13,1997,32500
16,11560,당산동1가,2006-01-20,진로,01월 16일,59.4,22,1997,23150
17,11560,당산동1가,2006-01-25,진로,01월 16일,59.4,3,1997,21300
18,11560,당산동2가,2006-01-02,대우,01월 16일,45.55,17,1999,13070
19,11560,당산동2가,2006-01-07,대우,01월 16일,45.55,20,1999,13000
20,11560,당산동2가,2006-01-07,현대,164,82.77,9,1994,29350
21,11560,당산동2가,2006-01-08,대우,01월 16일,31.73,8,1999,7950
22,11560,당산동2가,2006-01-08,대우,01월 16일,31.73,9,1999,8100
23,11560,당산동2가,2006-01-13,현대,164,82.77,19,1994,30700
24,11560,당산동2가,2006-01-17,현대,164,82.77,6,1994,31950
25,11560,당산동2가,2006-01-18,대우,01월 16일,45.55,18,1999,12950
26,11560,당산동2가,2006-01-18,대우,01월 16일,31.73,15,1999,8500
27,11560,당산동2가,2006-01-25,현대,164,82.77,6,1994,30000
28,11560,당산동2가,2006-01-28,현대,164,82.77,14,1994,31500
29,11560,당산동3가,2006-01-06,삼익,394,82.65,11,1979,25700
30,11560,당산동3가,2006-01-07,동부센트레빌,561,114.96,19,2003,58500
31,11560,당산동3가,2006-01-09,한양,02월 06일,84.93,9,1986,27850
32,11560,당산동3가,2006-01-12,동부센트레빌,561,114.96,22,2003,58000
33,11560,당산동4가,2006-01-06,한강아파트,29,59.4,3,1999,18000
34,11560,당산동4가,2006-01-08,현대3,88,84.5,5,1988,28500
35,11560,당산동4가,2006-01-09,현대3,88,84.5,8,1988,31700
36,11560,당산동4가,2006-01-10,현대5,01월 30일,59.75,16,2000,27900
37,11560,당산동4가,2006-01-10,현대5,01월 30일,84.69,7,2000,40500
38,11560,당산동4가,2006-01-11,한강아파트,29,59.4,7,1999,18400
39,11560,당산동4가,2006-01-14,당산2차삼성,Jan-94,59.76,3,1997,20670
40,11560,당산동4가,2006-01-15,현대5,01월 30일,114.84,10,2000,54000
41,11560,당산동4가,2006-01-16,현대3,88,84.5,6,1988,29500
42,11560,당산동4가,2006-01-18,한강아파트,29,59.4,5,1999,16400
43,11560,당산동4가,2006-01-19,한강아파트,29,84.98,16,1999,27300
44,11560,당산동4가,2006-01-20,현대5,01월 30일,59.55,8,2000,24900
45,11560,당산동4가,2006-01-21,금호,95,84.25,19,2002,40000
46,11560,당산동4가,2006-01-21,현대3,88,84.5,10,1988,31000
47,11560,당산동4가,2006-01-21,유원제일,91,64.08,6,1983,27500
48,11560,당산동4가,2006-01-22,금호,95,84.25,9,2002,39600
49,11560,당산동4가,2006-01-22,현대5,01월 30일,59.75,5,2000,26500
50,11560,당산동4가,2006-01-22,현대3,88,59.26,4,1988,18200
51,11560,당산동4가,2006-01-22,현대5,01월 30일,114.84,20,2000,55500
52,11560,당산동4가,2006-01-22,현대5,01월 30일,84.69,7,2000,40300
53,11560,당산동4가,2006-01-23,유원제일,91,51.48,8,1983,21800
54,11560,당산동4가,2006-01-23,현대5,01월 30일,59.55,15,2000,26400
55,11560,당산동4가,2006-01-23,현대5,01월 30일,84.69,13,2000,42000
