,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11170,도원동,2006-01-05,삼성래미안,23,84.69,18,2001,45250
1,11170,도원동,2006-01-07,삼성래미안,23,84.69,17,2001,44000
2,11170,도원동,2006-01-07,삼성래미안,23,84.69,12,2001,40500
3,11170,도원동,2006-01-10,삼성래미안,23,114.99,22,2001,59300
4,11170,도원동,2006-01-12,삼성래미안,23,84.69,6,2001,36150
5,11170,도원동,2006-01-14,삼성래미안,23,84.69,16,2001,39700
6,11170,도원동,2006-01-14,삼성래미안,23,114.99,18,2001,62000
7,11170,도원동,2006-01-15,삼성래미안,23,59.94,19,2001,27950
8,11170,도원동,2006-01-17,삼성래미안,23,84.92,1,2001,34000
9,11170,도원동,2006-01-17,삼성래미안,23,59.94,21,2001,27500
10,11170,도원동,2006-01-18,삼성래미안,23,59.94,4,2001,25750
11,11170,도원동,2006-01-18,삼성래미안,23,59.94,20,2001,27500
12,11170,도원동,2006-01-19,삼성래미안,23,84.92,16,2001,40500
13,11170,도원동,2006-01-20,삼성래미안,23,59.94,7,2001,26300
14,11170,도원동,2006-01-20,삼성래미안,23,59.94,19,2001,27200
15,11170,도원동,2006-01-20,삼성래미안,23,84.69,17,2001,38750
16,11170,도원동,2006-01-21,삼성래미안,23,59.94,18,2001,27500
17,11170,도원동,2006-01-22,삼성래미안,23,59.94,18,2001,27500
18,11170,도원동,2006-01-23,삼성래미안,23,114.99,15,2001,59300
19,11170,도원동,2006-01-24,삼성래미안,23,84.92,10,2001,39500
20,11170,도원동,2006-01-26,삼성래미안,23,59.94,17,2001,27500
21,11170,도원동,2006-01-26,삼성래미안,23,84.69,13,2001,37800
22,11170,도원동,2006-01-31,삼성래미안,23,114.99,6,2001,52000
23,11170,문배동,2006-01-07,이안용산1차(103동),11월 29일,56.83,3,2005,22000
24,11170,문배동,2006-01-31,삼라마이다스빌2,40-19,84.44,3,2004,27000
25,11170,보광동,2006-01-20,리버빌(삼성),151,84.74,6,2000,42000
26,11170,보광동,2006-01-24,신동아1,448,84.93,10,1992,47500
27,11170,보광동,2006-01-30,리버빌(삼성),151,59.7,3,2000,23900
28,11170,보광동,2006-01-31,리버빌(삼성),151,84.74,11,2000,47000
29,11170,산천동,2006-01-02,리버힐삼성,193,114.48,15,2001,52500
30,11170,산천동,2006-01-10,리버힐삼성,193,114.48,10,2001,51500
31,11170,산천동,2006-01-13,리버힐삼성,193,84.98,2,2001,32000
32,11170,산천동,2006-01-14,리버힐삼성,193,84.98,9,2001,40000
33,11170,산천동,2006-01-16,한강타운,204,59.69,5,2001,18000
34,11170,산천동,2006-01-25,리버힐삼성,193,59.55,12,2001,22400
35,11170,서빙고동,2006-01-10,금호베스트빌1,296,144.99,8,2002,90000
36,11170,서빙고동,2006-01-11,신동아,241-21,166.98,13,1984,137000
37,11170,서빙고동,2006-01-20,신동아,241-21,166.98,12,1984,145000
38,11170,서빙고동,2006-01-21,신동아,241-21,95.66,7,1984,77000
39,11170,서빙고동,2006-01-23,신동아,241-21,140.81,6,1984,126000
40,11170,서빙고동,2006-01-24,신동아,241-21,95.66,3,1984,76800
41,11170,서빙고동,2006-01-25,신동아,241-21,140.81,8,1984,129000
42,11170,서빙고동,2006-01-26,신동아,241-21,95.66,12,1984,76000
43,11170,서빙고동,2006-01-31,신동아,241-21,95.66,5,1984,80000
44,11170,원효로3가,2006-01-02,금성,124-1,30.84,4,1971,9600
45,11170,원효로4가,2006-01-03,산호,118-16,78.06,8,1977,43500
46,11170,원효로4가,2006-01-06,강변삼성스위트,178,59.94,10,1999,27500
47,11170,원효로4가,2006-01-07,산호,118-16,113.77,9,1977,62500
48,11170,원효로4가,2006-01-11,산호,118-16,86.12,4,1977,47000
49,11170,원효로4가,2006-01-11,강변삼성스위트,178,59.94,16,1999,29850
50,11170,원효로4가,2006-01-16,풍전,109-4,82.71,2,1971,28600
51,11170,원효로4가,2006-01-17,강변삼성스위트,178,59.94,18,1999,28500
52,11170,원효로4가,2006-01-18,강변삼성스위트,178,72.84,17,1999,34000
53,11170,원효로4가,2006-01-19,강변삼성스위트,178,84.9,9,1999,44000
54,11170,원효로4가,2006-01-20,풍전,109-4,75.56,1,1971,27500
55,11170,원효로4가,2006-01-23,풍전,109-4,81.72,1,1971,29250
56,11170,원효로4가,2006-01-26,풍전,109-4,67.04,3,1971,21000
57,11170,이촌동,2006-01-02,강촌,402,114.595,19,1998,95000
58,11170,이촌동,2006-01-05,LG한강자이,430,169.44,5,2003,210000
59,11170,이촌동,2006-01-06,한강(대우),415,60,13,2000,52500
60,11170,이촌동,2006-01-07,강촌,402,84.85,16,1998,64500
61,11170,이촌동,2006-01-07,이촌동삼성리버스위트,426,234.53,13,2002,230000
62,11170,이촌동,2006-01-07,대림,395,59.22,11,1994,28000
63,11170,이촌동,2006-01-08,이촌코오롱(A),412,114.69,14,1999,86000
64,11170,이촌동,2006-01-09,렉스,300-3,121.82,14,1974,94000
65,11170,이촌동,2006-01-09,동원베네스트,434,84.97,3,2005,32000
66,11170,이촌동,2006-01-10,한가람,404,59.88,5,1998,40000
67,11170,이촌동,2006-01-11,한강맨숀,300-23,120.56,2,1971,140000
68,11170,이촌동,2006-01-11,반도,301-170,136.21,10,1977,118500
69,11170,이촌동,2006-01-11,한가람,404,59.88,19,1998,42000
70,11170,이촌동,2006-01-12,강촌,402,114.595,21,1998,93500
71,11170,이촌동,2006-01-12,한강맨숀,300-23,101.95,1,1971,125000
72,11170,이촌동,2006-01-12,동원베네스트,434,84.973,11,2005,34000
73,11170,이촌동,2006-01-12,왕궁,300-11,102.48,2,1974,76800
74,11170,이촌동,2006-01-12,강촌,402,114.595,19,1998,91000
75,11170,이촌동,2006-01-12,한가람,404,84.96,2,1998,69900
76,11170,이촌동,2006-01-13,동원베네스트,434,84.97,3,2005,32200
77,11170,이촌동,2006-01-13,한가람,404,59.88,3,1998,38500
78,11170,이촌동,2006-01-14,강촌,402,59.12,11,1998,38000
79,11170,이촌동,2006-01-15,한가람,404,59.88,13,1998,40000
80,11170,이촌동,2006-01-15,대림,395,59.22,9,1994,29000
81,11170,이촌동,2006-01-16,이촌코오롱(A),412,59.82,15,1999,37500
82,11170,이촌동,2006-01-16,대림,395,59.22,6,1994,27500
83,11170,이촌동,2006-01-16,강촌,402,106.645,19,1998,82800
84,11170,이촌동,2006-01-16,동원베네스트,434,84.973,5,2005,34000
85,11170,이촌동,2006-01-17,북한강(성원),422,59.55,12,2001,35800
86,11170,이촌동,2006-01-17,렉스,300-3,121.19,9,1974,95000
87,11170,이촌동,2006-01-17,한강(대우),415,60,5,2000,48000
88,11170,이촌동,2006-01-17,대림,395,84.78,20,1994,52500
89,11170,이촌동,2006-01-18,동부센트레빌,418,100.92,5,2001,88000
90,11170,이촌동,2006-01-18,이촌동삼성리버스위트,426,134.9,6,2002,134000
91,11170,이촌동,2006-01-19,한강맨숀,300-23,87.54,5,1971,105000
92,11170,이촌동,2006-01-20,현대맨숀,301-162,99.13,4,1974,59000
93,11170,이촌동,2006-01-20,LG한강자이,430,169.71,14,2003,228750
94,11170,이촌동,2006-01-20,한강맨숀,300-23,87.54,3,1971,108000
95,11170,이촌동,2006-01-20,한가람,404,114.96,8,1998,90500
96,11170,이촌동,2006-01-20,북한강(성원),422,59.55,13,2001,34000
97,11170,이촌동,2006-01-20,이촌동삼성리버스위트,426,180.82,16,2002,179000
98,11170,이촌동,2006-01-21,동부센트레빌,418,100.92,23,2001,105000
99,11170,이촌동,2006-01-21,동원베네스트,434,84.97,6,2005,32000
100,11170,이촌동,2006-01-23,현대맨숀,301-162,121.44,12,1974,80000
101,11170,이촌동,2006-01-23,한강(대우),415,84.98,15,2000,71000
102,11170,이촌동,2006-01-23,한가람,404,114.96,16,1998,92500
103,11170,이촌동,2006-01-23,LG한강자이,430,133.79,13,2003,169500
104,11170,이촌동,2006-01-23,북한강(성원),422,59.55,7,2001,32500
105,11170,이촌동,2006-01-24,한강(대우),415,60,13,2000,54000
106,11170,이촌동,2006-01-24,반도,301-170,136.21,6,1977,114000
107,11170,이촌동,2006-01-25,동아그린,411,59.58,18,1999,28000
108,11170,이촌동,2006-01-25,대림,395,84.78,22,1994,49000
109,11170,이촌동,2006-01-25,강촌,402,114.595,19,1998,93000
110,11170,이촌동,2006-01-25,동아그린,411,48.76,19,1999,22500
111,11170,이촌동,2006-01-26,한가람,404,59.88,11,1998,40000
112,11170,이촌동,2006-01-26,한강맨숀,300-23,87.54,5,1971,102000
113,11170,이촌동,2006-01-26,이촌코오롱(A),412,59.82,10,1999,38000
114,11170,이촌동,2006-01-26,LG한강자이,430,171.74,6,2003,204000
115,11170,이촌동,2006-01-26,동아그린,411,114.96,3,1999,52000
116,11170,이촌동,2006-01-27,강변,193-3,65.55,1,1971,28000
117,11170,이촌동,2006-01-27,강촌,402,114.595,15,1998,93000
118,11170,이촌동,2006-01-27,현대맨숀,301-162,146.38,11,1974,93000
119,11170,이촌동,2006-01-27,강촌,402,84.77,8,1998,67200
120,11170,이촌동,2006-01-27,한강(대우),415,60,24,2000,55000
121,11170,이촌동,2006-01-27,한가람,404,59.88,15,1998,41000
122,11170,이촌동,2006-01-27,이촌코오롱(A),412,114.69,1,1999,77000
123,11170,이촌동,2006-01-31,강촌,402,84.77,5,1998,64400
124,11170,이촌동,2006-01-31,한가람,404,84.89,5,1998,72000
125,11170,이촌동,2006-01-31,동원베네스트,434,84.973,9,2005,33000
126,11170,이촌동,2006-01-31,동원베네스트,434,84.97,10,2005,33000
127,11170,이촌동,2006-01-31,한가람,404,59.88,2,1998,39000
