,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11380,갈현동,2006-01-07,아름(526-2),526-2,69.45,6,2005,14500
1,11380,갈현동,2006-01-10,미미,538,59.595,1,1997,13500
2,11380,갈현동,2006-01-12,웰빙,522-16,84.94,4,2004,17000
3,11380,갈현동,2006-01-17,웰빙,522-16,81.18,3,2004,17000
4,11380,갈현동,2006-01-20,대훈,136-6,82.62,4,2002,17200
5,11380,갈현동,2006-01-21,동광갈현베르빌,465-12,134.715,21,2004,42000
6,11380,갈현동,2006-01-24,미미,538,59.595,7,1997,15000
7,11380,갈현동,2006-01-24,갈현동현대,537,88.47,15,1997,22800
8,11380,갈현동,2006-01-27,미미,538,84.9,1,1997,20400
9,11380,구산동,2006-01-07,그린,24-77,51.76,2,2005,12500
10,11380,구산동,2006-01-15,갈현현대,382,59.94,7,1998,13400
11,11380,구산동,2006-01-17,갈현현대,382,59.94,5,1998,13000
12,11380,구산동,2006-01-31,경향,162-1,84.06,9,1989,16000
13,11380,녹번동,2006-01-11,녹번JR아파트,280-1,59.86600000000001,2,2002,16400
14,11380,녹번동,2006-01-13,대림아파트(276),276,84.68,19,1993,27000
15,11380,녹번동,2006-01-24,녹번JR아파트,280-1,84.92299999999999,8,2002,33000
16,11380,불광동,2006-01-05,라이프미성,248,84.65,7,1988,32700
17,11380,불광동,2006-01-08,라이프미성,248,66.7,2,1988,20500
18,11380,불광동,2006-01-10,북한산현대홈타운,633,59.9765,2,2004,25300
19,11380,불광동,2006-01-12,라이프미성,248,125.75,9,1988,48000
20,11380,불광동,2006-01-14,라이프미성,248,66.7,3,1988,21800
21,11380,불광동,2006-01-17,북한산현대홈타운,633,84.9956,11,2004,43000
22,11380,불광동,2006-01-18,라이프미성,248,84.65,1,1988,29900
23,11380,불광동,2006-01-18,북한산현대홈타운,633,84.9956,7,2004,42000
24,11380,불광동,2006-01-22,라이프미성,248,66.7,5,1988,23000
25,11380,불광동,2006-01-24,남해그린힐,632,84.42,6,2001,18500
26,11380,수색동,2006-01-10,성우,326-12,72.05,1,2003,19800
27,11380,신사동,2006-01-05,라이프씨티,354,83.04,7,1992,15000
28,11380,신사동,2006-01-07,뉴신사신성,356,84.42,10,1993,17080
29,11380,신사동,2006-01-12,현대1,359,84.17,8,1997,21000
30,11380,신사동,2006-01-13,현대2,355,84.83,13,1994,20250
31,11380,신사동,2006-01-17,현대1,359,84.17,4,1997,17500
32,11380,신사동,2006-01-17,현대1,359,84.17,6,1997,20750
33,11380,신사동,2006-01-22,현대2,355,84.83,16,1994,20700
34,11380,신사동,2006-01-23,회림,39-2,81.12,5,2004,17800
35,11380,신사동,2006-01-23,현대2,355,84.83,3,1994,20200
36,11380,신사동,2006-01-23,라이프미성,140-1,63.53,5,1987,15400
37,11380,신사동,2006-01-24,굿모닝기룡(369-0),369,83.53,9,2005,24000
38,11380,신사동,2006-01-24,굿모닝기룡(369-0),369,83.53,10,2005,25000
39,11380,신사동,2006-01-24,회림,39-2,81.12,3,2004,18000
40,11380,신사동,2006-01-25,라이프미성,140-1,63.53,9,1987,15950
41,11380,신사동,2006-01-27,라이프미성,140-1,63.53,14,1987,15800
42,11380,신사동,2006-01-27,현대1,359,84.17,9,1997,19800
43,11380,신사동,2006-01-28,뉴서울(277-2),277-2,57.93,7,2003,10000
44,11380,신사동,2006-01-30,현대1,359,84.17,10,1997,21500
45,11380,역촌동,2006-01-02,명남뉴아파트,72-4,84.94,6,2004,19400
46,11380,역촌동,2006-01-06,서안,32-37,84.3,2,2003,17300
47,11380,응암동,2006-01-02,자선메르시안(400),400,77.58,8,2005,18700
48,11380,응암동,2006-01-10,자선메르시안(400),400,49.39,9,2005,12000
49,11380,응암동,2006-01-15,신동아,197-78,52.71,11,1990,10500
50,11380,응암동,2006-01-17,예승,113-2,83.33,4,2003,21000
51,11380,응암동,2006-01-19,자선메르시안(400),400,84.58,2,2005,17700
52,11380,응암동,2006-01-23,뉴월드(240-63),240-63,79.78,2,2005,18000
53,11380,응암동,2006-01-23,예승,113-2,82.41,4,2003,21000
54,11380,응암동,2006-01-26,자선메르시안(400),400,78.54,7,2005,21300
55,11380,응암동,2006-01-27,응암동금호,739,59.82,12,1998,17800
56,11380,증산동,2006-01-23,문영마운틴(167-1),167-1,84.99,7,2004,22100
57,11380,증산동,2006-01-25,문영마운틴(167-1),167-1,84.69,7,2004,22500
58,11380,증산동,2006-01-25,문영마운틴(167-1),167-1,84.99,4,2004,22300
59,11380,갈현동,2006-02-01,현재트윈빌,542-1,148.77,2,2000,44000
60,11380,갈현동,2006-02-01,미미,538,59.595,1,1997,13100
61,11380,갈현동,2006-02-03,갈현동현대,537,59.25,8,1997,13500
62,11380,갈현동,2006-02-07,미미,538,59.595,8,1997,15200
63,11380,갈현동,2006-02-09,동광갈현베르빌,465-12,107.156,17,2004,36000
64,11380,갈현동,2006-02-10,현재트윈빌,542-1,113.02,3,2001,24000
65,11380,갈현동,2006-02-13,동광갈현베르빌,465-12,134.715,17,2004,45300
66,11380,갈현동,2006-02-14,천수,488-16,60.66,3,2003,10500
67,11380,갈현동,2006-02-15,갈현동현대,537,59.25,7,1997,13800
68,11380,갈현동,2006-02-20,동광갈현베르빌,465-12,134.715,9,2004,44000
69,11380,구산동,2006-02-08,경향,162-1,84.06,10,1989,16000
70,11380,구산동,2006-02-16,갈현현대,382,59.94,16,1998,12900
71,11380,구산동,2006-02-17,갈현현대,382,59.94,15,1998,13300
72,11380,구산동,2006-02-19,대림e-편한세상2,546,110.415,2,2004,31200
73,11380,구산동,2006-02-19,타워,308-5,70.59,8,1999,11000
74,11380,구산동,2006-02-21,갈현현대,382,59.94,12,1998,13550
75,11380,구산동,2006-02-24,그린,24-77,52.58,2,2005,12500
76,11380,구산동,2006-02-25,송학,24-59,77.92,4,2004,14000
77,11380,구산동,2006-02-26,동익파크(355-95),355-95,84.98,7,1991,19700
78,11380,구산동,2006-02-28,우신,25-53,87.07,3,1995,12400
79,11380,녹번동,2006-02-01,녹번JR아파트,280-1,59.86600000000001,1,2002,15800
80,11380,녹번동,2006-02-11,해주드림빌,279-1,78.8,12,2001,24950
81,11380,녹번동,2006-02-21,녹번JR아파트,280-1,59.86600000000001,16,2002,16900
82,11380,녹번동,2006-02-26,녹번JR아파트,280-1,84.92299999999999,9,2002,28500
83,11380,대조동,2006-02-06,삼성타운,231,84.82,2,1997,24700
84,11380,대조동,2006-02-15,삼성타운,231,59.4,12,1997,16450
85,11380,대조동,2006-02-25,삼성타운,231,59.4,7,1997,14950
86,11380,대조동,2006-02-28,삼성타운,231,59.4,17,1997,15200
87,11380,불광동,2006-02-01,남해그린힐,632,75.42,10,2001,17000
88,11380,불광동,2006-02-02,라이프미성,248,66.7,14,1988,22500
89,11380,불광동,2006-02-04,라이프미성,248,66.7,2,1988,20900
90,11380,불광동,2006-02-07,북한산현대홈타운,633,84.9956,7,2004,38000
91,11380,불광동,2006-02-11,삼익(217-9),217-9,84.71,2,1992,17500
92,11380,불광동,2006-02-13,라이프미성,248,84.65,15,1988,32000
93,11380,불광동,2006-02-13,라이프미성,248,125.75,5,1988,46600
94,11380,불광동,2006-02-13,라이프미성,248,84.65,2,1988,30300
95,11380,불광동,2006-02-14,라이프미성,248,66.7,8,1988,22500
96,11380,불광동,2006-02-15,라이프미성,248,66.7,3,1988,22000
97,11380,불광동,2006-02-18,라이프미성,248,84.65,7,1988,31900
98,11380,불광동,2006-02-18,라이프미성,248,84.65,4,1988,31500
99,11380,불광동,2006-02-26,북한산현대홈타운,633,114.9984,7,2004,55300
100,11380,불광동,2006-02-27,라이프미성,248,84.65,2,1988,29300
101,11380,불광동,2006-02-27,라이프미성,248,66.7,2,1988,20500
102,11380,불광동,2006-02-27,라이프미성,248,84.65,11,1988,32000
103,11380,수색동,2006-02-14,밀레니엄삼우,148-2,148.68,8,2001,35000
104,11380,신사동,2006-02-02,뉴신사신성,356,84.42,9,1993,16400
105,11380,신사동,2006-02-04,뉴신사신성,356,84.42,13,1993,16800
106,11380,신사동,2006-02-05,현대1,359,84.17,12,1997,17800
107,11380,신사동,2006-02-06,현대1,359,84.17,14,1997,18800
108,11380,신사동,2006-02-06,현대2,355,84.83,1,1994,17600
109,11380,신사동,2006-02-06,현대2,355,84.83,4,1994,18400
110,11380,신사동,2006-02-07,현대1,359,84.17,3,1997,17500
111,11380,신사동,2006-02-07,라이프씨티,354,83.04,12,1992,16400
112,11380,신사동,2006-02-07,라이프씨티,354,83.04,11,1992,17000
113,11380,신사동,2006-02-08,뉴서울(277-19),277-19,77.05,6,2003,17500
114,11380,신사동,2006-02-08,신사씨티,297,58.09,18,1993,11800
115,11380,신사동,2006-02-08,신사동한신휴플러스,365,59.76,11,2003,20500
116,11380,신사동,2006-02-11,예승,39-12,84.37,2,2001,18500
117,11380,신사동,2006-02-14,라이프미성,140-1,83.27,2,1987,22800
118,11380,신사동,2006-02-14,대주파크빌,368,84.8,7,2004,21000
119,11380,신사동,2006-02-14,현대2,355,84.83,13,1994,18400
120,11380,신사동,2006-02-15,현대2,355,84.83,5,1994,20000
121,11380,신사동,2006-02-15,신사씨티,297,49.76,7,1993,8500
122,11380,신사동,2006-02-15,신사성원,360,59.94,6,2000,14500
123,11380,신사동,2006-02-16,회림,39-2,81.12,5,2004,17800
124,11380,신사동,2006-02-16,현대2,355,84.83,5,1994,19000
125,11380,신사동,2006-02-17,현대1,359,84.17,7,1997,18000
126,11380,신사동,2006-02-18,라이프씨티,354,83.04,1,1992,14500
127,11380,신사동,2006-02-18,현대1,359,84.17,4,1997,18450
