,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11260,망우동,2006-01-03,현대,508-17,51.69,5,2002,9000
1,11260,망우동,2006-01-10,현대,508-17,51.69,4,2002,9000
2,11260,망우동,2006-01-15,현대,508-17,51.69,2,2002,9700
3,11260,망우동,2006-01-22,가야써니빌,576,84.92,11,2002,20300
4,11260,망우동,2006-01-23,한울네세창,579,84.68,6,2005,20500
5,11260,망우동,2006-01-23,가야써니빌,576,84.92,2,2002,20000
6,11260,망우동,2006-01-31,청광,575,83.4564,9,2001,21300
7,11260,면목동,2006-01-03,두산3,1511,84.77,17,1995,22500
8,11260,면목동,2006-01-09,두산1,1500,59.76,8,1993,16500
9,11260,면목동,2006-01-11,두산4,1522,84.87,5,2000,24500
10,11260,면목동,2006-01-13,솔루테아파트,1523,82.811,5,2001,17900
11,11260,면목동,2006-01-16,면목동금호어울림아파트,1528,84.0827,1,2005,23034
12,11260,면목동,2006-01-16,면목동금호어울림아파트,1528,84.0827,5,2005,27900
13,11260,면목동,2006-01-18,늘푸른동아,715,59.65,13,2002,17200
14,11260,면목동,2006-01-19,신성,1519,103.11,7,1998,26000
15,11260,면목동,2006-01-20,신성미소지움,1527,80.1913,8,2004,24400
16,11260,면목동,2006-01-21,늘푸른동아,715,59.65,17,2002,17150
17,11260,면목동,2006-01-21,한신,193-1,35.3,14,1988,7000
18,11260,면목동,2006-01-22,두산4,1522,84.86,7,2000,25400
19,11260,면목동,2006-01-24,한신,193-1,84.92,12,1988,18000
20,11260,면목동,2006-01-24,늘푸른동아,715,59.65,15,2002,17500
21,11260,면목동,2006-01-27,다울101동,178-50,84.92,3,2003,17700
22,11260,면목동,2006-01-31,두산4,1522,134.7,11,2000,41000
23,11260,묵동,2006-01-08,신내,13,49.77,8,1996,12600
24,11260,묵동,2006-01-09,장미,188-1,92.49,5,1983,22000
25,11260,묵동,2006-01-10,신내두산,20,126.28,4,1995,42300
26,11260,묵동,2006-01-11,신안2,382,84.924,17,2000,22500
