,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
3558,3558,11680,개포동,2006-06-11,성원대치2단지아파트,12,49.86,9,1992,40200,806.2575210589652,23,1
3559,3559,11680,개포동,2006-06-13,개포주공 1단지,141,41.98,5,1982,66000,1572.177227251072,23,1
3560,3560,11680,개포동,2006-06-14,개포주공 3단지,138,42.55,3,1982,73500,1727.37955346651,23,1
3561,3561,11680,개포동,2006-06-16,시영,656,50.78,4,1984,90000,1772.3513194170932,23,1
3562,3562,11680,개포동,2006-06-17,성원대치2단지아파트,12,39.53,15,1992,26800,677.9661016949152,23,1
3563,3563,11680,개포동,2006-06-17,성원대치2단지아파트,12,33.18,13,1992,19770,595.8408679927667,23,1
3564,3564,11680,개포동,2006-06-17,개포주공 3단지,138,50.39,2,1982,101000,2004.3659456241317,23,1
3585,3585,11680,논현동,2006-06-13,토미빌(228-9),228-9,145.68,2,2003,59500,408.4294343767161,23,1
3586,3586,11680,논현동,2006-06-14,테크노빌라트,271-6,71.93,4,2002,24300,337.8284443208675,23,1
3587,3587,11680,논현동,2006-06-15,두산위브2단지,258,68.484,4,2004,58500,854.2141230068338,23,1
3588,3588,11680,논현동,2006-06-16,신동아(22),22,35.73,6,1997,19500,545.75986565911,23,1
3617,3617,11680,대치동,2006-06-12,청실1,633,84.96,4,1979,127000,1494.8210922787196,23,1
3618,3618,11680,대치동,2006-06-14,은마,316,76.79,4,1979,89800,1169.4231019664019,23,1
3619,3619,11680,대치동,2006-06-14,아름빌(889-74),889-74,30.46,4,2003,15000,492.4491135915955,23,1
3620,3620,11680,대치동,2006-06-15,은마,316,76.79,2,1979,90000,1172.0276077614271,23,1
3621,3621,11680,대치동,2006-06-17,한보미도맨션2,511,84.96,10,1985,110000,1294.7269303201508,23,1
3622,3622,11680,대치동,2006-06-17,은마,316,76.79,2,1979,90000,1172.0276077614271,23,1
3623,3623,11680,대치동,2006-06-17,대치주성,962-20,83.51,7,2004,39700,475.39216860256255,23,1
3648,3648,11680,도곡동,2006-06-11,진달래,538,106.24,9,2001,84500,795.3689759036145,23,1
3649,3649,11680,도곡동,2006-06-11,경남,967,84.94,21,2005,71200,838.2387567694843,23,1
3650,3650,11680,도곡동,2006-06-12,타워팰리스1,467,164.97,57,2002,293000,1776.080499484755,23,1
3651,3651,11680,도곡동,2006-06-14,현대비젼21,467-19,32.65,17,1999,11000,336.906584992343,23,1
3652,3652,11680,도곡동,2006-06-15,매봉삼성,966,83.49,8,1999,59400,711.4624505928854,23,1
3653,3653,11680,도곡동,2006-06-16,럭키(963),963,84.97,12,1995,80000,941.5087678004002,23,1
3654,3654,11680,도곡동,2006-06-16,삼성래미안,May-91,89.88,20,2001,111000,1234.9799732977303,23,1
3668,3668,11680,삼성동,2006-06-12,대우멤버스카운티301,33-24,142.31,2,2005,74000,519.9915677043075,23,1
3669,3669,11680,삼성동,2006-06-13,한일,48,80.29,4,2001,55000,685.0168140490721,23,1
3670,3670,11680,삼성동,2006-06-13,강변삼부아파트,Dec-99,81.943,2,2000,51500,628.4856546623873,23,1
3671,3671,11680,삼성동,2006-06-13,삼성동한솔아파트,04월 06일,85.0,8,1998,57500,676.4705882352941,23,1
3672,3672,11680,삼성동,2006-06-17,대우멤버스카운티(102동),Sep-98,104.5,5,2004,55000,526.3157894736842,23,1
3690,3690,11680,수서동,2006-06-12,신동아,736,49.96,11,1992,28000,560.4483586869495,23,1
3691,3691,11680,수서동,2006-06-15,까치마을,746,39.6,2,1993,18500,467.17171717171715,23,1
3692,3692,11680,수서동,2006-06-17,삼성,747,84.97,7,1997,77000,906.2021890078852,23,1
3704,3704,11680,신사동,2006-06-14,압구정하이츠파크,632,264.65,24,2004,215404,813.9202720574344,23,1
3713,3713,11680,압구정동,2006-06-14,미성1차,414,180.56,5,1982,197000,1091.0500664599026,23,1
3714,3714,11680,압구정동,2006-06-15,한양1차(영동한양),490,63.87,5,1977,85000,1330.8282448723971,23,1
3715,3715,11680,압구정동,2006-06-15,신현대12차,434,110.82,5,1982,124000,1118.9316007940806,23,1
3716,3716,11680,압구정동,2006-06-16,한양1차(영동한양),490,49.98,10,1977,65000,1300.5202080832335,23,1
3717,3717,11680,압구정동,2006-06-17,미성2차,397,74.4,16,1987,79000,1061.8279569892472,23,1
3718,3718,11680,압구정동,2006-06-17,미성2차,397,74.4,15,1987,84000,1129.032258064516,23,1
3734,3734,11680,역삼동,2006-06-12,한화진넥스빌,706-20,51.08,12,2001,15900,311.2764291307753,23,1
3735,3735,11680,역삼동,2006-06-13,경남아너스빌,722,84.932,4,2002,45000,529.8356332124523,23,1
3736,3736,11680,역삼동,2006-06-14,진달래2차,762,94.55,6,1980,99500,1052.3532522474882,23,1
3737,3737,11680,역삼동,2006-06-15,대우디오빌플러스,824-25,34.41,8,2004,14500,421.3891310665505,23,1
3759,3759,11680,일원동,2006-06-12,수서,711,59.94,5,1992,28800,480.4804804804805,23,1
3760,3760,11680,일원동,2006-06-13,푸른마을 아파트 101동~111동,719,84.93,9,1994,64000,753.5617567408453,23,1
3761,3761,11680,일원동,2006-06-17,수서,711,59.94,12,1992,30500,508.8421755088422,23,1
3773,3773,11680,청담동,2006-06-12,청담대우멤버스카운티6차,110-4,195.83,5,2004,125000,638.3087371699943,23,1
3774,3774,11680,청담동,2006-06-15,한양,134-9,54.94,3,1981,43200,786.3123407353477,23,1
3775,3775,11680,청담동,2006-06-15,씨티2차(202동),104-13,84.37,5,1992,56500,669.6693137371103,23,1
