,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
65809,1,11680,개포동,2019-06-02,개포주공 1단지,141,49.56,2,1982,209000,4217.110573042776,700
65810,1,11680,개포동,2019-06-02,개포주공 6단지,185,83.21,2,1983,181000,2175.219324600409,700
65811,1,11680,개포동,2019-06-03,개포주공 6단지,185,60.13,5,1983,150000,2494.595044071179,700
65812,1,11680,개포동,2019-06-04,개포주공 1단지,141,42.55,5,1982,220000,5170.387779083431,700
65813,1,11680,개포동,2019-06-04,성원대치2단지아파트,12,33.18,15,1992,72000,2169.98191681736,700
65814,1,11680,개포동,2019-06-04,개포주공 7단지,185,60.76,6,1983,150000,2468.729427254773,700
65815,1,11680,개포동,2019-06-05,개포주공 1단지,141,45.26,2,1982,170000,3756.0760053026956,700
65816,1,11680,개포동,2019-06-05,개포자이(12-2),12월 02일,168.42,14,2004,211000,1252.8203301270635,700
65817,1,11680,개포동,2019-06-06,개포주공 1단지,141,42.55,1,1982,170000,3995.299647473561,700
65818,1,11680,개포동,2019-06-06,삼익대청아파트,12,51.12,6,1992,105000,2053.9906103286385,700
65819,1,11680,개포동,2019-06-06,개포주공 1단지,141,42.55,1,1982,155000,3642.7732079905995,700
65820,1,11680,개포동,2019-06-06,경남1,649,123.28,10,1984,209000,1695.3277092796884,700
65821,1,11680,개포동,2019-06-07,개포주공 5단지,187,74.25,6,1983,174700,2352.861952861953,700
65822,1,11680,개포동,2019-06-07,현대1차101동~106동,653,176.56,3,1984,224000,1268.6905301314,700
65823,1,11680,개포동,2019-06-07,개포주공 1단지,141,58.08,4,1982,187540,3228.9944903581268,700
65824,1,11680,개포동,2019-06-08,개포주공 6단지,185,73.02,5,1983,170000,2328.1292796494113,700
65825,1,11680,개포동,2019-06-08,개포주공 7단지,185,60.76,3,1983,148000,2435.813034891376,700
65826,1,11680,개포동,2019-06-08,경남1,649,123.28,10,1984,208000,1687.2160934458143,700
65827,1,11680,개포동,2019-06-08,개포우성3차,652,104.43,6,1984,157000,1503.3994063008713,700
65828,1,11680,개포동,2019-06-08,개포주공 1단지,141,41.98,3,1982,153000,3644.59266317294,700
65893,1,11680,논현동,2019-06-03,동현아파트 1~6,105,84.92,7,1985,136000,1601.5073009891662,700
65894,1,11680,논현동,2019-06-03,두산위브2단지,258,84.721,8,2004,120000,1416.4138761346064,700
