,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
28623,1,11740,강일동,2013-05-10,강일리버파크3단지,674,59.7,10,2009,34000,569.5142378559464,383
28640,1,11740,고덕동,2013-05-06,주공2,212,55.8,4,1983,56000,1003.584229390681,383
28641,1,11740,고덕동,2013-05-07,배재현대,312,84.9,16,1995,48000,565.3710247349823,383
28642,1,11740,고덕동,2013-05-07,고덕시영,492,59.0,2,1984,57000,966.1016949152543,383
28643,1,11740,고덕동,2013-05-08,고덕 아이파크,499,59.99,11,2011,49700,828.4714119019836,383
28644,1,11740,고덕동,2013-05-09,고덕시영,492,34.01,5,1984,35600,1046.7509556012938,383
28645,1,11740,고덕동,2013-05-10,배재현대,312,59.94,9,1995,32750,546.3797130463797,383
28646,1,11740,고덕동,2013-05-11,고덕시영,492,43.0,5,1984,42900,997.6744186046511,383
28668,1,11740,길동,2013-05-06,강동큐브(2차),415-13,15.12,7,2013,13300,879.6296296296297,383
28669,1,11740,길동,2013-05-06,청원파크빌2,361-18,84.95,3,2004,33000,388.46380223660975,383
28670,1,11740,길동,2013-05-07,강동큐브(2차),415-13,15.12,6,2013,13300,879.6296296296297,383
28671,1,11740,길동,2013-05-07,신동아,160,72.29,10,1983,29000,401.16198644349146,383
28672,1,11740,길동,2013-05-08,SM해그린12차,Jun-97,84.56,4,2006,33000,390.2554399243141,383
28673,1,11740,길동,2013-05-09,하나플러스,401-1,84.85,11,2004,39000,459.63464938126106,383
28674,1,11740,길동,2013-05-09,강동LG자이,474,147.17,10,2003,68000,462.050689678603,383
28675,1,11740,길동,2013-05-09,강동한신휴플러스,414-10,84.98,12,2006,32800,385.97317015768414,383
28676,1,11740,길동,2013-05-09,길동우성,400,84.75,7,1994,40700,480.23598820059,383
28677,1,11740,길동,2013-05-10,태성,360-5,76.45,1,2003,28000,366.2524525833878,383
28678,1,11740,길동,2013-05-11,삼익파크맨션,53,56.16,2,1982,24200,430.91168091168095,383
28679,1,11740,길동,2013-05-11,희훈리치파크1,472,76.72,4,2002,32000,417.10114702815434,383
28680,1,11740,길동,2013-05-11,강동한신휴플러스,414-10,84.61,5,2006,33500,395.9342867273372,383
28681,1,11740,길동,2013-05-11,유덕휴먼빌,353-40,76.66,2,2003,28000,365.24915210018264,383
28712,1,11740,둔촌동,2013-05-06,둔촌주공4단지,170-1,99.61,4,1980,76800,771.0069270153599,383
28713,1,11740,둔촌동,2013-05-07,상상프리,435-2,57.67,11,2012,27000,468.18102999826596,383
28714,1,11740,둔촌동,2013-05-08,신성둔촌미소지움2,134-10,59.88,5,2000,31000,517.7020708082832,383
28715,1,11740,둔촌동,2013-05-08,광남캐스빌(631),631,84.98,4,2012,43500,511.88514944692866,383
28716,1,11740,둔촌동,2013-05-09,둔촌주공4단지,170-1,99.61,8,1980,74300,745.9090452765787,383
28717,1,11740,둔촌동,2013-05-11,현대1차아파트,04월 30일,84.36,2,1984,41000,486.01232811759127,383
28718,1,11740,둔촌동,2013-05-11,둔촌주공3단지,174-1,70.87,5,1980,55700,785.9460984901932,383
28719,1,11740,둔촌동,2013-05-11,둔촌주공3단지,174-1,70.87,9,1980,55800,787.3571327783264,383
28734,1,11740,명일동,2013-05-06,고덕주공9,257,83.21,8,1985,45000,540.8003845691624,383
28735,1,11740,명일동,2013-05-07,명일우성,42,133.65,13,1986,67300,503.5540591096146,383
28736,1,11740,명일동,2013-05-07,한양,54,119.37,1,1986,52500,439.8089972354863,383
28737,1,11740,명일동,2013-05-08,삼익그린1차,294,76.46,11,1982,37000,483.91315720638244,383
28738,1,11740,명일동,2013-05-10,삼익그린1차,294,55.83,1,1981,26500,474.65520329571916,383
28739,1,11740,명일동,2013-05-10,삼익그린1차,294,78.02,5,1981,37000,474.2373750320431,383
28740,1,11740,명일동,2013-05-10,명일엘지,332,84.96,9,1999,42000,494.35028248587577,383
28763,1,11740,상일동,2013-05-09,주공3,121,55.8,1,1983,49000,878.1362007168459,383
28764,1,11740,상일동,2013-05-10,고덕리엔파크3단지,490,84.83,15,2011,43000,506.89614523163976,383
28765,1,11740,상일동,2013-05-10,고덕리엔파크3단지,490,84.83,5,2011,43000,506.89614523163976,383
28786,1,11740,성내동,2013-05-06,파라디아,605,115.49,3,2010,50947,441.1377608450948,383
28787,1,11740,성내동,2013-05-06,파라디아,605,84.92,9,2010,49000,577.0136599152144,383
