,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
31749,31749,11740,강일동,2014-03-24,강일리버파크2단지,668,84.83,5,2009,46000,542.260992573382,429,1
31750,31750,11740,강일동,2014-03-24,강일리버파크1단지,665,84.83,6,2009,40000,471.5312978898975,429,1
31751,31751,11740,강일동,2014-03-25,강일리버파크3단지,674,84.83,2,2009,41000,483.3195803371449,429,1
31752,31752,11740,강일동,2014-03-28,강일리버파크3단지,674,84.74,5,2009,43300,510.9747462827473,429,1
31753,31753,11740,강일동,2014-03-28,강일리버파크5단지,670,84.83,13,2009,42900,505.717316986915,429,1
31780,31780,11740,고덕동,2014-03-24,고덕 아이파크,499,177.99,14,2011,115000,646.1037136917804,429,1
31826,31826,11740,길동,2014-03-24,다성이즈빌(349-1),349-1,16.88,6,2012,12500,740.5213270142181,429,1
31827,31827,11740,길동,2014-03-24,삼익파크맨션,53,64.11,1,1983,25750,401.65340820464826,429,1
31828,31828,11740,길동,2014-03-24,라인,365-1,105.71,9,1998,41500,392.58348311418035,429,1
31829,31829,11740,길동,2014-03-25,에이치비골드빌(102동),384-4,64.19,14,2004,27900,434.6471412992678,429,1
31830,31830,11740,길동,2014-03-25,신동아,160,60.39,12,1983,23500,389.137274383176,429,1
31831,31831,11740,길동,2014-03-26,메트로아파텔,388-5,84.92,6,2004,34000,400.37682524729155,429,1
31832,31832,11740,길동,2014-03-27,강동큐브(2차),415-13,12.52,7,2013,12300,982.4281150159745,429,1
31833,31833,11740,길동,2014-03-28,한건,237,79.77,6,2001,30900,387.36367055283944,429,1
31834,31834,11740,길동,2014-03-29,한솔브리즈,415-11,125.04,7,2004,39000,311.90019193857967,429,1
31891,31891,11740,둔촌동,2014-03-24,세양청마루,426,84.08,3,2005,35400,421.02759276879164,429,1
31892,31892,11740,둔촌동,2014-03-26,둔촌주공3단지,174-1,96.75,4,1980,70500,728.6821705426356,429,1
31893,31893,11740,둔촌동,2014-03-27,신동아파밀리에,555,84.93,6,2002,49000,576.9457200047098,429,1
31894,31894,11740,둔촌동,2014-03-27,둔촌주공3단지,174-1,99.61,9,1980,78500,788.0734865977312,429,1
31895,31895,11740,둔촌동,2014-03-27,신동아파밀리에,555,59.4,6,2002,35000,589.2255892255893,429,1
31896,31896,11740,둔촌동,2014-03-29,둔촌푸르지오,630,84.9,10,2010,58000,683.1566548881036,429,1
31946,31946,11740,명일동,2014-03-25,에스엠해그린,357,98.19,4,2004,37300,379.87575109481617,429,1
31947,31947,11740,명일동,2014-03-26,삼익그린2차,15,66.87,7,1983,42000,628.0843427545984,429,1
31948,31948,11740,명일동,2014-03-26,신동아,44,81.07,5,1986,51000,629.0859750832615,429,1
31949,31949,11740,명일동,2014-03-26,명일엘지,332,84.9,5,1999,40500,477.0318021201413,429,1
31950,31950,11740,명일동,2014-03-27,현대(고덕),56,131.83,6,1986,62500,474.0954259273306,429,1
31951,31951,11740,명일동,2014-03-27,명일우성,42,84.93,9,1986,51250,603.4381255151301,429,1
31952,31952,11740,명일동,2014-03-27,삼익그린2차,15,66.87,15,1983,42000,628.0843427545984,429,1
31953,31953,11740,명일동,2014-03-28,명일엘지,332,59.79,11,1999,29500,493.39354407091486,429,1
31954,31954,11740,명일동,2014-03-28,삼익그린2차,15,84.755,14,1983,54500,643.0299097398384,429,1
31973,31973,11740,상일동,2014-03-25,주공3,121,48.6,4,1983,39450,811.7283950617284,429,1
31974,31974,11740,상일동,2014-03-26,주공3,121,48.6,4,1983,40000,823.0452674897119,429,1
31975,31975,11740,상일동,2014-03-27,중앙하이츠,476,84.23,9,1992,42500,504.5708179983379,429,1
31976,31976,11740,상일동,2014-03-29,고덕리엔파크3단지,490,84.87,7,2011,48500,571.462236361494,429,1
31977,31977,11740,상일동,2014-03-29,고덕리엔파크3단지,490,84.87,6,2011,47500,559.6795098385766,429,1
31978,31978,11740,상일동,2014-03-29,주공6,124,55.44,2,1983,38000,685.4256854256854,429,1
32060,32060,11740,성내동,2014-03-24,성내동삼성아파트,590,59.88,7,1999,34700,579.4923179692719,429,1
32061,32061,11740,성내동,2014-03-25,에스케이허브진,194,47.36,3,2004,30000,633.4459459459459,429,1
32062,32062,11740,성내동,2014-03-26,포레스(B동),111-66,79.73,2,2003,35000,438.98156277436345,429,1
32063,32063,11740,성내동,2014-03-26,둔촌역아치스톤(101동),412,84.96,8,2010,46000,541.4312617702449,429,1
32064,32064,11740,성내동,2014-03-26,늘조은,244-8,65.06,6,2003,31800,488.7795880725484,429,1
32132,32132,11740,암사동,2014-03-24,암사e편한세상,422-26,84.96,3,2005,42350,498.469868173258,429,1
32133,32133,11740,암사동,2014-03-24,선사현대아파트,509,72.85,12,2000,40970,562.38846945779,429,1
32134,32134,11740,암사동,2014-03-24,선사현대아파트,509,59.64,13,2002,37500,628.7726358148893,429,1
32135,32135,11740,암사동,2014-03-25,선사현대아파트,509,59.64,1,2000,31300,524.8155600268276,429,1
32136,32136,11740,암사동,2014-03-26,암사동한솔,419,84.73,4,2002,40000,472.0878083323498,429,1
32137,32137,11740,암사동,2014-03-26,메이저(474-21),474-21,73.77,6,2002,27200,368.71356920157245,429,1
32138,32138,11740,암사동,2014-03-26,롯데캐슬퍼스트,414-2,102.34,24,2008,69000,674.2231776431503,429,1
32139,32139,11740,암사동,2014-03-27,선사현대아파트,509,59.64,13,2000,37500,628.7726358148893,429,1
32140,32140,11740,암사동,2014-03-27,현대홈타운,400,59.97,17,2004,41500,692.0126730031683,429,1
32141,32141,11740,암사동,2014-03-27,현대홈타운,400,59.97,2,2004,39500,658.6626646656662,429,1
32142,32142,11740,암사동,2014-03-27,롯데캐슬퍼스트,414-2,112.11,16,2008,71000,633.3065739006333,429,1
32143,32143,11740,암사동,2014-03-27,메이저(474-21),474-21,83.2,5,2002,31000,372.5961538461538,429,1
32144,32144,11740,암사동,2014-03-28,대원,461,84.88,2,1998,27000,318.0961357210179,429,1
32145,32145,11740,암사동,2014-03-29,롯데캐슬퍼스트,414-2,112.11,13,2008,71000,633.3065739006333,429,1
32146,32146,11740,암사동,2014-03-29,프라이어팰리스,413,84.988,11,2007,59500,700.0988374829387,429,1
32188,32188,11740,천호동,2014-03-24,브라운스톤 암사아파트,288-29,84.97,10,2005,49850,586.6776509356243,429,1
32189,32189,11740,천호동,2014-03-24,성원아파트,564,60.42,8,1998,28000,463.4227077126779,429,1
32190,32190,11740,천호동,2014-03-25,동아하이빌아파트,217-132,59.98,12,2000,29000,483.4944981660554,429,1
32191,32191,11740,천호동,2014-03-25,강동역두산위브센티움,155-5,59.96,15,2004,30000,500.3335557038025,429,1
32192,32192,11740,천호동,2014-03-26,신동양빛여울아파트,Apr-35,59.48,4,2003,25600,430.39677202420984,429,1
32193,32193,11740,천호동,2014-03-26,한신아파트,237,37.1,1,1991,17800,479.78436657681937,429,1
32194,32194,11740,천호동,2014-03-27,코오롱상가아파트,410-100,56.4,8,1988,28500,505.3191489361702,429,1
32195,32195,11740,천호동,2014-03-28,삼성,528,59.86,15,1997,32000,534.5806882726362,429,1
32196,32196,11740,천호동,2014-03-29,강동역두산위브센티움,155-5,59.96,15,2004,29500,491.99466310873913,429,1
