,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
2822,1,11305,미아동,2007-04-08,에스케이북한산시티,1353,59.98,8,2004,21000,350.11670556852283,66
2823,1,11305,미아동,2007-04-08,벽산라이브파크,1354,60.0,4,2004,22300,371.6666666666667,66
2824,1,11305,미아동,2007-04-09,벽산라이브파크,1354,60.0,11,2004,21700,361.6666666666667,66
2825,1,11305,미아동,2007-04-10,에스케이북한산시티,1353,59.98,11,2004,25000,416.8056018672891,66
2826,1,11305,미아동,2007-04-10,미아동부센트레빌,474,84.92,6,2006,40000,471.03155911446066,66
2827,1,11305,미아동,2007-04-11,벽산라이브파크,1354,84.89,18,2004,34000,400.51831782306516,66
2828,1,11305,미아동,2007-04-11,벽산라이브파크,1354,59.67,18,2004,18450,309.2006033182504,66
2829,1,11305,미아동,2007-04-12,미아한일유앤아이,1355,84.552,1,2002,28500,337.07067839909166,66
2830,1,11305,미아동,2007-04-12,벽산라이브파크,1354,59.67,22,2004,18500,310.038545332663,66
2831,1,11305,미아동,2007-04-12,에스케이북한산시티,1353,84.92,21,2004,36300,427.461139896373,66
2832,1,11305,미아동,2007-04-12,삼각산아이원,1357,84.705,4,2003,36500,430.90726639513605,66
2833,1,11305,미아동,2007-04-12,신일해피트리,1358,83.72,1,2006,23200,277.1141901576684,66
2834,1,11305,미아동,2007-04-13,미아한일유앤아이,1355,129.784,7,2002,50500,389.1080564630463,66
2835,1,11305,미아동,2007-04-13,미아1차래미안,797,84.58,1,2006,38500,455.1903523291558,66
2836,1,11305,미아동,2007-04-13,미아1차래미안,797,84.58,2,2006,31500,372.4284700874911,66
2837,1,11305,미아동,2007-04-13,에스케이북한산시티,1353,59.98,9,2004,23000,383.461153717906,66
2838,1,11305,미아동,2007-04-14,에스케이북한산시티,1353,59.98,5,2004,24000,400.13337779259757,66
2884,1,11305,번동,2007-04-09,해모로아파트,139,59.98,15,2003,19000,316.77225741913975,66
2885,1,11305,번동,2007-04-12,주공4단지,234,41.3,10,1991,10500,254.23728813559325,66
2886,1,11305,번동,2007-04-12,주공1단지,242,79.07,13,1991,30000,379.4106487922095,66
2887,1,11305,번동,2007-04-13,번동솔그린,136,84.6,7,1999,15000,177.3049645390071,66
2888,1,11305,번동,2007-04-14,주공1단지,242,79.07,7,1991,27000,341.4695839129885,66
2889,1,11305,번동,2007-04-14,해모로아파트,139,84.93,6,2003,28000,329.68326857411984,66
2912,1,11305,수유동,2007-04-10,대성월드빌,45-93,54.17,2,2002,11000,203.06442680450434,66
2913,1,11305,수유동,2007-04-12,수유삼호,63,74.48,10,1998,18900,253.75939849624058,66
2914,1,11305,수유동,2007-04-12,대성월드빌,45-93,54.17,4,2002,11000,203.06442680450434,66
2915,1,11305,수유동,2007-04-14,수유벽산1차,205,63.78,11,1993,19800,310.4421448730009,66
2916,1,11305,수유동,2007-04-14,극동,553-61,84.99,9,1992,25300,297.6820802447347,66
2928,1,11305,우이동,2007-04-12,성원상떼빌,1,71.78,4,1990,20800,289.7743103928671,66
