,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
26240,1,11500,가양동,2013-04-08,강변,1475,39.6,15,1992,16500,416.66666666666663,379
26241,1,11500,가양동,2013-04-09,한강타운,1460,84.99,14,1993,37000,435.34533474526415,379
26242,1,11500,가양동,2013-04-09,한강타운,1460,84.99,8,1993,38000,447.1114248735146,379
26243,1,11500,가양동,2013-04-09,가양2단지(성지),1461,34.44,4,1992,13400,389.08246225319397,379
26244,1,11500,가양동,2013-04-09,한강타운,1460,84.99,14,1993,36870,433.8157430285916,379
26245,1,11500,가양동,2013-04-09,빛고을우방,448-9,59.97,12,1999,27000,450.22511255627813,379
26246,1,11500,가양동,2013-04-10,가양2단지(성지),1461,34.44,8,1992,13900,403.6004645760744,379
26247,1,11500,가양동,2013-04-11,가양6단지,1485,58.65,7,1992,28000,477.4083546462063,379
26248,1,11500,가양동,2013-04-12,대림경동아파트,1474,131.4,12,1993,52500,399.5433789954338,379
26249,1,11500,가양동,2013-04-13,강변,1475,39.6,4,1992,17400,439.3939393939394,379
26250,1,11500,가양동,2013-04-13,한강타운,1460,84.99,15,1993,34000,400.04706436051305,379
26286,1,11500,내발산동,2013-04-07,마곡수명산파크4단지,753,59.84,4,2008,28300,472.92780748663097,379
26287,1,11500,내발산동,2013-04-08,태승훼미리2,685,84.83,11,2004,33700,397.2651184722386,379
26288,1,11500,내발산동,2013-04-08,우장산힐스테이트,657,59.98,8,2005,40000,666.8889629876626,379
26289,1,11500,내발산동,2013-04-09,태승훼미리2,685,84.83,2,2004,31000,365.43675586467054,379
26290,1,11500,내발산동,2013-04-10,월드메르디앙,659-1,59.602,10,2006,33200,557.0282876413544,379
26291,1,11500,내발산동,2013-04-13,마곡수명산파크1단지,742,84.68,3,2007,36500,431.03448275862064,379
26292,1,11500,내발산동,2013-04-13,광남캐스빌,719,84.87,4,2004,31000,365.26452221043945,379
26335,1,11500,등촌동,2013-04-08,대동황토방2,713,80.93,4,2003,36750,454.0961324601507,379
26336,1,11500,등촌동,2013-04-08,주공5,695,37.67,9,1995,17970,477.03743031590125,379
26337,1,11500,등촌동,2013-04-08,주공5,695,58.14,2,1995,25500,438.5964912280702,379
26338,1,11500,등촌동,2013-04-09,등촌라인(조합),628-15,59.91,16,1997,26000,433.9843097980304,379
26339,1,11500,등촌동,2013-04-09,주공5,695,58.14,7,1995,26400,454.07636738906086,379
26340,1,11500,등촌동,2013-04-09,부영,691-3,80.64,6,1994,34800,431.54761904761904,379
26341,1,11500,등촌동,2013-04-11,주공3,688,37.67,11,1995,19500,517.6533050172551,379
26342,1,11500,등촌동,2013-04-11,부영,691-3,80.64,9,1994,35200,436.5079365079365,379
26343,1,11500,등촌동,2013-04-11,대림e편한세상,561-1,75.64,7,2002,40500,535.4309888947647,379
26344,1,11500,등촌동,2013-04-12,대동황토방2,713,59.96,11,2003,32900,548.6991327551701,379
26345,1,11500,등촌동,2013-04-13,주공10,702,58.14,15,1995,25900,445.4764361885105,379
26346,1,11500,등촌동,2013-04-13,주공3,688,58.14,8,1995,29000,498.7960096319229,379
26347,1,11500,등촌동,2013-04-13,임광,562-5,84.91,13,2000,36700,432.2223530797315,379
26348,1,11500,등촌동,2013-04-13,"등촌7,8단지주공아파트",707,41.85,3,1994,18650,445.63918757467144,379
26349,1,11500,등촌동,2013-04-13,주공5,695,58.14,2,1995,24500,421.3966288269694,379
26394,1,11500,방화동,2013-04-08,청성(877-0),877,67.876,7,2004,23000,338.8532028994048,379
26395,1,11500,방화동,2013-04-09,치현마을동일스위트리버,880,84.9829,8,2004,33500,394.1969502099834,379
26396,1,11500,방화동,2013-04-09,방화동동부센트레빌(875번지),875,84.97,4,2003,36000,423.6789455101801,379
26397,1,11500,방화동,2013-04-09,방화그린,839,39.76,11,1993,15000,377.2635814889336,379
26398,1,11500,방화동,2013-04-11,방화5,814,33.18,8,1994,14600,440.0241109101869,379
26399,1,11500,방화동,2013-04-11,삼성꽃마을,858,67.01,7,1997,24160,360.5432025070885,379
26400,1,11500,방화동,2013-04-13,마곡서광(치현마을),860,59.67,3,1998,22000,368.69448634154514,379
26401,1,11500,방화동,2013-04-13,개화산경남아너스빌,887,67.06,2,2007,26500,395.1685058156874,379
26402,1,11500,방화동,2013-04-13,방화5,814,49.77,11,1994,22800,458.1072935503315,379
26403,1,11500,방화동,2013-04-13,동부강서센트레빌3차(893-0),893,84.4,7,2009,40900,484.59715639810423,379
26459,1,11500,염창동,2013-04-08,강변힐스테이트,299,84.99,9,2005,47500,558.8892810918932,379
26460,1,11500,염창동,2013-04-08,강변한솔솔파크,300,84.97,10,2005,42000,494.2921030952101,379
26461,1,11500,염창동,2013-04-08,일신건영휴먼빌,298,84.93,14,2004,39200,461.55657600376776,379
26462,1,11500,염창동,2013-04-09,동아3,258-1,59.83,13,1999,32500,543.2057496239345,379
26463,1,11500,염창동,2013-04-09,태진한솔,263,58.87,5,1994,28500,484.11754713776116,379
26464,1,11500,염창동,2013-04-09,동아3,258-1,84.87,7,1999,35000,412.3954283021091,379
26465,1,11500,염창동,2013-04-09,현대1,288,84.34,9,1994,31700,375.859615840645,379
26466,1,11500,염창동,2013-04-10,금호타운,240-32,59.88,16,1999,31000,517.7020708082832,379
26467,1,11500,염창동,2013-04-11,현대1,288,84.34,12,1994,31700,375.859615840645,379
26468,1,11500,염창동,2013-04-12,동아3,258-1,84.87,19,1999,39000,459.5263343937787,379
26469,1,11500,염창동,2013-04-12,강변힐스테이트,299,84.99,9,2005,42000,494.1757853865161,379
26470,1,11500,염창동,2013-04-13,한강동아,293,84.96,3,1998,33000,388.41807909604523,379
