,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
63895,63895,11500,가양동,2019-12-30,한강타운,1460,84.99,11,1993,80000,941.2872102600306,730,1
63896,63896,11500,가양동,2019-12-30,가양6단지,1485,39.6,1,1992,40200,1015.1515151515151,730,1
63897,63897,11500,가양동,2019-12-30,가양2단지(성지),1461,49.56,2,1992,56900,1148.1033091202582,730,1
63898,63898,11500,가양동,2019-12-30,가양강나루현대,448-1,59.76,6,1999,67000,1121.1512717536814,730,1
63899,63899,11500,가양동,2019-12-30,가양도시개발9-2단지,1490,39.6,15,1993,47000,1186.8686868686868,730,1
63900,63900,11500,가양동,2019-12-30,강변,1475,49.5,4,1992,55000,1111.111111111111,730,1
63901,63901,11500,가양동,2019-12-31,강변,1475,49.5,11,1992,58000,1171.7171717171718,730,1
63902,63902,11500,가양동,2019-12-31,가양2단지(성지),1461,49.56,11,1992,60500,1220.7425343018563,730,1
63903,63903,11500,가양동,2019-12-31,가양강나루현대,448-1,59.76,14,1999,63000,1054.2168674698796,730,1
63904,63904,11500,가양동,2019-12-31,한강타운,1460,84.99,14,1993,76800,903.6357218496295,730,1
63905,63905,11500,가양동,2019-12-31,보광드림타운,448-10,112.83,9,2003,69000,611.5394841797395,730,1
63964,63964,11500,내발산동,2019-12-30,롯데2,729,84.708,4,2003,65000,767.341927562922,730,1
63965,63965,11500,내발산동,2019-12-30,우장산힐스테이트,657,84.98,1,2005,90000,1059.0727229936456,730,1
63966,63966,11500,내발산동,2019-12-30,마곡수명산파크1단지,742,84.53,8,2007,85000,1005.5601561575771,730,1
63967,63967,11500,내발산동,2019-12-31,우장산힐스테이트,657,84.98,10,2005,97000,1141.4450458931512,730,1
64079,64079,11500,등촌동,2019-12-29,"등촌7,8단지주공아파트",707,41.85,13,1994,44150,1054.958183990442,730,1
64080,64080,11500,등촌동,2019-12-30,코오롱하늘채,714,59.95,9,2003,57300,955.7964970809007,730,1
64081,64081,11500,등촌동,2019-12-30,"등촌7,8단지주공아파트",707,41.85,2,1994,42000,1003.584229390681,730,1
64082,64082,11500,등촌동,2019-12-30,동성,691-1,101.88,1,1995,70000,687.0828425598744,730,1
64083,64083,11500,등촌동,2019-12-30,동성,691-1,101.88,6,1995,80000,785.2375343541422,730,1
64084,64084,11500,등촌동,2019-12-30,주공3,688,58.14,2,1995,61700,1061.2315101479187,730,1
64085,64085,11500,등촌동,2019-12-30,등촌동아이파크,715,165.8299,12,2004,103000,621.1183869736399,730,1
64086,64086,11500,등촌동,2019-12-31,동성,691-1,101.88,13,1995,80900,794.0714566156263,730,1
64087,64087,11500,등촌동,2019-12-31,등촌동아이파크,715,84.7556,8,2005,79000,932.0918027835329,730,1
64088,64088,11500,등촌동,2019-12-31,등촌라인(조합),628-15,59.91,7,1997,52800,881.3219829744618,730,1
64216,64216,11500,방화동,2019-12-29,방화5,814,33.18,2,1994,31000,934.2977697408078,730,1
