,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
8183,8183,11620,봉천동,2008-10-06,일동행복세상,41-346,61.11,5,2008,25200,412.37113402061857,144,1
8184,8184,11620,봉천동,2008-10-06,관악드림(삼성),1712,60.0,19,2003,37000,616.6666666666666,144,1
8185,8185,11620,봉천동,2008-10-06,일동행복세상,41-346,64.66,6,2008,23930,370.089699969069,144,1
8186,8186,11620,봉천동,2008-10-07,서울대입구아이원(1560-62),1560-62,59.96,4,2006,34000,567.0446964643095,144,1
8187,8187,11620,봉천동,2008-10-09,하이캐슬102동,1595-12,93.72,5,2003,33000,352.11267605633805,144,1
8188,8188,11620,봉천동,2008-10-10,해태보라매타워,729-32,84.04,20,1996,41000,487.8629224178962,144,1
8189,8189,11620,봉천동,2008-10-11,일동행복세상,41-346,84.06,3,2008,33700,400.9041161075422,144,1
8190,8190,11620,봉천동,2008-10-11,현대(관악),1000,58.59,11,1992,28300,483.0175797917733,144,1
8206,8206,11620,신림동,2008-10-05,삼성아트빌(715-32),715-32,57.17,6,2008,23800,416.3022564281966,144,1
8207,8207,11620,신림동,2008-10-06,LIG 대학마을(건영아파트3차),1703-1,69.17,11,1996,33300,481.4225820442388,144,1
8208,8208,11620,신림동,2008-10-06,우정하이비전,1721,71.73,1,2004,25900,361.07625819043636,144,1
8209,8209,11620,신림동,2008-10-07,벽산블루밍,1733,84.95,2,2005,40000,470.86521483225425,144,1
