,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
12565,1,11620,남현동,2011-05-14,예성2차그린캐슬,1134,84.1,4,2004,45000,535.077288941736,279
12584,1,11620,봉천동,2011-05-09,두산,1708,59.92,6,2000,34900,582.4432576769025,279
12585,1,11620,봉천동,2011-05-10,현대(관악),1000,58.59,13,1992,28000,477.89725209080046,279
12586,1,11620,봉천동,2011-05-10,삼성,941-2,68.08,5,1974,20000,293.7720329024677,279
12587,1,11620,봉천동,2011-05-10,두산,1708,84.87,2,2000,43000,506.6572404854483,279
12588,1,11620,봉천동,2011-05-10,신부,457-146,84.03,3,2002,29500,351.0650957991194,279
12589,1,11620,봉천동,2011-05-10,신봉,1705,59.75,13,1999,25600,428.45188284518827,279
12590,1,11620,봉천동,2011-05-10,관악드림(동아),1712,59.85,24,2003,31500,526.3157894736842,279
12591,1,11620,봉천동,2011-05-11,미소가,39-13,100.06700000000001,2,2007,36000,359.7589614957978,279
12592,1,11620,봉천동,2011-05-11,신양,1511-29,39.56,5,2004,11800,298.28109201213346,279
12593,1,11620,봉천동,2011-05-11,관악푸르지오,1717,59.58,15,2004,30000,503.5246727089627,279
12594,1,11620,봉천동,2011-05-12,관악푸르지오,1717,59.58,4,2004,33000,553.8771399798591,279
12595,1,11620,봉천동,2011-05-13,관악드림(동아),1712,59.83,4,2003,31900,533.1773357847234,279
12596,1,11620,봉천동,2011-05-14,두산,1708,59.92,15,2000,39200,654.2056074766355,279
12597,1,11620,봉천동,2011-05-14,보라매삼성,1698-1,84.84,9,1996,42700,503.30033003300326,279
12641,1,11620,신림동,2011-05-09,관악산휴먼시아 1단지,1735-1,114.7,16,2008,50000,435.9197907585004,279
12642,1,11620,신림동,2011-05-09,신림푸르지오,1730,114.84,9,2005,60000,522.466039707419,279
12643,1,11620,신림동,2011-05-09,신림현대,1694,34.86,7,1993,19800,567.986230636833,279
12644,1,11620,신림동,2011-05-10,강남,1644,46.72,1,1974,13000,278.25342465753425,279
12645,1,11620,신림동,2011-05-10,국제산장,1693,84.15,4,1993,27300,324.4206773618538,279
12646,1,11620,신림동,2011-05-11,신림동신도브래뉴,1722,81.42,14,2003,42000,515.8437730287399,279
12647,1,11620,신림동,2011-05-11,신림푸르지오,1730,84.87,9,2005,47300,557.3229645339932,279
12648,1,11620,신림동,2011-05-11,신림동신도브래뉴,1722,84.98,7,2003,41000,482.46646269710516,279
12649,1,11620,신림동,2011-05-12,라이프미성,1656,73.29,1,1982,30000,409.3327875562832,279
12650,1,11620,신림동,2011-05-13,신동아,산28-9,84.3,3,1994,30000,355.87188612099646,279
12651,1,11620,신림동,2011-05-14,관악산휴먼시아 2단지,1735,59.96,9,2008,29500,491.99466310873913,279
12652,1,11620,신림동,2011-05-14,신림현대,1694,59.85,13,1993,28500,476.1904761904762,279
12653,1,11620,신림동,2011-05-14,삼성산주공(주공3단지),1714,83.21,18,2000,32500,390.57805552217286,279
12654,1,11620,신림동,2011-05-14,관악산휴먼시아 1단지,1735-1,59.96,18,2008,31000,517.0113408939293,279
12655,1,11620,신림동,2011-05-14,신림푸르지오,1730,84.79,2,2005,42200,497.7002004953414,279
12656,1,11620,신림동,2011-05-14,신림현대,1694,34.86,8,1993,19000,545.0372920252438,279
12657,1,11620,신림동,2011-05-14,서초그린,1732,84.88,8,2005,40500,477.1442035815269,279
