,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
835,1,11215,광장동,2006-05-08,청구,566,59.95,16,1996,25500,425.35446205170973,18
836,1,11215,광장동,2006-05-08,광장현대9단지,576,84.96,7,1999,47500,559.0866290018832,18
837,1,11215,광장동,2006-05-08,광나루현대,567,84.92,17,1996,47200,555.8172397550636,18
838,1,11215,광장동,2006-05-08,현대3,484,59.67,9,1990,25500,427.3504273504273,18
839,1,11215,광장동,2006-05-09,청구,566,59.95,11,1996,25500,425.35446205170973,18
840,1,11215,광장동,2006-05-09,청구,566,84.86,3,1996,43000,506.71694555738867,18
841,1,11215,광장동,2006-05-09,현대5,554-7,84.53,19,1989,54000,638.8264521471667,18
842,1,11215,광장동,2006-05-09,극동1,218-1,84.55,6,1985,61500,727.3802483737434,18
843,1,11215,광장동,2006-05-09,극동2,218-1,84.55,6,1989,60000,709.6392667060911,18
844,1,11215,광장동,2006-05-09,현대3,484,84.97,9,1990,52000,611.9806990702601,18
845,1,11215,광장동,2006-05-09,현대파크빌,577,84.81,6,2000,55000,648.5084306095979,18
846,1,11215,광장동,2006-05-10,현대3,484,59.67,10,1990,26500,444.1092676386794,18
847,1,11215,광장동,2006-05-10,청구,566,84.86,6,1996,49300,580.9568701390525,18
848,1,11215,광장동,2006-05-10,현대3,484,84.97,14,1990,52950,623.1611156878898,18
849,1,11215,광장동,2006-05-10,현대3,484,74.92,7,1990,40000,533.9028296849973,18
850,1,11215,광장동,2006-05-10,현대파크빌,577,59.76,24,2000,35300,590.6961178045516,18
851,1,11215,광장동,2006-05-11,현대3,484,74.92,7,1990,39750,530.5659369994661,18
852,1,11215,광장동,2006-05-11,광장현대9단지,576,84.96,3,1999,45000,529.6610169491526,18
853,1,11215,광장동,2006-05-11,광나루현대,567,84.92,4,1996,43500,512.246820536976,18
854,1,11215,광장동,2006-05-11,광나루현대,567,84.92,5,1996,46500,547.5741874705606,18
855,1,11215,광장동,2006-05-11,현대파크빌,577,84.81,21,2000,61500,725.1503360452776,18
856,1,11215,광장동,2006-05-11,광나루현대,567,84.92,10,1996,45500,535.798398492699,18
857,1,11215,광장동,2006-05-11,삼성광장2,453-1,58.62,14,1989,28500,486.18219037871035,18
858,1,11215,광장동,2006-05-11,금호베스트빌,578,59.93,14,2001,31800,530.6190555648257,18
859,1,11215,광장동,2006-05-11,광장11현대홈타운,579,84.94,4,2003,75000,882.9762185071816,18
860,1,11215,광장동,2006-05-12,현대파크빌,577,84.81,9,2000,56500,666.1950241716778,18
861,1,11215,광장동,2006-05-12,삼성광장2,453-1,69.06,8,1989,38000,550.2461627570228,18
862,1,11215,광장동,2006-05-12,현대파크빌,577,84.81,19,2000,59000,695.6726801084777,18
920,1,11215,구의동,2006-05-08,구의동현진에버빌,660,84.99700000000001,3,2006,43500,511.78276880360477,18
921,1,11215,구의동,2006-05-09,구의현대7단지현대홈타운,587-54,84.99,22,1997,38000,447.1114248735146,18
922,1,11215,구의동,2006-05-09,구의동현진에버빌,660,66.062,3,2006,32900,498.01701431988135,18
923,1,11215,구의동,2006-05-10,세양,658,84.32,13,2002,50500,598.9089184060722,18
924,1,11215,구의동,2006-05-10,현대프라임,631-1,126.66,2,1997,90000,710.563713879678,18
925,1,11215,구의동,2006-05-10,구의현대2단지,611,84.91,4,1996,46800,551.1718289954069,18
926,1,11215,구의동,2006-05-10,현대프라임,631-1,59.82,6,1997,30000,501.5045135406219,18
927,1,11215,구의동,2006-05-11,강변현대하이엘,547,130.89,3,2004,78000,595.9202383680954,18
928,1,11215,구의동,2006-05-11,구의강변우성아파트,546-7,84.76,3,1992,35500,418.82963662104765,18
929,1,11215,구의동,2006-05-11,구의현대7단지현대홈타운,587-54,84.99,12,1997,40000,470.6436051300153,18
930,1,11215,구의동,2006-05-11,현대프라임,631-1,59.82,29,1997,27500,459.71247074557004,18
931,1,11215,구의동,2006-05-11,현대프라임,631-1,84.99,15,1997,58000,682.4332274385222,18
932,1,11215,구의동,2006-05-12,현대프라임,631-1,84.99,4,1997,51800,609.4834686433699,18
933,1,11215,구의동,2006-05-12,구의강변우성아파트,546-7,84.76,10,1992,39500,466.02170835299665,18
934,1,11215,구의동,2006-05-13,구의현대7단지현대홈타운,587-54,84.99,14,1997,43000,505.9418755147665,18
935,1,11215,구의동,2006-05-13,명성,237-5,84.23,2,2003,17000,201.82832719933515,18
936,1,11215,구의동,2006-05-13,구의동현진에버빌,660,66.062,6,2006,33800,511.6405800611547,18
937,1,11215,구의동,2006-05-13,구의현대2단지,611,84.91,10,1996,49000,577.0816158285244,18
938,1,11215,구의동,2006-05-13,현대프라임,631-1,59.82,19,1997,30000,501.5045135406219,18
1001,1,11215,자양동,2006-05-08,대동,784-1,84.65,2,1999,32500,383.933845245127,18
