,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
6884,6884,11215,광장동,2010-08-14,광장현대9단지,576,59.97,12,1999,41000,683.6751709187928,240,1
6893,6893,11215,구의동,2010-08-09,구의현대2단지,611,84.91,11,1996,54000,635.9674949947002,240,1
6894,6894,11215,구의동,2010-08-11,광남캐스빌(198-4),198-4,64.78,7,2003,23400,361.2225995677678,240,1
6895,6895,11215,구의동,2010-08-11,광남캐스빌(198-4),198-4,83.99,6,2003,28000,333.37302059769024,240,1
6910,6910,11215,자양동,2010-08-09,자양현대6,786,59.98,12,1999,22900,381.79393131043685,240,1
6911,6911,11215,자양동,2010-08-09,자양강변I-Park,809,84.95,16,2006,79300,933.4902884049441,240,1
6912,6912,11215,자양동,2010-08-12,우성2,520-2,80.1,8,1989,47500,593.0087390761548,240,1
6913,6913,11215,자양동,2010-08-13,우성1,579,79.75,5,1988,47000,589.3416927899686,240,1
6914,6914,11215,자양동,2010-08-13,자양현대5,642,84.96,12,1998,51500,606.1676082862524,240,1
6915,6915,11215,자양동,2010-08-14,우성1,579,51.57,4,1988,30500,591.4291254605391,240,1
