,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
29833,29833,11530,개봉동,2014-10-20,한마을,476,59.57,21,1999,29800,500.2518045996307,459,1
29834,29834,11530,개봉동,2014-10-20,한마을,476,59.57,23,1999,29600,496.8944099378882,459,1
29835,29835,11530,개봉동,2014-10-20,한진,478,84.96,14,2000,33000,388.41807909604523,459,1
29836,29836,11530,개봉동,2014-10-20,한마을,476,59.57,5,1999,29500,495.21571260701694,459,1
29837,29837,11530,개봉동,2014-10-20,한진,478,59.95,4,2000,24500,408.673894912427,459,1
29838,29838,11530,개봉동,2014-10-20,상우,473,59.4,13,1997,21500,361.95286195286195,459,1
29839,29839,11530,개봉동,2014-10-21,현대홈타운,480,84.915,12,2001,37500,441.6180886769122,459,1
29840,29840,11530,개봉동,2014-10-21,개봉동현대아이파크,489,117.74,1,2006,47610,404.3655512145405,459,1
29841,29841,11530,개봉동,2014-10-21,개봉푸르지오,492,59.86,7,2014,36800,614.7677915135316,459,1
29842,29842,11530,개봉동,2014-10-21,삼호,471,84.88,7,1996,30000,353.44015080113104,459,1
29843,29843,11530,개봉동,2014-10-22,현대,481,114.99,2,2001,43400,377.4241238368554,459,1
29844,29844,11530,개봉동,2014-10-22,한마을,476,59.57,16,1999,30500,512.0026859157294,459,1
29845,29845,11530,개봉동,2014-10-22,한진,478,84.96,7,2000,32200,379.0018832391714,459,1
29846,29846,11530,개봉동,2014-10-23,영화,475,59.78,19,1998,26000,434.9280695884911,459,1
29847,29847,11530,개봉동,2014-10-23,삼환,470,59.4,16,1995,23500,395.6228956228956,459,1
29848,29848,11530,개봉동,2014-10-23,거성푸르뫼,60-101,84.96,2,1993,29000,341.3370998116761,459,1
29849,29849,11530,개봉동,2014-10-23,동인,335-1,67.36,1,1989,17500,259.7980997624703,459,1
29850,29850,11530,개봉동,2014-10-24,현대,481,114.99,17,2001,46000,400.0347856335334,459,1
29851,29851,11530,개봉동,2014-10-24,현대,481,114.99,10,2001,47900,416.55796156187495,459,1
29852,29852,11530,개봉동,2014-10-24,한마을,476,59.57,11,1999,29000,486.82222595266074,459,1
29853,29853,11530,개봉동,2014-10-24,한마을,476,84.57,5,1999,38300,452.87927160931775,459,1
29854,29854,11530,개봉동,2014-10-24,상우,473,59.4,14,1997,21000,353.5353535353535,459,1
29855,29855,11530,개봉동,2014-10-25,고운아파트,484,59.94,10,2002,22630,377.54421087754423,459,1
29856,29856,11530,개봉동,2014-10-25,개봉푸르지오,492,84.88,11,2014,46800,551.3666352497644,459,1
29857,29857,11530,개봉동,2014-10-25,한진,478,84.96,8,2000,33000,388.41807909604523,459,1
29920,29920,11530,고척동,2014-10-20,센츄리,320,84.64,13,1994,29000,342.6275992438563,459,1
29921,29921,11530,고척동,2014-10-20,센츄리,320,84.56,14,1994,29000,342.9517502365184,459,1
29922,29922,11530,고척동,2014-10-21,그랜드,323,57.74,8,1997,17700,306.54658815379287,459,1
29923,29923,11530,고척동,2014-10-21,한일유앤아이,337,84.98,15,2005,34000,400.09413979759944,459,1
29924,29924,11530,고척동,2014-10-21,삼명,Mar-97,43.74,2,1977,16700,381.8015546410608,459,1
29925,29925,11530,고척동,2014-10-21,산업인,Sep-57,48.04,5,1976,11800,245.62864279766862,459,1
29926,29926,11530,고척동,2014-10-23,대우,296,59.96,13,1999,23000,383.58905937291524,459,1
29927,29927,11530,고척동,2014-10-24,벽산베스트블루밍,342,84.876,10,2010,39500,465.38479664451665,459,1
29928,29928,11530,고척동,2014-10-24,벽산,334,84.87799999999999,14,2003,40000,471.26463865783836,459,1
29929,29929,11530,고척동,2014-10-25,벽산,334,84.87799999999999,1,2003,36000,424.13817479205454,459,1
29930,29930,11530,고척동,2014-10-25,한성,227-1,78.3,3,1986,22500,287.35632183908046,459,1
29931,29931,11530,고척동,2014-10-25,센츄리,320,84.56,6,1994,29000,342.9517502365184,459,1
30051,30051,11530,구로동,2014-10-19,성호메이플라워멤버스빌,104-9,41.4,10,2002,15900,384.05797101449275,459,1
30052,30052,11530,구로동,2014-10-19,신도림현대,560,80.01,13,1994,36000,449.94375703037116,459,1
30053,30053,11530,구로동,2014-10-20,신도림태영타운,1267,84.87,25,2000,44600,525.5096029221162,459,1
30054,30054,11530,구로동,2014-10-20,구로두산,1265,51.84,7,1998,24300,468.74999999999994,459,1
30055,30055,11530,구로동,2014-10-20,우성에비뉴,1284,84.958,3,2008,34300,403.7289013394854,459,1
30056,30056,11530,구로동,2014-10-20,새솔금호,108-2,59.9,12,1996,24400,407.3455759599332,459,1
30057,30057,11530,구로동,2014-10-20,순영웰라이빌2차,Feb-97,65.54,19,2005,27000,411.96216051266396,459,1
30058,30058,11530,구로동,2014-10-20,금호,49,84.86,17,1997,27000,318.17110534998824,459,1
30059,30059,11530,구로동,2014-10-20,한신,642-9,44.78,6,1988,19250,429.8794104510942,459,1
30060,30060,11530,구로동,2014-10-20,동원(796-61),796-61,58.22,2,1997,20000,343.52456200618343,459,1
30061,30061,11530,구로동,2014-10-21,현대연예인,685-70,74.66,13,1989,27000,361.6394320921511,459,1
30062,30062,11530,구로동,2014-10-21,영화참마음,1268,84.63,6,2001,36000,425.3810705423609,459,1
30063,30063,11530,구로동,2014-10-21,성삼하이츠,1275,58.58,11,2004,25000,426.76681461249575,459,1
30064,30064,11530,구로동,2014-10-21,구로두산,1265,84.9,9,1998,35000,412.2497055359246,459,1
30065,30065,11530,구로동,2014-10-22,현대연예인,685-70,54.86,12,1989,21000,382.7925628873496,459,1
30066,30066,11530,구로동,2014-10-22,대림역대성스카이렉스,107-1,84.8,16,2006,36300,428.0660377358491,459,1
30067,30067,11530,구로동,2014-10-22,대림역대성스카이렉스,107-1,73.2,5,2006,31500,430.327868852459,459,1
30068,30068,11530,구로동,2014-10-22,구로아트빌라5동(806-29),806-29,59.8,2,1997,16700,279.26421404682276,459,1
30069,30069,11530,구로동,2014-10-22,(792-20),792-20,43.65,1,1995,10300,235.9679266895762,459,1
30070,30070,11530,구로동,2014-10-22,대림아르빌,1273,111.8,10,2003,41300,369.40966010733456,459,1
30071,30071,11530,구로동,2014-10-23,현대상선,685-147,79.98,12,1987,31000,387.5968992248062,459,1
30072,30072,11530,구로동,2014-10-23,구로두산,1265,44.64,7,1998,21100,472.6702508960573,459,1
30073,30073,11530,구로동,2014-10-23,구로두산,1265,63.33,2,1998,29400,464.2349597347229,459,1
30074,30074,11530,구로동,2014-10-23,쌍용플래티넘노블,46,105.0,29,2006,43500,414.2857142857143,459,1
30075,30075,11530,구로동,2014-10-23,현대상선,685-147,64.55,9,1987,25500,395.0426026336174,459,1
30076,30076,11530,구로동,2014-10-24,(746-17),746-17,34.47,5,1997,9700,281.404119524224,459,1
30077,30077,11530,구로동,2014-10-24,구일우성,1259,84.49,2,1998,33200,392.9459107586697,459,1
30078,30078,11530,구로동,2014-10-24,구일우성,1259,114.47,9,1998,43900,383.5065956145715,459,1
30079,30079,11530,구로동,2014-10-25,에덴,762-11,52.53,1,1998,12500,237.9592613744527,459,1
