,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
45416,1,11530,개봉동,2017-07-16,창동,01월 20일,56.46,4,1987,19600,347.1484236627701,602
45417,1,11530,개봉동,2017-07-16,한진,478,59.95,6,2000,32300,538.7823185988324,602
45418,1,11530,개봉동,2017-07-16,상우,473,84.06,2,1997,33000,392.57673090649536,602
45419,1,11530,개봉동,2017-07-17,한마을,476,84.57,14,1999,45800,541.5632020811163,602
45420,1,11530,개봉동,2017-07-17,영화,475,59.78,19,1998,33400,558.7152893944462,602
45421,1,11530,개봉동,2017-07-17,두산,472,59.69,2,1997,27850,466.5773161333557,602
45422,1,11530,개봉동,2017-07-17,삼환,470,59.4,17,1995,30750,517.6767676767677,602
45423,1,11530,개봉동,2017-07-17,삼환,470,84.945,15,1995,36000,423.80363764788984,602
45424,1,11530,개봉동,2017-07-17,현대홈타운,480,115.0,19,2001,50000,434.7826086956522,602
45425,1,11530,개봉동,2017-07-17,한마을,476,84.57,17,1999,47000,555.7526309566041,602
45426,1,11530,개봉동,2017-07-17,한진,478,114.93,22,2000,43500,378.4912555468546,602
45427,1,11530,개봉동,2017-07-18,현대,481,114.99,13,2001,52900,460.0400034785634,602
45428,1,11530,개봉동,2017-07-18,길훈,312-38,59.56,3,1988,17800,298.85829415715244,602
45429,1,11530,개봉동,2017-07-18,우성,469,73.22,4,1995,26000,355.0942365473914,602
45430,1,11530,개봉동,2017-07-18,한진,478,84.96,13,2000,40800,480.225988700565,602
45431,1,11530,개봉동,2017-07-19,개봉푸르지오,492,84.94,12,2014,48500,570.9912879679774,602
45432,1,11530,개봉동,2017-07-19,한마을,476,59.57,21,1999,38400,644.6197750545576,602
45433,1,11530,개봉동,2017-07-19,현대홈타운,480,84.915,25,2001,45500,535.8299475946534,602
45434,1,11530,개봉동,2017-07-19,한마을,476,84.57,25,1999,45500,538.0158448622443,602
45435,1,11530,개봉동,2017-07-19,현대,481,59.94,14,2001,45000,750.7507507507507,602
45436,1,11530,개봉동,2017-07-20,거성푸르뫼,60-101,59.89,15,1993,25000,417.43195859074973,602
45437,1,11530,개봉동,2017-07-20,거성푸르뫼2,60-82,59.9,16,1994,26000,434.0567612687813,602
45438,1,11530,개봉동,2017-07-20,길훈,312-38,70.66,5,1988,17500,247.66487404472122,602
45439,1,11530,개봉동,2017-07-20,두산,472,59.69,7,1997,29600,495.89545987602617,602
45440,1,11530,개봉동,2017-07-20,개봉푸르지오,492,84.88,22,2014,49800,586.7106503298775,602
45441,1,11530,개봉동,2017-07-20,대상,477,84.94,2,1999,34000,400.28255238992233,602
45442,1,11530,개봉동,2017-07-20,거성푸르뫼2,60-82,59.9,9,1994,25200,420.7011686143573,602
45443,1,11530,개봉동,2017-07-20,한진,478,84.96,23,2000,38000,447.2693032015066,602
45444,1,11530,개봉동,2017-07-21,영화아이닉스,488,84.98,8,2005,38200,449.5175335373029,602
45445,1,11530,개봉동,2017-07-22,현대홈타운,480,59.49,16,2001,37900,637.0818624978988,602
45446,1,11530,개봉동,2017-07-22,두산,472,111.69,21,1997,37000,331.27406213627006,602
45447,1,11530,개봉동,2017-07-22,한마을,476,123.46,11,1999,52000,421.1890490847238,602
45448,1,11530,개봉동,2017-07-22,한마을,476,59.57,17,1999,38500,646.2984723854289,602
45449,1,11530,개봉동,2017-07-22,한마을,476,84.57,24,1999,44900,530.9211304245005,602
45450,1,11530,개봉동,2017-07-22,한마을,476,59.57,15,1999,38900,653.0132617089139,602
45451,1,11530,개봉동,2017-07-22,신개봉삼환,170-30,59.81,11,2001,32000,535.0275873599733,602
45452,1,11530,개봉동,2017-07-22,길훈,312-38,70.67,3,1988,18900,267.4402150841941,602
45453,1,11530,개봉동,2017-07-22,한마을,476,59.57,24,1999,39000,654.6919590397852,602
45454,1,11530,개봉동,2017-07-22,개봉동현대아이파크,489,84.98,15,2006,54700,643.6808660861379,602
45455,1,11530,개봉동,2017-07-22,개봉동현대아이파크,489,59.99,10,2006,46800,780.1300216702783,602
45523,1,11530,고척동,2017-07-16,경남1,325,59.86,5,1998,26750,446.8760441029068,602
45524,1,11530,고척동,2017-07-16,청구,326,59.94,16,1999,29600,493.8271604938272,602
45525,1,11530,고척동,2017-07-17,한효,52-332,69.87,9,1985,31500,450.837269214255,602
