,Unnamed: 0,Áö¿ªÄÚµå,¹ýÁ¤µ¿,°Å·¡ÀÏ,¾ÆÆÄÆ®,Áö¹ø,Àü¿ë¸éÀû,Ãþ,°ÇÃà³âµµ,°Å·¡±Ý¾×,¸éÀû´ç°¡°Ý,°Å·¡ÁÖ,count
52786,52786,11530,°³ºÀµ¿,2019-06-10,ÇÑ¸¶À»,476,59.57,8,1999,47500,797.3812321638409,701,1
52787,52787,11530,°³ºÀµ¿,2019-06-12,¿µÈ­,475,84.96,18,1998,53000,623.8229755178908,701,1
52788,52788,11530,°³ºÀµ¿,2019-06-12,»ïÈ¯,470,84.945,20,1995,49300,580.3755371122492,701,1
52789,52789,11530,°³ºÀµ¿,2019-06-13,ÇÑ¸¶À»,476,59.57,14,1999,48000,805.7747188181971,701,1
52790,52790,11530,°³ºÀµ¿,2019-06-13,°í¿î¾ÆÆÄÆ®,484,59.94,4,2002,29500,492.1588254921588,701,1
52791,52791,11530,°³ºÀµ¿,2019-06-13,°Ç¿µ,Jan-47,84.41,2,1994,26000,308.02037673261464,701,1
52792,52792,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,701,1
52793,52793,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,25000,449.23629829290206,701,1
52794,52794,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,24000,431.26684636118597,701,1
52795,52795,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,701,1
52796,52796,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,701,1
52797,52797,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,701,1
52798,52798,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,5,1988,23000,413.29739442946993,701,1
52799,52799,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,701,1
52800,52800,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,701,1
52801,52801,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,5,1988,24000,431.26684636118597,701,1
52802,52802,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,5,1988,21000,377.35849056603774,701,1
52803,52803,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,701,1
52804,52804,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,701,1
52805,52805,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,701,1
52806,52806,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,1,1988,25000,449.23629829290206,701,1
52807,52807,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,701,1
52808,52808,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,2,1988,25000,449.23629829290206,701,1
52809,52809,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,701,1
52810,52810,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,2,1988,21000,377.35849056603774,701,1
52811,52811,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,701,1
52812,52812,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,2,1988,21000,377.35849056603774,701,1
52813,52813,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,701,1
52814,52814,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,3,1988,24000,431.26684636118597,701,1
52815,52815,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,701,1
52816,52816,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,701,1
52817,52817,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,3,1988,21000,377.35849056603774,701,1
52818,52818,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,701,1
52819,52819,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,25000,449.23629829290206,701,1
52820,52820,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,701,1
52821,52821,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,35000,628.930817610063,701,1
52822,52822,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,5,1988,24000,431.26684636118597,701,1
52823,52823,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,701,1
52824,52824,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,701,1
52825,52825,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,701,1
52826,52826,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,2,1988,21000,377.35849056603774,701,1
52827,52827,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,2,1988,29500,530.0988319856244,701,1
52828,52828,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,2,1988,34000,610.9613656783469,701,1
52829,52829,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,701,1
52830,52830,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,3,1988,24000,431.26684636118597,701,1
52831,52831,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,24000,431.26684636118597,701,1
52832,52832,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,701,1
52833,52833,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,701,1
52834,52834,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,701,1
52835,52835,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,28000,503.14465408805034,701,1
52836,52836,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,701,1
52837,52837,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,701,1
52838,52838,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,5,1988,23000,413.29739442946993,701,1
52839,52839,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,701,1
52840,52840,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,5,1988,24000,431.26684636118597,701,1
52841,52841,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,5,1988,21000,377.35849056603774,701,1
52842,52842,11530,°³ºÀµ¿,2019-06-14,Çö´ë,481,84.99,8,2001,59000,694.1993175667726,701,1
52843,52843,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,1,1988,28000,503.14465408805034,701,1
52844,52844,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,701,1
52845,52845,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,3,1988,28000,503.14465408805034,701,1
52846,52846,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,701,1
52847,52847,11530,°³ºÀµ¿,2019-06-14,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,701,1
52848,52848,11530,°³ºÀµ¿,2019-06-15,ÇÑ¸¶À»,476,59.57,6,1999,46700,783.9516535168709,701,1
52849,52849,11530,°³ºÀµ¿,2019-06-15,Çö´ë,481,59.94,1,2001,45000,750.7507507507507,701,1
52850,52850,11530,°³ºÀµ¿,2019-06-15,±æÈÆ,312-38,59.57,4,1988,18500,310.55900621118013,701,1
52891,52891,11530,°íÃ´µ¿,2019-06-09,½Å¿øÇÁ¶óÀÚ,324,59.97,10,1997,28000,466.9001167250292,701,1
52892,52892,11530,°íÃ´µ¿,2019-06-11,°íÃ´ÆÄÅ©Çª¸£Áö¿À,339,59.89,4,2009,57800,965.1026882618133,701,1
52893,52893,11530,°íÃ´µ¿,2019-06-12,¾ç¿ì,328,59.94,6,2000,30800,513.8471805138472,701,1
52894,52894,11530,°íÃ´µ¿,2019-06-14,»ê¾÷ÀÎ,Sep-57,48.04,5,1976,18400,383.0141548709409,701,1
