,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
5252,5252,11545,가산동,2009-07-29,두산,769,59.84,24,1998,28000,467.91443850267376,186,1
5253,5253,11545,가산동,2009-07-30,두산,769,84.9,17,1998,36500,429.9175500588928,186,1
5254,5254,11545,가산동,2009-07-31,두산,769,59.84,16,1998,29500,492.98128342245985,186,1
5275,5275,11545,독산동,2009-07-26,삼환아파트,1006-132,59.94,9,1998,21400,357.0236903570237,186,1
5276,5276,11545,독산동,2009-07-28,계룡아파트,332-14,59.34,7,1998,24000,404.4489383215369,186,1
5277,5277,11545,독산동,2009-07-29,한신아파트,1093-4,89.46,6,1991,32700,365.5264922870557,186,1
5314,5314,11545,시흥동,2009-07-26,벽산,1010,84.99,4,2000,28900,340.0400047064361,186,1
5315,5315,11545,시흥동,2009-07-27,관악산벽산타운5,1013,59.34,6,2004,23500,396.0229187731715,186,1
5316,5316,11545,시흥동,2009-07-28,칠성(977-2),977-2,70.65,3,2003,27000,382.16560509554137,186,1
5317,5317,11545,시흥동,2009-07-28,관악산벽산타운5,1013,84.97,14,2004,34000,400.14122631517006,186,1
5318,5318,11545,시흥동,2009-07-29,벽산,1010,114.84,9,2000,36000,313.4796238244514,186,1
5319,5319,11545,시흥동,2009-07-30,우방,1011,84.84,18,2002,36500,430.2215935879302,186,1
5320,5320,11545,시흥동,2009-07-30,금강,1008,115.28,3,2000,36000,312.2831367106176,186,1
5321,5321,11545,시흥동,2009-07-30,무지개,109-1,53.75,7,1980,21800,405.5813953488372,186,1
5322,5322,11545,시흥동,2009-07-30,삼익,05월 13일,59.9,4,1999,23000,383.97328881469116,186,1
5323,5323,11545,시흥동,2009-07-31,관악산벽산타운5,1013,59.34,18,2004,23700,399.39332659251767,186,1
5324,5324,11545,가산동,2009-08-01,두산,769,59.84,14,1998,28200,471.2566844919786,186,1
5331,5331,11545,독산동,2009-08-01,독산주공14단지,1088,44.89,6,1990,17100,380.9311650701715,186,1
