,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
56649,56649,11350,공릉동,2013-07-21,현대성우아파트,741,84.96,6,2000,29000,341.3370998116761,394,1
56650,56650,11350,공릉동,2013-07-22,신원아파트,370-4,84.99,3,2000,28900,340.0400047064361,394,1
56651,56651,11350,공릉동,2013-07-22,신원아파트,370-4,59.59,3,2000,21900,367.5113274039268,394,1
56652,56652,11350,공릉동,2013-07-22,남광아파트,684-22,46.2,4,2003,15000,324.67532467532465,394,1
56653,56653,11350,공릉동,2013-07-22,시영3차(라이프)아파트,715,49.5,12,1994,21000,424.24242424242425,394,1
56654,56654,11350,공릉동,2013-07-22,길성그랑프리텔아파트,753,71.848,2,2003,26000,361.87506959135953,394,1
56655,56655,11350,공릉동,2013-07-22,두산힐스빌아파트,747,84.9,7,2000,37000,435.80683156654885,394,1
56656,56656,11350,공릉동,2013-07-23,풍림아파트A,725,59.94,13,2001,28700,478.81214547881217,394,1
56657,56657,11350,공릉동,2013-07-23,태강아파트,81,49.6,4,1999,21000,423.38709677419354,394,1
56658,56658,11350,공릉동,2013-07-23,두산힐스빌아파트,747,60.0,13,2000,29000,483.3333333333333,394,1
56659,56659,11350,공릉동,2013-07-23,화랑타운아파트,111,84.65,3,2000,35000,413.4672179562906,394,1
56660,56660,11350,공릉동,2013-07-25,남청파인힐,379-5,62.817,3,2002,22500,358.1832943311524,394,1
56661,56661,11350,공릉동,2013-07-26,풍림아파트A,725,59.94,4,2001,27900,465.46546546546546,394,1
56662,56662,11350,공릉동,2013-07-26,신성미소지움아파트,756,84.99600000000001,8,2004,32200,378.8413572403407,394,1
56663,56663,11350,공릉동,2013-07-27,두산힐스빌아파트,747,84.9,5,2000,34000,400.47114252061243,394,1
56766,56766,11350,상계동,2013-07-21,상계주공16(고층),624,59.39,8,1988,21600,363.6975921872369,394,1
56767,56767,11350,상계동,2013-07-22,상계주공7(고층),691,45.9,11,1988,17800,387.79956427015253,394,1
56768,56768,11350,상계동,2013-07-22,상계주공4(고층),749-5,59.2,9,1988,20800,351.35135135135135,394,1
56769,56769,11350,상계동,2013-07-22,상계주공9(고층),670,49.94,6,1988,19500,390.4685622747297,394,1
56770,56770,11350,상계동,2013-07-22,상계주공13(고층),637,45.55,10,1989,14800,324.91767288693745,394,1
56771,56771,11350,상계동,2013-07-22,수락리버시티3단지,1312,84.81,5,2009,32200,379.67220846598275,394,1
56772,56772,11350,상계동,2013-07-22,상계주공2(고층),740,58.01,2,1987,21000,362.00655059472507,394,1
56773,56773,11350,상계동,2013-07-23,상계주공6(고층),720,58.01,5,1988,23400,403.3787278055508,394,1
56774,56774,11350,상계동,2013-07-23,보람1단지,639,44.33,3,1988,15000,338.3713061132416,394,1
