,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
66765,1,11350,공릉동,2014-10-05,태강아파트,81,59.34,1,1999,24800,417.93056959892147,457
66766,1,11350,공릉동,2014-10-05,공릉 해링턴플레이스,106,99.917,15,2000,50000,500.415344736131,457
66767,1,11350,공릉동,2014-10-05,청솔아파트9,90,84.9,1,2000,34300,404.0047114252061,457
66768,1,11350,공릉동,2014-10-06,태강아파트,81,49.6,15,1999,21000,423.38709677419354,457
66769,1,11350,공릉동,2014-10-06,태강아파트,81,49.6,13,1999,22000,443.5483870967742,457
66770,1,11350,공릉동,2014-10-07,공릉 해링턴플레이스,106,99.917,11,2000,49500,495.41119128876966,457
66771,1,11350,공릉동,2014-10-08,풍림아파트B,727,31.32,18,2001,13950,445.4022988505747,457
66772,1,11350,공릉동,2014-10-08,풍림아파트A,725,59.94,20,2001,29700,495.4954954954955,457
66773,1,11350,공릉동,2014-10-08,신도1차아파트,748,81.2768,3,2002,39000,479.8417260522068,457
66774,1,11350,공릉동,2014-10-08,길성그랑프리텔아파트,753,76.4807,4,2003,28500,372.64303281742974,457
66775,1,11350,공릉동,2014-10-08,삼익아파트,737,84.6,9,1995,30700,362.8841607565012,457
66776,1,11350,공릉동,2014-10-08,화랑해링턴플레이스아파트,746,126.78,1,1999,37000,291.8441394541726,457
66777,1,11350,공릉동,2014-10-09,비선아파트,109,48.6,3,1999,22000,452.67489711934155,457
66778,1,11350,공릉동,2014-10-09,동신아파트,745,84.97,22,1999,34500,406.0256561139226,457
66779,1,11350,공릉동,2014-10-10,청솔아파트9,90,84.99,6,2000,36800,432.9921167196141,457
66780,1,11350,공릉동,2014-10-10,한일휴니스빌,683-14,13.62,10,2013,12400,910.4258443465493,457
66781,1,11350,공릉동,2014-10-10,풍림아파트A,725,114.78,19,2001,47500,413.8351629203694,457
66782,1,11350,공릉동,2014-10-10,대동아파트2,380-1,84.81,14,1999,31000,365.5229336163188,457
66783,1,11350,공릉동,2014-10-10,청수대아파트,270-47,98.51,3,2005,31000,314.6888640747132,457
66784,1,11350,공릉동,2014-10-10,비선아파트,109,59.97,15,1999,25950,432.7163581790895,457
66785,1,11350,공릉동,2014-10-11,삼익4단지아파트,714,59.04,15,1994,22500,381.0975609756098,457
66786,1,11350,공릉동,2014-10-11,태강아파트,81,59.34,11,1999,28500,480.28311425682506,457
66934,1,11350,상계동,2014-10-05,상계주공14(고층),626,45.9,7,1989,15900,346.4052287581699,457
66935,1,11350,상계동,2014-10-06,대림,695,93.13,14,1988,44300,475.6791581660045,457
66936,1,11350,상계동,2014-10-06,한신1차,135,45.44,5,1987,17000,374.1197183098592,457
66937,1,11350,상계동,2014-10-06,한신3차,458,84.59,14,1990,30000,354.6518501004847,457
66938,1,11350,상계동,2014-10-06,상계주공16(고층),624,45.77,15,1988,16800,367.05265457723397,457
66939,1,11350,상계동,2014-10-06,상계주공16(고층),624,45.77,10,1988,17700,386.71618964387153,457
66940,1,11350,상계동,2014-10-06,한일유앤아이,1309,59.876999999999995,12,2005,33500,559.4802678824925,457
66941,1,11350,상계동,2014-10-06,미라보(성림),1320,60.0,20,2006,21200,353.3333333333333,457
66942,1,11350,상계동,2014-10-06,보람그린APT101동,1090-2,134.8,2,1999,30000,222.55192878338278,457
66943,1,11350,상계동,2014-10-06,노원우성,1251,84.88,3,1992,32000,377.0028275212064,457
66944,1,11350,상계동,2014-10-06,은빛1단지,1255,59.95,2,1998,22000,366.9724770642202,457
66945,1,11350,상계동,2014-10-06,상계주공6(고층),720,41.3,5,1988,20500,496.36803874092016,457
66946,1,11350,상계동,2014-10-06,상계주공4(고층),749-5,41.3,14,1988,18550,449.1525423728814,457
