,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
14174,1,11320,도봉동,2008-06-10,도봉파크빌3,644,84.354,5,2002,40500,480.11949640799486,127
14175,1,11320,도봉동,2008-06-11,럭키,595,84.86,9,1992,21900,258.0721187838793,127
14176,1,11320,도봉동,2008-06-11,서울가든,555,75.33,8,1987,26000,345.14801539891147,127
14177,1,11320,도봉동,2008-06-11,서원,641,49.77,13,1996,22000,442.03335342575843,127
14178,1,11320,도봉동,2008-06-13,럭키,595,84.86,12,1992,36800,433.65543247702095,127
14197,1,11320,방학동,2008-06-08,방학E.S.A1아파트,718-7,124.66,3,2003,47000,377.02550938552866,127
14198,1,11320,방학동,2008-06-09,방학동삼성래미안1,720-18,134.981,15,2002,79000,585.2675561745727,127
14199,1,11320,방학동,2008-06-09,신동아아파트4,732,59.92,8,1995,23800,397.196261682243,127
14200,1,11320,방학동,2008-06-10,신동아아파트1,271-1,126.89,6,1986,57500,453.14839624871934,127
14201,1,11320,방학동,2008-06-10,태솔에버빌,712-5,83.49,10,2008,26800,320.9965265301234,127
14202,1,11320,방학동,2008-06-11,신동아아파트2,531,72.92,13,1992,29800,408.6670323642348,127
14203,1,11320,방학동,2008-06-11,대상타운현대아파트,720-1,133.97,19,2001,78500,585.9520788236173,127
14204,1,11320,방학동,2008-06-11,신동아아파트1,271-1,43.35,4,1988,16500,380.6228373702422,127
14205,1,11320,방학동,2008-06-12,벽산아파트1,275,52.36,13,1991,20000,381.9709702062643,127
14206,1,11320,방학동,2008-06-13,신동아아파트2,531,84.82,14,1992,32000,377.269511907569,127
14207,1,11320,방학동,2008-06-14,브라운스톤방학아파트,713,84.9,4,2003,38000,447.585394581861,127
14244,1,11320,쌍문동,2008-06-09,한양4,59,28.71,9,1989,11500,400.55729710902125,127
14245,1,11320,쌍문동,2008-06-10,한양2,59,48.96,9,1988,23000,469.7712418300654,127
14246,1,11320,쌍문동,2008-06-10,삼익세라믹,56,58.77,15,1988,19500,331.8019397651863,127
14247,1,11320,쌍문동,2008-06-11,금호1,199-1,36.36,1,1990,14500,398.7898789878988,127
14248,1,11320,쌍문동,2008-06-11,e편한세상,731,84.75399999999998,3,2007,32000,377.56330084715773,127
14249,1,11320,쌍문동,2008-06-13,쌍문동삼성래미안,725,59.9899,2,2002,28200,470.0791299868811,127
14250,1,11320,쌍문동,2008-06-13,대웅,13-2,55.5,5,1989,21000,378.3783783783784,127
