,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
35997,35997,11320,도봉동,2015-11-10,도봉파크빌3,644,84.163,2,2002,34200,406.354336228509,514,1
35998,35998,11320,도봉동,2015-11-12,럭키,595,84.86,3,1992,28600,337.0256893707283,514,1
35999,35999,11320,도봉동,2015-11-12,양우내안애,656,84.92,2,2005,34400,405.08714083843614,514,1
36000,36000,11320,도봉동,2015-11-13,양우내안애,656,84.92,5,2005,34500,406.26471973622233,514,1
36001,36001,11320,도봉동,2015-11-13,중흥에스-클래스,Dec-51,81.443,2,2004,30700,376.95075083187015,514,1
36002,36002,11320,도봉동,2015-11-14,래미안도봉,655,59.25,3,2005,32900,555.2742616033755,514,1
36003,36003,11320,도봉동,2015-11-14,양우내안애,656,84.92,9,2005,38000,447.47998115873764,514,1
36004,36004,11320,도봉동,2015-11-14,동아에코빌,654,84.96700000000001,1,2003,30800,362.4936740146174,514,1
36035,36035,11320,방학동,2015-11-09,대원그린아파트,444-31,53.7,11,1987,18000,335.19553072625695,514,1
36036,36036,11320,방학동,2015-11-09,신동아아파트2,531,147.48,6,1992,43000,291.56495796040144,514,1
36037,36037,11320,방학동,2015-11-09,청구아파트,734,84.97,6,1995,31800,374.2497352006591,514,1
36038,36038,11320,방학동,2015-11-09,한화/성원아파트,731,59.88,15,1996,20000,334.001336005344,514,1
36039,36039,11320,방학동,2015-11-10,대상타운현대아파트,720-1,84.78,15,2001,47600,561.453172918141,514,1
36040,36040,11320,방학동,2015-11-11,신동아아파트1,271-1,84.87,3,1986,27500,324.02497938022856,514,1
36041,36041,11320,방학동,2015-11-12,신동아아파트1,271-1,62.22,12,1988,23500,377.69206043072967,514,1
36042,36042,11320,방학동,2015-11-12,신동아아파트1,271-1,62.22,7,1988,23300,374.4776599164256,514,1
36043,36043,11320,방학동,2015-11-12,방학E.S.A3아파트,716-1,84.87,2,2004,35800,421.821609520443,514,1
36044,36044,11320,방학동,2015-11-13,청구아파트,734,84.97,8,1995,30500,358.95021772390254,514,1
36081,36081,11320,쌍문동,2015-11-09,동익미라벨,285-5,84.39,13,1987,27700,328.237942884228,514,1
36082,36082,11320,쌍문동,2015-11-09,한양2,59,48.96,13,1988,21000,428.921568627451,514,1
36083,36083,11320,쌍문동,2015-11-09,동익미라벨,285-5,65.42,10,1987,21900,334.76001222867626,514,1
36084,36084,11320,쌍문동,2015-11-10,현대3,719,77.24,6,1995,24500,317.1931641636458,514,1
36085,36085,11320,쌍문동,2015-11-10,쌍문동삼성래미안,725,59.9899,11,2002,33500,558.4273352681034,514,1
36086,36086,11320,쌍문동,2015-11-10,한양6,May-59,83.86,4,2002,31000,369.6637252563797,514,1
36087,36087,11320,쌍문동,2015-11-11,한양7,158,84.86,12,1993,32000,377.09168041480086,514,1
36088,36088,11320,쌍문동,2015-11-11,한양2,59,76.92,10,1988,29000,377.01508060322413,514,1
36089,36089,11320,쌍문동,2015-11-12,한양6,May-59,83.86,12,2002,30000,357.7390889577868,514,1
36090,36090,11320,쌍문동,2015-11-12,한양2,59,59.67,8,1988,21500,360.3150661974191,514,1
36091,36091,11320,쌍문동,2015-11-12,염광,722,59.91,14,1997,22000,367.2174929060257,514,1
36092,36092,11320,쌍문동,2015-11-13,한양4,59,28.71,3,1989,12200,424.9390456287008,514,1
36093,36093,11320,쌍문동,2015-11-13,금호1,199-1,36.36,3,1990,14600,401.5401540154015,514,1
36161,36161,11320,창동,2015-11-09,신창,810,59.4,4,1998,23500,395.6228956228956,514,1
36162,36162,11320,창동,2015-11-09,초안산신도브래뉴,821,80.0192,5,2005,33300,416.15012397024714,514,1
36163,36163,11320,창동,2015-11-09,동아청솔,808,84.97,8,1997,43800,515.4760503707191,514,1
36164,36164,11320,창동,2015-11-09,삼성래미안,45,84.87,16,1992,37500,441.8522446094026,514,1
36165,36165,11320,창동,2015-11-09,창동주공4단지,380,49.94,14,1991,22000,440.5286343612335,514,1
36166,36166,11320,창동,2015-11-09,창동현대타운,812,66.42,6,1999,31000,466.7268894911171,514,1
36167,36167,11320,창동,2015-11-09,창동주공4단지,380,41.3,2,1991,15800,382.5665859564165,514,1
36168,36168,11320,창동,2015-11-09,동아청솔,808,59.445,4,1997,31400,528.219362435865,514,1
36169,36169,11320,창동,2015-11-09,대동,811,114.88,8,1999,36500,317.7228412256268,514,1
36170,36170,11320,창동,2015-11-10,주공19단지(창동 리버타운),27,59.39,2,1989,26500,446.2030644889712,514,1
36171,36171,11320,창동,2015-11-10,주공19단지(창동 리버타운),27,84.9,4,1989,33500,394.5818610129564,514,1
36172,36172,11320,창동,2015-11-10,북한산아이파크5차,825,119.1731,6,2004,60300,505.9866698105529,514,1
36173,36173,11320,창동,2015-11-10,주공19단지(창동 리버타운),27,84.9,9,1989,32800,386.3368669022379,514,1
36174,36174,11320,창동,2015-11-10,초안산신도브래뉴,821,80.0192,10,2005,32500,406.15252339438536,514,1
36175,36175,11320,창동,2015-11-10,쌍용,807,84.76,17,1997,45300,534.4502123643227,514,1
36176,36176,11320,창동,2015-11-11,창동2차현대,815,84.50399999999999,2,2001,38500,455.59973492379066,514,1
36177,36177,11320,창동,2015-11-11,주공17단지,38,36.16,9,1989,15000,414.82300884955754,514,1
36178,36178,11320,창동,2015-11-11,창동주공3단지(해등마을),347,41.3,7,1991,21800,527.8450363196126,514,1
36179,36179,11320,창동,2015-11-11,월가타워,7,13.09,9,2013,9600,733.3842627960275,514,1
36180,36180,11320,창동,2015-11-11,창동주공1단지,305,59.39,7,1990,24700,415.89493180670144,514,1
36181,36181,11320,창동,2015-11-11,창동주공2단지,316,36.16,2,1990,15950,441.09513274336285,514,1
36182,36182,11320,창동,2015-11-12,상아1차아파트,299,58.59,13,1987,24000,409.626216077829,514,1
36183,36183,11320,창동,2015-11-12,대동,811,114.88,9,1999,37800,329.0389972144847,514,1
36184,36184,11320,창동,2015-11-12,주공17단지,38,36.34,1,1989,13600,374.2432581177765,514,1
36185,36185,11320,창동,2015-11-12,주공17단지,38,36.16,13,1989,14800,409.29203539823015,514,1
36186,36186,11320,창동,2015-11-12,창동주공1단지,305,49.94,3,1990,22500,450.54064877853426,514,1
36187,36187,11320,창동,2015-11-13,창동주공4단지,380,49.94,6,1991,24000,480.57669203043656,514,1
36188,36188,11320,창동,2015-11-13,주공19단지(창동 리버타운),27,68.86,9,1988,33000,479.2332268370607,514,1
36189,36189,11320,창동,2015-11-13,동아,26,88.23,6,1988,39000,442.0265215912955,514,1
36190,36190,11320,창동,2015-11-13,창동주공1단지,305,49.94,11,1990,24000,480.57669203043656,514,1
36191,36191,11320,창동,2015-11-14,창동주공3단지(해등마을),347,79.07,9,1990,43000,543.8219299355003,514,1
