,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
16720,1,11230,답십리동,2013-12-16,대림,808,114.9,4,2003,37000,322.0191470844212,415
16721,1,11230,답십리동,2013-12-18,답십리청솔우성,80,114.76,1,2000,35800,311.95538515162076,415
16722,1,11230,답십리동,2013-12-18,동서울한양,41,76.41,7,1989,28000,366.44418269859966,415
16723,1,11230,답십리동,2013-12-18,동답한신,42,35.45,2,1992,16000,451.33991537376585,415
16724,1,11230,답십리동,2013-12-19,답십리청솔우성,80,114.76,7,2000,39800,346.81073544789126,415
16725,1,11230,답십리동,2013-12-19,우성그린,989-1,59.36,5,1997,23500,395.88948787062,415
16726,1,11230,답십리동,2013-12-20,세양청마루,997,84.98,9,2005,34500,405.97787714756413,415
16727,1,11230,답십리동,2013-12-20,동서울한양,41,59.67,6,1989,21500,360.3150661974191,415
16728,1,11230,답십리동,2013-12-20,답십리한화,994,84.86,3,2001,35000,412.4440254536884,415
16729,1,11230,답십리동,2013-12-20,청계한신휴플러스,1002,59.74,1,2010,37800,632.7418814864412,415
16730,1,11230,답십리동,2013-12-20,두산,990,59.96,2,2000,25850,431.1207471647765,415
16731,1,11230,답십리동,2013-12-21,두산,990,114.97,20,2000,41700,362.703313907976,415
16732,1,11230,답십리동,2013-12-21,동답한신,42,44.35,7,1992,19700,444.1939120631341,415
16733,1,11230,답십리동,2013-12-21,래미안엘파인아파트,1000,84.83,3,2011,40000,471.5312978898975,415
16734,1,11230,답십리동,2013-12-21,두산위브,998,84.91,12,2007,42500,500.5299729124956,415
16748,1,11230,용두동,2013-12-17,래미안 허브리츠,792,59.96,11,2011,43400,723.815877251501,415
16749,1,11230,용두동,2013-12-20,용두 두산위브,791,84.99,10,2009,48000,564.7723261560184,415
16750,1,11230,용두동,2013-12-21,용두 두산위브,791,84.99,3,2009,47000,553.006236027768,415
16765,1,11230,이문동,2013-12-15,대림e-편한세상,225,59.958,20,2003,32000,533.7069281830614,415
16766,1,11230,이문동,2013-12-15,주성아우라,254-40,13.263,10,2013,9500,716.2783683932745,415
16767,1,11230,이문동,2013-12-18,쌍용,64,59.99,19,2000,29900,498.41640273378897,415
16768,1,11230,이문동,2013-12-18,신이문 금호어울림,428,59.92,7,2008,31700,529.0387182910547,415
16769,1,11230,이문동,2013-12-21,래미안이문2차,311,59.79,5,2004,32400,541.8966382338184,415
16797,1,11230,장안동,2013-12-16,래미안장안2차,329-3,81.05,24,2007,42000,518.1986428130783,415
16798,1,11230,장안동,2013-12-16,장안현대홈타운(336),336,84.87,20,2003,42500,500.7658772239896,415
16799,1,11230,장안동,2013-12-17,한신아파트,555-1,84.9,10,1996,30250,356.301531213192,415
16800,1,11230,장안동,2013-12-18,장안현대홈타운(336),336,84.87,1,2003,35000,412.3954283021091,415
16801,1,11230,장안동,2013-12-18,신일해피트리1차(564),564,84.71,12,2005,32500,383.66190532404676,415
16802,1,11230,장안동,2013-12-19,흥해오크팰리스(440-5),440-5,76.68,9,2009,29300,382.1074595722483,415
16803,1,11230,장안동,2013-12-20,대명이룸(565-0),565,82.85,5,2005,32000,386.2401931200966,415
16804,1,11230,장안동,2013-12-20,경남하이빌,578,84.93,6,2008,28000,329.68326857411984,415
16805,1,11230,장안동,2013-12-20,장안현대홈타운(336),336,58.42,10,2003,29000,496.4053406367682,415
16806,1,11230,장안동,2013-12-20,정은101동(332-2),332-2,105.75,9,1999,29500,278.9598108747045,415
16807,1,11230,장안동,2013-12-21,장안현대홈타운(336),336,84.87,8,2003,45250,533.1683751620125,415
16808,1,11230,장안동,2013-12-21,래미안장안2차,329-3,64.85,5,2007,36000,555.1272166538165,415
16809,1,11230,장안동,2013-12-21,신부파스카(563),563,84.99,2,2005,31500,370.63183903988704,415
16837,1,11230,전농동,2013-12-19,전농SK,10,84.95,11,2000,37800,444.96762801648026,415
16838,1,11230,전농동,2013-12-19,전농SK,10,84.95,1,2000,32500,382.5779870512066,415
16839,1,11230,전농동,2013-12-19,전농우성,6,115.56,1,1992,29500,255.2786431291104,415
16840,1,11230,전농동,2013-12-19,전농SK,10,59.96,8,2000,29800,496.9979986657772,415
16841,1,11230,전농동,2013-12-20,전농우성,6,59.78,7,1992,21500,359.6520575443292,415
16861,1,11230,제기동,2013-12-17,동성네스트빌2,274-21,67.78,4,2004,26300,388.0200649159044,415
16862,1,11230,제기동,2013-12-17,한신아파트,1212,59.84,1,2004,25000,417.7807486631016,415
16863,1,11230,제기동,2013-12-21,안암골벽산,153,84.98,2,2003,37000,435.3965638973876,415
16876,1,11230,청량리동,2013-12-18,미주,235-1,101.62,13,1978,37000,364.10155481204487,415
16877,1,11230,청량리동,2013-12-19,한신,60,59.97,12,1997,28000,466.9001167250292,415
16900,1,11230,휘경동,2013-12-16,동양2차,117,84.984,16,2002,36300,427.13922620728613,415
16901,1,11230,휘경동,2013-12-18,롯데낙천대,109,59.94,17,2003,27500,458.79212545879216,415
16902,1,11230,휘경동,2013-12-20,주공2,57,39.98,7,2001,20000,500.2501250625313,415
16903,1,11230,휘경동,2013-12-20,주공1,57,84.8,3,2001,30000,353.7735849056604,415
