,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
11505,1,11590,노량진동,2011-05-03,삼익,330,58.96,15,2001,32700,554.6132971506106,278
11506,1,11590,노량진동,2011-05-06,신동아리버파크,325,114.75,6,2001,56500,492.3747276688453,278
11516,1,11590,대방동,2011-05-01,보라매코오롱하늘채,509,84.7,4,2005,45000,531.2868949232585,278
11517,1,11590,대방동,2011-05-01,대림아파트,501,59.84,11,1993,36400,608.2887700534759,278
11518,1,11590,대방동,2011-05-04,대림아파트,501,164.79,4,1993,90000,546.1496450027307,278
11519,1,11590,대방동,2011-05-06,대림아파트,501,84.92,18,1993,65000,765.4262835609986,278
11520,1,11590,대방동,2011-05-07,우정,505,59.89,21,1999,29000,484.22107196526963,278
11532,1,11590,본동,2011-05-07,한신휴플러스,487,84.84,14,2004,51200,603.4889203206035,278
11537,1,11590,사당동,2011-05-01,극동(105),105,84.32,11,1993,67500,800.5218216318787,278
11538,1,11590,사당동,2011-05-03,삼성래미안,1133,84.96700000000001,14,2003,52000,612.0023067779255,278
11539,1,11590,사당동,2011-05-04,르메이에르,1141,59.4,14,2001,27500,462.962962962963,278
11540,1,11590,사당동,2011-05-05,신동아4,105,118.25,13,1993,65500,553.9112050739958,278
11541,1,11590,사당동,2011-05-05,극동(105),105,59.25,12,1993,38600,651.4767932489451,278
11570,1,11590,상도동,2011-05-01,포스코더샵,521,84.995,9,2007,65000,764.7508676980998,278
11571,1,11590,상도동,2011-05-03,파크뷰,283-68,34.74,7,2009,15000,431.7789291882556,278
11572,1,11590,상도동,2011-05-04,이수브라운스톤상도(527-0),527,84.84,15,2007,58800,693.0693069306931,278
11573,1,11590,상도동,2011-05-04,래미안상도3차,431,114.97,5,2004,70000,608.854483778377,278
11574,1,11590,상도동,2011-05-04,세레노,126-17,72.68,3,2003,28000,385.2504127682994,278
11575,1,11590,상도동,2011-05-05,래미안상도3차,431,84.96,10,2004,62300,733.286252354049,278
11576,1,11590,상도동,2011-05-06,건영,414,32.8,10,1997,23000,701.219512195122,278
11577,1,11590,상도동,2011-05-06,롯데캐슬비엔,530,68.56,4,2010,39765,580.0029171528588,278
11606,1,11590,신대방동,2011-05-02,우성1,565,66.69,11,1988,35000,524.8163142899986,278
11607,1,11590,신대방동,2011-05-03,보라매파크빌,711,84.59,3,2002,51500,608.8190093391654,278
11608,1,11590,신대방동,2011-05-04,우성1,565,157.07,13,1988,79000,502.960463487617,278
11609,1,11590,신대방동,2011-05-04,신동아파밀리에,717,112.058,9,2005,75000,669.2962572953292,278
11610,1,11590,신대방동,2011-05-05,보라매 e편한세상,720,84.73,17,2010,59000,696.3295172902159,278
11611,1,11590,신대방동,2011-05-05,신동아파밀리에,717,112.058,6,2005,84000,749.6118081707687,278
11612,1,11590,신대방동,2011-05-06,우성1,565,84.99,20,1988,42000,494.1757853865161,278
11613,1,11590,신대방동,2011-05-07,우성1,565,127.02,19,1988,64750,509.76224216658795,278
11628,1,11590,흑석동,2011-05-02,한강현대,28,131.06,4,1988,95000,724.858843277888,278
11629,1,11590,흑석동,2011-05-02,한강현대,28,131.06,7,1988,107000,816.419960323516,278
11630,1,11590,흑석동,2011-05-06,우리유앤미,329,59.6618,10,2003,28200,472.66425082716245,278
11631,1,11590,흑석동,2011-05-06,청호,327,59.85,9,1997,25500,426.0651629072682,278
