,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
6237,6237,11440,공덕동,2008-03-24,공덕2삼성래미안,43,114.87,15,2004,77400,673.8051710629406,116,1
6238,6238,11440,공덕동,2008-03-25,공덕2삼성래미안,43,114.87,8,2004,74800,651.1708888308523,116,1
6239,6239,11440,공덕동,2008-03-25,공덕3삼성래미안,457,59.97,12,2004,50950,849.5914623978656,116,1
6240,6240,11440,공덕동,2008-03-25,공덕2삼성래미안,43,59.97,10,2004,44400,740.3701850925463,116,1
6241,6241,11440,공덕동,2008-03-26,공덕1삼성래미안,371,84.94,11,1999,61000,718.1539910525076,116,1
6242,6242,11440,공덕동,2008-03-27,공덕3삼성래미안,457,59.97,8,2004,49500,825.4127063531766,116,1
6243,6243,11440,공덕동,2008-03-29,공덕2삼성래미안,43,84.94,7,2004,59500,700.4944666823641,116,1
6244,6244,11440,공덕동,2008-03-29,공덕3삼성래미안,457,59.97,14,2004,50000,833.7502084375521,116,1
6253,6253,11440,노고산동,2008-03-23,현대벤처빌,107-36,31.57,17,2002,13300,421.2860310421286,116,1
6254,6254,11440,노고산동,2008-03-23,현대벤처빌,107-36,41.58,15,2002,16000,384.8003848003848,116,1
6262,6262,11440,대흥동,2008-03-28,마포태영,660,84.77,13,1999,53800,634.6584876725257,116,1
6296,6296,11440,도화동,2008-03-25,우성,82,68.94,4,1991,44500,645.4888308674209,116,1
6297,6297,11440,도화동,2008-03-25,마포트라팰리스,559,105.61,3,2006,68000,643.8784206041095,116,1
6298,6298,11440,도화동,2008-03-26,도화동현대,357,68.22,11,1996,42500,622.984462034594,116,1
6299,6299,11440,도화동,2008-03-26,한화오벨리스크,555,75.7,18,2004,34000,449.14134742404224,116,1
6300,6300,11440,도화동,2008-03-28,현대홈타운,353,113.25,11,2000,60000,529.8013245033112,116,1
6301,6301,11440,도화동,2008-03-29,한화오벨리스크,555,39.91,4,2004,21800,546.2290152843899,116,1
6302,6302,11440,도화동,2008-03-29,우성,82,68.94,2,1991,39500,572.9619959384972,116,1
6334,6334,11440,망원동,2008-03-24,성원1,420,59.4,7,1998,28000,471.3804713804714,116,1
6335,6335,11440,망원동,2008-03-24,한강1차대주피오레,500,79.38,4,2003,35000,440.9171075837743,116,1
6336,6336,11440,망원동,2008-03-25,노아아크빌,471-3,106.2,4,2004,39750,374.29378531073445,116,1
6337,6337,11440,망원동,2008-03-26,동보프리미아,463-2,63.02,7,2004,25000,396.69946048873373,116,1
6338,6338,11440,망원동,2008-03-26,미원2,433-9,59.77,3,1997,24800,414.92387485360547,116,1
6339,6339,11440,망원동,2008-03-26,한강1차대주피오레,500,79.38,14,2003,34500,434.61829176114895,116,1
6340,6340,11440,망원동,2008-03-27,한강1차대주피오레,500,79.31,7,2003,38300,482.91514310931785,116,1
6341,6341,11440,망원동,2008-03-27,삼우하이브,381-9,116.64,3,2003,40000,342.9355281207133,116,1
6342,6342,11440,망원동,2008-03-27,대림1,496,59.73,7,2002,34000,569.2281935375859,116,1
6343,6343,11440,망원동,2008-03-27,한강1차대주피오레,500,79.38,6,2003,38300,482.4892920131016,116,1
6344,6344,11440,망원동,2008-03-28,삼우월드,384-7,84.68,4,2004,33000,389.70240906943786,116,1
6345,6345,11440,망원동,2008-03-29,미원2,433-9,93.66,7,1997,36000,384.3689942344651,116,1
6346,6346,11440,망원동,2008-03-29,강림스위트빌,508,81.71,1,2004,22000,269.2448904662832,116,1
6347,6347,11440,망원동,2008-03-29,천우,436-6,68.68,7,2002,21500,313.04601048340123,116,1
6371,6371,11440,상암동,2008-03-24,상암월드컵파크4단지,1655,84.76,12,2006,70000,825.8612553091081,116,1
6372,6372,11440,상암동,2008-03-27,상암월드컵파크3단지,1643,84.94,15,2003,70000,824.1111372733694,116,1
6373,6373,11440,상암동,2008-03-28,상암월드컵파크2단지,1637,59.92,13,2003,45000,751.0013351134846,116,1
6374,6374,11440,상암동,2008-03-28,상암월드컵파크7단지,1660,84.9,12,2005,76100,896.3486454652532,116,1
6375,6375,11440,상암동,2008-03-29,상암월드컵파크2단지,1637,49.8,9,2003,36000,722.8915662650603,116,1
6384,6384,11440,서교동,2008-03-23,대우미래사랑,487,34.29,7,2005,13000,379.11927675707204,116,1
6385,6385,11440,서교동,2008-03-28,대우미래사랑,487,57.36,5,2005,21500,374.82566248256626,116,1
6386,6386,11440,서교동,2008-03-29,기정MAY(247-28),247-28,118.95,3,2004,41500,348.88608659100464,116,1
6387,6387,11440,서교동,2008-03-29,대우미래사랑,487,34.29,3,2005,12800,373.28667249927094,116,1
6431,6431,11440,성산동,2008-03-23,성산시영(선경),446,50.54,1,1986,38000,751.8796992481203,116,1
6432,6432,11440,성산동,2008-03-24,성산월드타운대림,601,59.888000000000005,20,2004,31000,517.6329147742453,116,1
6433,6433,11440,성산동,2008-03-25,세원,142-9,59.87,3,1996,19250,321.5299816268582,116,1
6434,6434,11440,성산동,2008-03-25,성산시영(유원),446,59.43,13,1986,51000,858.1524482584554,116,1
6435,6435,11440,성산동,2008-03-25,성산시영(대우),446,50.03,9,1986,38000,759.5442734359384,116,1
6436,6436,11440,성산동,2008-03-26,성산시영(선경),446,50.54,8,1986,40500,801.3454689354967,116,1
6437,6437,11440,성산동,2008-03-27,성산시영(유원),446,59.43,10,1986,49000,824.4994110718493,116,1
6438,6438,11440,성산동,2008-03-27,성산시영(선경),446,50.54,2,1986,40000,791.4523149980214,116,1
6439,6439,11440,성산동,2008-03-28,성산시영(대우),446,50.03,5,1986,39900,797.5214871077353,116,1
6457,6457,11440,신공덕동,2008-03-25,대우메트로디오빌,167,34.39,20,2005,18000,523.4079674323931,116,1
6458,6458,11440,신공덕동,2008-03-25,신공덕래미안2차,159,84.73,16,2000,56000,660.9229316652898,116,1
6459,6459,11440,신공덕동,2008-03-26,신공덕래미안2차,159,59.48,13,2000,36500,613.6516476126429,116,1
6460,6460,11440,신공덕동,2008-03-27,대우메트로디오빌,167,34.39,26,2005,20000,581.5644082582146,116,1
6461,6461,11440,신공덕동,2008-03-28,뉴마인,05월 05일,59.24,5,2008,34700,585.7528696826469,116,1
6462,6462,11440,신공덕동,2008-03-28,뉴마인,05월 05일,59.24,1,2008,34500,582.3767724510466,116,1
6463,6463,11440,신공덕동,2008-03-28,대우메트로디오빌,167,34.39,28,2005,20000,581.5644082582146,116,1
6464,6464,11440,신공덕동,2008-03-29,신공덕래미안2차,159,59.48,3,2000,33800,568.2582380632145,116,1
6465,6465,11440,신공덕동,2008-03-29,신공덕래미안2차,159,59.48,8,2000,36700,617.014122394082,116,1
6487,6487,11440,신수동,2008-03-24,벽산솔렌스힐,457,84.9657,2,2007,48839,574.808422692922,116,1
6488,6488,11440,신수동,2008-03-24,현대,445-5,84.47,1,1996,40000,473.5409020954185,116,1
6489,6489,11440,신수동,2008-03-24,현대,445-5,84.47,14,1996,45000,532.7335148573458,116,1
6490,6490,11440,신수동,2008-03-25,신촌삼익,450,59.97,11,1997,30500,508.5876271469068,116,1
6491,6491,11440,신수동,2008-03-27,신촌삼익,450,114.5,14,1997,65000,567.6855895196506,116,1
6499,6499,11440,신정동,2008-03-26,서강GS,30,84.97,3,1999,49300,580.2047781569966,116,1
6503,6503,11440,아현동,2008-03-28,혜성,613-10,86.31,12,1972,24500,283.86050283860504,116,1
6517,6517,11440,연남동,2008-03-24,코오롱,573,59.76,3,2003,30700,513.7215528781794,116,1
6518,6518,11440,연남동,2008-03-25,코오롱,573,102.15799999999999,7,2003,51800,507.0576949431274,116,1
6519,6519,11440,연남동,2008-03-29,서암,250-8,67.08,3,2004,20500,305.6052474657126,116,1
6534,6534,11440,용강동,2008-03-28,마포용강삼성래미안,380,59.98,8,2003,45000,750.2500833611205,116,1
6543,6543,11440,중동,2008-03-26,울트라월드컵(참누리),398,84.9572,15,2006,59600,701.5297114311677,116,1
6544,6544,11440,중동,2008-03-27,건영월드컵,393,58.76,10,2002,29000,493.53301565690947,116,1
6545,6545,11440,중동,2008-03-29,DMC마포청구아파트,390,84.9,8,1994,47750,562.4263839811542,116,1
6560,6560,11440,창전동,2008-03-25,중앙하이츠 101동,Jul-42,64.65,5,2007,22800,352.66821345707655,116,1
6561,6561,11440,창전동,2008-03-25,창전래미안,437,84.93,9,1998,47800,562.8164370658188,116,1
6562,6562,11440,창전동,2008-03-26,서강예가,444,84.988,5,2007,43000,505.9537817103591,116,1
6563,6563,11440,창전동,2008-03-29,서강예가,444,84.988,3,2007,58500,688.3324704664188,116,1
6568,6568,11440,토정동,2008-03-28,한강삼성,138,59.76,22,1997,41000,686.0776439089692,116,1
6579,6579,11440,현석동,2008-03-23,밤섬힐스테이트,220,59.4,2,1999,30000,505.0505050505051,116,1
