,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
1080,1,11440,공덕동,2006-05-10,마포공덕파크팰리스Ⅱ,462,141.46,20,2005,61844,437.18365615721757,18
1081,1,11440,공덕동,2006-05-11,공덕1삼성래미안,371,59.74,8,1999,27000,451.9584867760295,18
1082,1,11440,공덕동,2006-05-12,마포공덕파크팰리스Ⅱ,462,141.46,8,2005,58254,411.805457373109,18
1093,1,11440,노고산동,2006-05-08,신촌포스빌,1-3,32.34,6,2004,13800,426.71614100185525,18
1101,1,11440,대흥동,2006-05-08,마포태영,660,114.93,6,1999,59000,513.3559557991821,18
1102,1,11440,대흥동,2006-05-09,마포태영,660,114.93,1,1999,53000,461.1502653789263,18
1103,1,11440,대흥동,2006-05-10,마포태영,660,59.4,21,1999,23500,395.6228956228956,18
1104,1,11440,대흥동,2006-05-10,마포태영,660,59.4,20,1999,24300,409.0909090909091,18
1105,1,11440,대흥동,2006-05-10,마포태영,660,84.77,22,1999,39600,467.14639613070665,18
1106,1,11440,대흥동,2006-05-11,마포태영,660,114.93,3,1999,61000,530.757852605934,18
1107,1,11440,대흥동,2006-05-13,대흥동세양,802,84.6,15,2000,27000,319.1489361702128,18
1127,1,11440,도화동,2006-05-07,우성,82,68.94,3,1991,28700,416.3040324920221,18
1128,1,11440,도화동,2006-05-08,한화오벨리스크,555,82.14,29,2004,37000,450.45045045045043,18
1129,1,11440,도화동,2006-05-12,삼성,550,72.185,9,1997,39700,549.975756736164,18
1130,1,11440,도화동,2006-05-12,도화동현대,357,79.83,10,1996,37000,463.48490542402607,18
1131,1,11440,도화동,2006-05-13,도화동현대,357,68.22,9,1996,31800,466.13896218117856,18
1132,1,11440,도화동,2006-05-13,도화동현대,357,54.72,14,1996,23000,420.32163742690057,18
1133,1,11440,도화동,2006-05-13,우성,82,68.94,6,1991,29800,432.2599361763853,18
1160,1,11440,마포동,2006-05-09,마포쌍용황금아파트,253,59.9,14,2000,21000,350.58430717863104,18
1161,1,11440,마포동,2006-05-10,강변한신코아,350,83.16,9,1992,23700,284.992784992785,18
1162,1,11440,마포동,2006-05-11,강변한신코아,350,83.16,8,1992,23100,277.77777777777777,18
1163,1,11440,마포동,2006-05-13,마포쌍용황금아파트,253,84.9,18,2000,45000,530.035335689046,18
1164,1,11440,마포동,2006-05-13,강변한신코아,350,83.16,7,1992,25500,306.63780663780665,18
1171,1,11440,망원동,2006-05-07,성원2,489,59.43,3,1999,15800,265.85899377418815,18
1172,1,11440,망원동,2006-05-08,성원2,489,59.43,2,1999,15700,264.1763419148578,18
1173,1,11440,망원동,2006-05-09,성원1,420,59.4,15,1998,18000,303.03030303030306,18
