,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
26617,1,11410,남가좌동,2018-03-25,DMC파크뷰자이2단지,384,84.96799999999998,16,2015,86000,1012.1457489878545,638
26618,1,11410,남가좌동,2018-03-25,DMC파크뷰자이5단지,383,59.981,4,2015,69500,1158.7002550807756,638
26619,1,11410,남가좌동,2018-03-26,남가좌동현대,376,114.9,3,1999,57000,496.0835509138381,638
26620,1,11410,남가좌동,2018-03-26,남가좌삼성,377,59.93,12,2000,46500,775.9052227598866,638
26621,1,11410,남가좌동,2018-03-27,남가좌삼성,377,59.93,9,2000,47000,784.2482896712831,638
26622,1,11410,남가좌동,2018-03-28,디엠씨엘가,387,13.03,12,2017,14800,1135.84036838066,638
26623,1,11410,남가좌동,2018-03-30,래미안남가좌2차,379,84.806,14,2005,71000,837.2049147465981,638
26624,1,11410,남가좌동,2018-03-30,남가좌동현대,376,114.9,5,1999,57300,498.69451697127937,638
26625,1,11410,남가좌동,2018-03-30,래미안남가좌2차,379,114.793,7,2005,76000,662.0612755133152,638
26626,1,11410,남가좌동,2018-03-30,DMC파크뷰자이1단지,385,84.971,12,2015,90000,1059.1848983770933,638
26627,1,11410,남가좌동,2018-03-31,남가좌삼성,377,114.93,20,2000,60000,522.056904202558,638
26633,1,11410,냉천동,2018-03-31,동부센트레빌,260,114.92,14,2002,78000,678.7330316742082,638
26640,1,11410,대현동,2018-03-28,럭키대현,144,59.7,2,1999,50000,837.5209380234505,638
26641,1,11410,대현동,2018-03-28,신촌자이엘라,104-36,20.11,16,2014,26800,1332.6703132769767,638
26681,1,11410,북가좌동,2018-03-25,DMC래미안e편한세상,481,84.92,11,2012,82400,970.325011775789,638
26682,1,11410,북가좌동,2018-03-26,충우팰리스2,325-43,84.88,2,2004,38000,447.69085768143265,638
26683,1,11410,북가좌동,2018-03-27,DMC한양,431,65.34,5,1987,39750,608.356290174472,638
26684,1,11410,북가좌동,2018-03-27,DMC래미안e편한세상,481,84.95,3,2012,80000,941.7304296645085,638
