,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
30412,30412,11410,남가좌동,2019-11-24,DMC파크뷰자이2단지,384,59.981,2,2015,87500,1458.7952851736384,725,1
30413,30413,11410,남가좌동,2019-11-24,DMC파크뷰자이4단지,382,84.96799999999999,8,2015,97000,1141.6062517653706,725,1
30414,30414,11410,남가좌동,2019-11-25,래미안남가좌2차,379,114.79299999999999,6,2005,97250,847.1770926798673,725,1
30415,30415,11410,남가좌동,2019-11-25,DMC파크뷰자이2단지,384,84.96799999999999,1,2015,98000,1153.3753883815084,725,1
30416,30416,11410,남가좌동,2019-11-25,디엠씨엘가,387,30.36,4,2017,32000,1054.0184453227932,725,1
30417,30417,11410,남가좌동,2019-11-25,DMC파크뷰자이1단지,385,84.971,2,2015,103500,1218.0626331336573,725,1
30418,30418,11410,남가좌동,2019-11-26,DMC파크뷰자이1단지,385,84.971,3,2015,114500,1347.5185651575243,725,1
30419,30419,11410,남가좌동,2019-11-26,DMC센트레빌,381,84.97,12,2009,83500,982.6997763916677,725,1
30420,30420,11410,남가좌동,2019-11-26,DMC파크뷰자이1단지,385,120.492,5,2015,130000,1078.9098031404574,725,1
30421,30421,11410,남가좌동,2019-11-26,DMC파크뷰자이2단지,384,84.99,4,2015,101300,1191.9049299917638,725,1
30422,30422,11410,남가좌동,2019-11-27,DMC파크뷰자이2단지,384,84.90899999999999,12,2015,102700,1209.5302029231295,725,1
30423,30423,11410,남가좌동,2019-11-27,DMC파크뷰자이1단지,385,84.96799999999999,5,2015,107000,1259.2976179267491,725,1
30424,30424,11410,남가좌동,2019-11-27,디엠씨엘가,387,30.36,6,2017,32000,1054.0184453227932,725,1
30425,30425,11410,남가좌동,2019-11-28,DMC센트럴아이파크,388,59.91,7,2018,84800,1415.4565181104992,725,1
30426,30426,11410,남가좌동,2019-11-28,DMC센트레빌,381,84.87,4,2009,84500,995.6403911865206,725,1
30427,30427,11410,남가좌동,2019-11-28,남가좌동현대,376,59.4,17,1999,51000,858.5858585858587,725,1
30428,30428,11410,남가좌동,2019-11-29,DMC파크뷰자이1단지,385,84.96799999999999,5,2015,105000,1235.7593446944734,725,1
30429,30429,11410,남가좌동,2019-11-29,DMC파크뷰자이1단지,385,121.61399999999999,20,2015,139000,1142.9605144144589,725,1
30430,30430,11410,남가좌동,2019-11-30,DMC파크뷰자이1단지,385,84.971,20,2015,114300,1345.1648209389084,725,1
30431,30431,11410,남가좌동,2019-11-30,남가좌동현대,376,114.9,11,1999,74000,644.0382941688424,725,1
30432,30432,11410,남가좌동,2019-11-30,남가좌동현대,376,59.4,11,1999,54000,909.0909090909091,725,1
30433,30433,11410,남가좌동,2019-11-30,DMC파크뷰자이1단지,385,84.971,28,2015,102000,1200.409551494039,725,1
30456,30456,11410,대현동,2019-11-25,럭키대현,144,83.38,2,1999,84000,1007.4358359318782,725,1
30500,30500,11410,북가좌동,2019-11-25,DMC래미안e편한세상,481,59.97,6,2012,87000,1450.7253626813406,725,1
30501,30501,11410,북가좌동,2019-11-28,DMC현대아파트,453,71.89,12,2000,50500,702.4620948671582,725,1
30502,30502,11410,북가좌동,2019-11-28,DMC래미안e편한세상,481,120.95,27,2012,120000,992.1455146754857,725,1
30503,30503,11410,북가좌동,2019-11-28,북가좌동이랜드해가든,460,84.91,15,2007,69500,818.5137204098457,725,1
30504,30504,11410,북가좌동,2019-11-29,북가좌삼호,449,84.57,13,1996,61500,727.2082298687478,725,1
30505,30505,11410,북가좌동,2019-11-29,충우팰리스2,325-43,84.88,2,2004,39600,466.54099905749297,725,1
30506,30506,11410,북가좌동,2019-11-29,DMC래미안e편한세상,481,84.93,9,2012,103000,1212.763452254798,725,1
30507,30507,11410,북가좌동,2019-11-30,월드컵현대,371-1,59.56,7,1998,60000,1007.3875083948959,725,1
30508,30508,11410,북가좌동,2019-11-30,DMC래미안e편한세상,481,84.95,14,2012,102500,1206.5921130076515,725,1
30509,30509,11410,북가좌동,2019-11-30,DMC래미안e편한세상,481,84.97,11,2012,104000,1223.9613981405203,725,1
30510,30510,11410,북가좌동,2019-11-30,북가좌삼호,449,84.57,2,1996,58500,691.7346576800285,725,1
