,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
19906,1,11650,반포동,2011-10-24,반포미도,60-4,84.96,11,1987,75000,882.768361581921,303
19907,1,11650,반포동,2011-10-25,삼호가든맨션(3차),32-8,136.73,7,1982,120500,881.2989102610986,303
19908,1,11650,반포동,2011-10-26,한신15차,12,122.1,2,1982,166000,1359.5413595413595,303
19909,1,11650,반포동,2011-10-27,한신서래,70-1,137.47,12,1987,99000,720.1571251909508,303
19910,1,11650,반포동,2011-10-27,반포경남아파트,1-8,71.97,6,1978,83500,1160.2056412394054,303
19911,1,11650,반포동,2011-10-27,반포자이,20-43,84.984,16,2009,130000,1529.6997081803634,303
19912,1,11650,반포동,2011-10-29,반포자이,20-43,84.98200000000001,26,2009,126500,1488.5505165799814,303
19943,1,11650,방배동,2011-10-24,강남아트빌,980-41,103.21,4,2002,46500,450.5377385912218,303
19944,1,11650,방배동,2011-10-24,삼호3,757-3,129.76,10,1976,95500,735.9741060419236,303
19945,1,11650,방배동,2011-10-24,방배2차현대홈타운,2001,114.74,18,2001,92000,801.8127941432805,303
19946,1,11650,방배동,2011-10-26,대우(효령),1038,84.91,8,1992,68000,800.847956659993,303
19947,1,11650,방배동,2011-10-26,세양아르비채102동,425-1,134.159,5,2006,62000,462.13820913990116,303
19948,1,11650,방배동,2011-10-28,방배롯데캐슬로제,849-30,172.27,6,2009,182200,1057.64207348929,303
19949,1,11650,방배동,2011-10-28,노블씨티,802-8,114.16,1,2008,82000,718.2901191310442,303
19950,1,11650,방배동,2011-10-29,한신트리플,816-1,43.93,11,2004,24800,564.5344866833599,303
19993,1,11650,서초동,2011-10-23,무지개,1335,76.89,9,1978,64800,842.7623878267655,303
19994,1,11650,서초동,2011-10-23,현대성우주상복합아파트,1316-15,161.91,15,2002,88000,543.5118275585202,303
19995,1,11650,서초동,2011-10-25,래미안서초유니빌,1445-4,45.255,15,2003,27000,596.6191581040769,303
19996,1,11650,서초동,2011-10-26,서초동삼성쉐르빌2,1330,70.49,18,2002,52000,737.6932898283445,303
19997,1,11650,서초동,2011-10-26,래미안서초유니빌,1445-4,44.447,8,2003,28000,629.9637770828177,303
19998,1,11650,서초동,2011-10-26,서초아트자이,1583-10,165.5725,8,2009,198008,1195.899077443416,303
19999,1,11650,서초동,2011-10-27,현대홈타운,1506-88,134.19,2,2005,100000,745.2120128176466,303
20000,1,11650,서초동,2011-10-27,서초1차e-편한세상,1487-63,130.53,2,2004,98000,750.7852600934651,303
20001,1,11650,서초동,2011-10-29,서초이오빌,1593-7,36.66,13,2003,20700,564.6481178396073,303
20002,1,11650,서초동,2011-10-29,서초삼성래미안,1641-1,121.66,2,2001,94000,772.6450764425448,303
20003,1,11650,서초동,2011-10-29,서초이오빌,1593-7,36.66,16,2003,22200,605.5646481178396,303
20009,1,11650,양재동,2011-10-26,우성,154-2,73.15,2,1991,54000,738.2091592617908,303
20014,1,11650,우면동,2011-10-26,대림,57,130.89,14,1995,120000,916.8003667201468,303
20027,1,11650,잠원동,2011-10-24,한신타워,71-11,59.81,5,1996,60000,1003.1767262999498,303
20028,1,11650,잠원동,2011-10-26,한강,49-8,84.53,4,1989,77000,910.9192002839228,303
20029,1,11650,잠원동,2011-10-26,대림,57,104.14,13,1979,99700,957.3650854618783,303
20030,1,11650,잠원동,2011-10-26,신반포2,73,68.91,11,1978,78500,1139.1670294587143,303
20031,1,11650,잠원동,2011-10-26,신반포2,73,92.2,10,1978,100250,1087.3101952277657,303
20032,1,11650,잠원동,2011-10-27,한강,49-8,84.53,9,1989,85600,1012.6582278481012,303
20033,1,11650,잠원동,2011-10-27,한신타워,71-11,66.02,1,1996,59000,893.6685852771888,303
20034,1,11650,잠원동,2011-10-27,대림,57,104.14,12,1979,101200,971.7687728058382,303
20035,1,11650,잠원동,2011-10-28,한신그린,65-8,84.89,2,1993,74500,877.606314053481,303
