,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
34040,34040,11650,내곡동,2015-08-27,서초더샵포레,BL-1,84.81,3,2014,65000,766.4190543567976,503,1
34064,34064,11650,반포동,2015-08-23,반포리체,30-26,59.993,10,2011,90000,1500.175020419049,503,1
34065,34065,11650,반포동,2015-08-24,반포 주공1단지,757,107.47,3,1973,215000,2000.5582953382338,503,1
34066,34066,11650,반포동,2015-08-24,반포미도,Apr-60,84.96,14,1987,89900,1058.145009416196,503,1
34067,34067,11650,반포동,2015-08-24,반포미도,Apr-60,84.96,14,1987,89990,1059.2043314500943,503,1
34068,34068,11650,반포동,2015-08-25,현대,814,91.51,1,1984,204000,2229.2645612501365,503,1
34069,34069,11650,반포동,2015-08-25,반포 힐스테이트,06월 16일,155.95,19,2012,204000,1308.1115742225072,503,1
34070,34070,11650,반포동,2015-08-25,한신서래,Jan-70,115.0,5,1987,95000,826.0869565217391,503,1
34071,34071,11650,반포동,2015-08-25,산호아파트,741-5,90.11,4,2001,51500,571.5236932637887,503,1
34072,34072,11650,반포동,2015-08-25,반포에스케이뷰,112-15,242.49,15,2006,360000,1484.5973029815661,503,1
34073,34073,11650,반포동,2015-08-26,반포자이,20-43,84.943,19,2009,140750,1656.9935132971523,503,1
34074,34074,11650,반포동,2015-08-26,반포미도,Apr-60,84.96,15,1987,87000,1024.0112994350284,503,1
34075,34075,11650,반포동,2015-08-26,삼호가든맨션(3차),Aug-32,105.69,3,1982,108000,1021.856372409878,503,1
34076,34076,11650,반포동,2015-08-27,반포미도2차아파트,May-60,59.07,5,1989,64000,1083.4603013373962,503,1
34077,34077,11650,반포동,2015-08-27,반포미도,Apr-60,84.96,7,1987,92250,1085.8050847457628,503,1
34078,34078,11650,반포동,2015-08-27,래미안퍼스티지,01월 18일,84.93,8,2009,169000,1989.8740138937947,503,1
34079,34079,11650,반포동,2015-08-27,반포리체,30-26,84.96700000000001,3,2011,120000,1412.3130156413665,503,1
34080,34080,11650,반포동,2015-08-27,반포리체,30-26,59.993,15,2011,94500,1575.1837714400012,503,1
34081,34081,11650,반포동,2015-08-28,삼호가든맨션(3차),Aug-32,105.69,7,1982,114500,1083.356987416028,503,1
34082,34082,11650,반포동,2015-08-28,반포자이,20-43,165.05200000000002,21,2009,221000,1338.971960351889,503,1
34083,34083,11650,반포동,2015-08-28,반포자이,20-43,84.943,24,2009,147000,1730.5722661078605,503,1
34084,34084,11650,반포동,2015-08-28,반포에스케이뷰,112-15,213.15,14,2006,197000,924.2317616701853,503,1
34085,34085,11650,반포동,2015-08-29,반포미도2차아파트,May-60,71.49,13,1989,73000,1021.1218352217094,503,1
34086,34086,11650,반포동,2015-08-29,래미안퍼스티지,01월 18일,117.12,23,2009,195000,1664.9590163934427,503,1
34139,34139,11650,방배동,2015-08-24,대림e-편한세상1,884-21,188.21,10,2003,170000,903.2463737314702,503,1
34140,34140,11650,방배동,2015-08-24,방배임광,1010-1,84.0,7,1988,65000,773.8095238095239,503,1
34141,34141,11650,방배동,2015-08-24,경남,1028-1,105.47,8,1980,84500,801.1756897696027,503,1
34142,34142,11650,방배동,2015-08-24,롯데캐슬헤론,754-1,169.08,8,2006,109000,644.6652472202508,503,1
34143,34143,11650,방배동,2015-08-24,래미안방배아트힐(1008-2),1008-2,127.31,9,2004,100000,785.4842510407666,503,1
34144,34144,11650,방배동,2015-08-25,방배5차상지리츠빌,797-22,123.21,5,2004,89500,726.4020777534291,503,1
34145,34145,11650,방배동,2015-08-25,방배아이파크,3277,84.32,1,2006,76800,910.8159392789374,503,1
34146,34146,11650,방배동,2015-08-25,삼호 1동~3동,770-1,81.39,2,1975,59900,735.9626489740755,503,1
34147,34147,11650,방배동,2015-08-26,삼호한숲,1030-1,84.87,6,1998,70000,824.7908566042182,503,1
34148,34148,11650,방배동,2015-08-26,방배아크로리버,752-36,149.225,12,2004,102200,684.8718378287821,503,1
34149,34149,11650,방배동,2015-08-26,대우(효령),1038,84.91,5,1992,69500,818.5137204098457,503,1
34150,34150,11650,방배동,2015-08-26,방배임광,1010-1,79.8,7,1988,64000,802.0050125313284,503,1
34151,34151,11650,방배동,2015-08-27,브라운스톤방배,899-16,84.96,6,2005,87000,1024.0112994350284,503,1
34152,34152,11650,방배동,2015-08-27,경남,1028-1,106.58,1,1980,82500,774.0664289735411,503,1
34153,34153,11650,방배동,2015-08-28,대우(효령),1038,84.91,1,1992,62800,739.60664232717,503,1
34154,34154,11650,방배동,2015-08-28,방배승원아트빌,970-13,124.86,4,2003,65500,524.5875380426078,503,1
34155,34155,11650,방배동,2015-08-29,방배아크로리버,752-36,149.225,7,2004,104000,696.9341598257665,503,1
34156,34156,11650,방배동,2015-08-29,한신휴플러스,Jan-00,84.55,17,2006,74000,875.2217622708457,503,1
34157,34157,11650,방배동,2015-08-29,경남,1028-1,105.47,7,1980,85500,810.6570588793022,503,1
34228,34228,11650,서초동,2015-08-24,서초에스케이뷰,1521-8,84.97,5,2006,73000,859.1267506178651,503,1
34229,34229,11650,서초동,2015-08-24,우성아파트,1326-17,134.91,14,1998,105000,778.2966422059151,503,1
34230,34230,11650,서초동,2015-08-24,서초이오빌,1593-7,43.2,12,2003,24200,560.1851851851851,503,1
34231,34231,11650,서초동,2015-08-24,서초이오빌,1593-7,45.96,3,2003,25200,548.3028720626631,503,1
34232,34232,11650,서초동,2015-08-24,서초이오빌,1593-7,45.96,6,2003,25200,548.3028720626631,503,1
34233,34233,11650,서초동,2015-08-24,서초이오빌,1593-7,45.96,7,2003,25200,548.3028720626631,503,1
34234,34234,11650,서초동,2015-08-24,서초이오빌,1593-7,45.96,9,2003,25200,548.3028720626631,503,1
34235,34235,11650,서초동,2015-08-24,롯데캐슬스파,1647-1,194.51,10,2003,134000,688.9105958562542,503,1
34236,34236,11650,서초동,2015-08-24,삼풍아파트,1685,130.73,8,1988,155000,1185.649812590836,503,1
34237,34237,11650,서초동,2015-08-24,유원서초,1687,84.82,17,1993,84800,999.7642065550579,503,1
34238,34238,11650,서초동,2015-08-24,현대성우주상복합아파트,1316-15,161.91,17,2002,100700,621.950466308443,503,1
34239,34239,11650,서초동,2015-08-24,서초동아타워,1321-6,177.26,8,1996,85800,484.0347512129076,503,1
34240,34240,11650,서초동,2015-08-25,래미안서초스위트,1301-6,95.7555,3,2009,102500,1070.4345964461572,503,1
34241,34241,11650,서초동,2015-08-25,삼풍아파트,1685,79.47,14,1988,101500,1277.2115263621492,503,1
34242,34242,11650,서초동,2015-08-25,삼풍아파트,1685,79.47,3,1988,90000,1132.5028312570782,503,1
34243,34243,11650,서초동,2015-08-25,현대홈타운,1506-88,134.19,10,2005,112000,834.6374543557642,503,1
34244,34244,11650,서초동,2015-08-25,서초동삼성쉐르빌2,1330,52.83,3,2002,39000,738.2169222032936,503,1
34245,34245,11650,서초동,2015-08-26,현대ESA2,1542-6,136.25,6,2003,88500,649.5412844036697,503,1
34246,34246,11650,서초동,2015-08-26,진흥아파트,1315,101.32,11,1979,98000,967.2325305961311,503,1
