,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
10295,1,11200,금호동1가,2010-08-18,벽산,633,59.9,10,2001,30000,500.8347245409015,241
10307,1,11200,마장동,2010-08-19,삼성,817,84.93,2,1996,45000,529.8481102084069,241
10311,1,11200,사근동,2010-08-19,드림시드,198-1,100.16,1,2001,29100,290.53514376996804,241
10316,1,11200,성수동2가,2010-08-20,현대I-PARK,834,116.22,16,2003,73000,628.1190844949234,241
10321,1,11200,송정동,2010-08-17,건영,90,84.945,1,2000,33000,388.486667843899,241
10333,1,11200,응봉동,2010-08-18,대림강변,15,84.42,5,2001,56500,669.2726841980573,241
10334,1,11200,응봉동,2010-08-19,대림강변,15,84.42,7,2001,50000,592.2767116796967,241
10335,1,11200,응봉동,2010-08-20,신동아,275,84.81,6,1996,34970,412.3334512439571,241
10339,1,11200,하왕십리동,2010-08-21,극동미라주,1058,59.4,11,2001,28900,486.53198653198655,241
10350,1,11200,행당동,2010-08-20,행당 한진타운,346,84.71,13,2000,60000,708.2989021367017,241
10351,1,11200,행당동,2010-08-21,서울숲 한신 더 휴,349,59.91,11,2003,39000,650.9764646970456,241
