,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
36956,1,11290,길음동,2016-06-05,신안파크,635-168,68.14,4,1988,25000,366.89169357205753,544
36957,1,11290,길음동,2016-06-06,길음뉴타운9단지(래미안),1286,84.95,8,2010,59500,700.4120070629782,544
36958,1,11290,길음동,2016-06-06,길음뉴타운6단지(래미안),1283,113.226,4,2007,64500,569.6571458852208,544
36959,1,11290,길음동,2016-06-06,신안파크,635-168,68.14,3,1988,25800,378.63222776636337,544
36960,1,11290,길음동,2016-06-06,돈암2-1삼부,1276,59.94,12,1998,30000,500.5005005005005,544
36961,1,11290,길음동,2016-06-06,길음뉴타운3단지푸르지오,1280-1,59.77,2,2005,36000,602.3088505939434,544
36962,1,11290,길음동,2016-06-07,신안파크,635-168,68.14,1,1988,24000,352.21602582917524,544
36963,1,11290,길음동,2016-06-07,길음뉴타운9단지(래미안),1286,84.96,29,2010,57500,676.7890772128061,544
36964,1,11290,길음동,2016-06-07,길음뉴타운3단지푸르지오,1280-1,59.99,15,2005,38650,644.274045674279,544
36965,1,11290,길음동,2016-06-07,길음뉴타운9단지(래미안),1286,114.86,13,2010,71000,618.1438272679784,544
36966,1,11290,길음동,2016-06-08,길음뉴타운1단지(래미안길음1차),1279,59.99,1,2003,38500,641.7736289381563,544
36967,1,11290,길음동,2016-06-08,길음뉴타운8단지(래미안),1284,84.82,9,2010,57000,672.0113180853573,544
36968,1,11290,길음동,2016-06-09,길음뉴타운8단지(래미안),1284,84.94,14,2010,61000,718.1539910525076,544
36969,1,11290,길음동,2016-06-09,길음뉴타운9단지(래미안),1286,59.98,6,2010,46000,766.922307435812,544
36970,1,11290,길음동,2016-06-10,길음뉴타운1단지(래미안길음1차),1279,84.96,16,2003,49000,576.7419962335217,544
36971,1,11290,길음동,2016-06-10,돈암2-1삼부,1276,59.94,7,1998,29300,488.82215548882215,544
36972,1,11290,길음동,2016-06-10,길음뉴타운8단지(래미안),1284,84.82,19,2010,55800,657.8637113888234,544
36973,1,11290,길음동,2016-06-11,길음동동부센트레빌(1278-0),1278,59.99800000000001,7,2003,36000,600.0200006666888,544
36974,1,11290,길음동,2016-06-11,길음뉴타운8단지(래미안),1284,84.94,13,2010,57000,671.061926065458,544
36975,1,11290,길음동,2016-06-11,길음뉴타운4단지(e편한세상),1281,59.97,12,2005,41000,683.6751709187928,544
37051,1,11290,돈암동,2016-06-07,한진(609-1),609-1,59.58,5,1998,29450,494.29338704263176,544
37052,1,11290,돈암동,2016-06-07,돈암동 풍림아파트 101~105동,632,59.64,9,1999,29900,501.34138162307175,544
37053,1,11290,돈암동,2016-06-07,동소문현대,630,84.72,6,1994,36500,430.8309726156752,544
37054,1,11290,돈암동,2016-06-07,동부센트레빌,633,81.82,8,2003,45000,549.9877780493767,544
37055,1,11290,돈암동,2016-06-08,한진(609-1),609-1,59.58,6,1998,29300,491.77576367908694,544
37056,1,11290,돈암동,2016-06-08,한신,609-1,68.13,17,1998,33200,487.30368413327466,544
37057,1,11290,돈암동,2016-06-08,돈암동삼성,15-1,59.4,8,1999,32000,538.7205387205387,544
37058,1,11290,돈암동,2016-06-08,한신,609-1,84.87,18,1998,42700,503.1224225285731,544
37059,1,11290,돈암동,2016-06-08,이수브라운스톤돈암,636,84.97,4,2004,46700,549.6057432034836,544
37060,1,11290,돈암동,2016-06-08,돈암동삼성,15-1,59.4,9,1999,30600,515.1515151515151,544
37061,1,11290,돈암동,2016-06-08,동부센트레빌,633,80.54,14,2003,43800,543.8291532157933,544
37062,1,11290,돈암동,2016-06-09,이수브라운스톤돈암,636,65.95,11,2004,43000,652.0090978013646,544
37063,1,11290,돈암동,2016-06-09,돈암힐스테이트,639,84.54,5,2007,47000,555.9498462266382,544
37064,1,11290,돈암동,2016-06-09,한진(609-1),609-1,59.58,15,1998,30000,503.5246727089627,544
37065,1,11290,돈암동,2016-06-10,한신,609-1,132.96,5,1998,53000,398.61612515042117,544
37066,1,11290,돈암동,2016-06-10,돈암현대아파트,1,68.76,8,1991,32850,477.7486910994764,544
37067,1,11290,돈암동,2016-06-10,길음역금호어울림센터힐,643,59.84,11,2014,46000,768.7165775401069,544
37068,1,11290,돈암동,2016-06-10,한진(609-1),609-1,84.87,13,1998,38500,453.63497113232,544
37069,1,11290,돈암동,2016-06-11,범양,631,59.79,16,1998,31800,531.8615153035624,544
37070,1,11290,돈암동,2016-06-11,한진(609-1),609-1,84.87,17,1998,43000,506.6572404854483,544
37071,1,11290,돈암동,2016-06-11,일신건영휴먼빌아파트,524,84.98,2,2005,41500,488.35020004706985,544
37072,1,11290,돈암동,2016-06-11,돈암동삼성,15-1,59.4,15,1999,32500,547.1380471380471,544
37073,1,11290,돈암동,2016-06-11,돈암힐스테이트,639,84.54,12,2007,49000,579.6072864916016,544
37074,1,11290,돈암동,2016-06-11,돈암동 풍림아파트 101~105동,632,59.64,2,1999,26900,451.0395707578806,544
37075,1,11290,돈암동,2016-06-11,돈암동삼성,15-1,84.59,14,1999,41500,490.60172597233714,544
37076,1,11290,돈암동,2016-06-11,일신건영휴먼빌아파트,524,84.98,4,2005,42300,497.7641798070134,544
37142,1,11290,동소문동4가,2016-06-07,송산아파트,279,58.59,2,1998,26000,443.7617340843147,544
37143,1,11290,동소문동4가,2016-06-08,송산아파트,279,58.59,7,1998,29500,503.49889059566476,544
37150,1,11290,동소문동7가,2016-06-11,브라운스톤동선,120,59.95,5,2010,45000,750.6255212677231,544
