,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
11966,11966,11710,가락동,2008-08-03,프라자,199,134.09,8,1985,80000,596.6142143336565,135,1
11967,11967,11710,가락동,2008-08-05,가락(1차)쌍용아파트,140,84.69,9,1997,59900,707.2853937891133,135,1
11968,11968,11710,가락동,2008-08-05,가락(1차)쌍용아파트,140,59.92,13,1997,44700,745.9946595460614,135,1
11969,11969,11710,가락동,2008-08-06,시영2,479,50.12,2,1982,69000,1376.6959297685555,135,1
11970,11970,11710,가락동,2008-08-06,한화오벨리스크,Jan-78,48.8,16,2004,28000,573.7704918032787,135,1
11971,11971,11710,가락동,2008-08-06,동성 아파트(102동),04월 15일,54.25,2,2006,27000,497.6958525345622,135,1
11972,11972,11710,가락동,2008-08-06,성원상떼빌,80,108.65,6,2006,56000,515.4164749194662,135,1
11973,11973,11710,가락동,2008-08-08,시영2,479,39.64,2,1982,53750,1355.9535822401615,135,1
11974,11974,11710,가락동,2008-08-08,풍림1,142,80.52,2,1995,43000,534.0288127173374,135,1
12002,12002,11710,거여동,2008-08-04,거여5단지,294,59.74,1,1997,42000,703.0465349849347,135,1
12003,12003,11710,거여동,2008-08-04,현대3차,46,84.94,5,1993,50000,588.650812338121,135,1
12004,12004,11710,거여동,2008-08-08,현대2차,44,82.96,8,1992,47000,566.5380906460946,135,1
12005,12005,11710,거여동,2008-08-09,거여1단지,290,39.6,10,1997,25500,643.9393939393939,135,1
12012,12012,11710,마천동,2008-08-05,보보스빌,200-75,59.76,2,2004,40000,669.3440428380187,135,1
12013,12013,11710,마천동,2008-08-07,금호어울림,319,84.96,8,2006,48000,564.9717514124294,135,1
12043,12043,11710,방이동,2008-08-05,올림픽선수기자촌1단지,89,100.82,4,1988,89300,885.7369569529856,135,1
12044,12044,11710,방이동,2008-08-07,올림픽선수기자촌1단지,89,83.06,6,1988,76500,921.0209487117746,135,1
12045,12045,11710,방이동,2008-08-09,세원아파트,169-2,66.74,4,2003,26500,397.0632304465089,135,1
12046,12046,11710,방이동,2008-08-09,대림,217,125.075,5,1985,85000,679.592244653208,135,1
12053,12053,11710,송파동,2008-08-04,송파삼성래미안아파트,162,79.7,2,2001,59000,740.276035131744,135,1
12064,12064,11710,신천동,2008-08-05,미성,06월 17일,46.54,2,1980,50000,1074.3446497636442,135,1
12065,12065,11710,신천동,2008-08-05,장미2,11,82.45,14,1979,40000,485.1425106124924,135,1
12066,12066,11710,신천동,2008-08-07,한신코아,11월 09일,41.99,5,1988,34500,821.6241962371993,135,1
12085,12085,11710,오금동,2008-08-06,아남,67,47.88,15,1992,28500,595.2380952380952,135,1
12086,12086,11710,오금동,2008-08-08,현대백조,11,31.0,3,1997,16000,516.1290322580645,135,1
12093,12093,11710,잠실동,2008-08-04,우성아파트,101-1,80.39,3,1981,63000,783.6795621345939,135,1
12094,12094,11710,잠실동,2008-08-04,리센츠,22,27.68,3,2008,28000,1011.5606936416185,135,1
12095,12095,11710,잠실동,2008-08-04,주공아파트 5단지,27,76.5,11,1978,110000,1437.9084967320262,135,1
12096,12096,11710,잠실동,2008-08-05,레이크팰리스,44,84.82,4,2006,95000,1120.0188634755955,135,1
12119,12119,11710,장지동,2008-08-06,송파파인타운4단지,837,84.95,9,2008,37461,440.97704532077694,135,1
12120,12120,11710,장지동,2008-08-07,송파파인타운3단지,849,84.94,3,2008,35551,418.5425005886508,135,1
12121,12121,11710,장지동,2008-08-08,송파파인타운3단지,849,84.98,1,2008,33838,398.18780889621087,135,1
12133,12133,11710,풍납동,2008-08-05,현대1,413-1,83.02,2,1995,50000,602.2645145748013,135,1
12134,12134,11710,풍납동,2008-08-05,한강극동,508,59.26,4,1995,39000,658.1167735403308,135,1
12135,12135,11710,풍납동,2008-08-09,한강극동,508,84.76,3,1995,53000,625.2949504483247,135,1
12136,12136,11710,풍납동,2008-08-09,현대리버빌1지구,260,43.2,9,1999,26800,620.3703703703703,135,1
12137,12137,11710,풍납동,2008-08-09,씨티극동1,509,59.95,6,1998,37300,622.185154295246,135,1
