,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
65659,1,11710,가락동,2018-08-19,가락(1차)쌍용아파트,140,59.92,4,1997,73000,1218.2910547396527,659
65660,1,11710,가락동,2018-08-19,가락(1차)쌍용아파트,140,84.69,6,1997,81300,959.9716613531704,659
65661,1,11710,가락동,2018-08-19,성원상떼빌,80,145.72,5,2006,90000,617.6228383200659,659
65662,1,11710,가락동,2018-08-19,프라자,199,84.67,11,1985,85000,1003.8974843510098,659
65663,1,11710,가락동,2018-08-19,우성,96-1,43.79,11,1986,67000,1530.0296871431833,659
65664,1,11710,가락동,2018-08-19,대림,70-19,84.11,15,1988,74600,886.9337771965284,659
65665,1,11710,가락동,2018-08-20,가락(1차)쌍용아파트,140,84.69,13,1997,83000,980.0448695241469,659
65666,1,11710,가락동,2018-08-20,동부센트레빌,95,143.02,12,2001,120000,839.0434904209201,659
65667,1,11710,가락동,2018-08-20,성원상떼빌,80,99.6,4,2006,71000,712.85140562249,659
65668,1,11710,가락동,2018-08-20,가락금호아파트,95-1,85.0,9,1997,86500,1017.6470588235294,659
65669,1,11710,가락동,2018-08-20,성원상떼빌,80,103.96,11,2006,72000,692.5740669488265,659
65670,1,11710,가락동,2018-08-20,성원상떼빌,80,145.72,24,2006,98000,672.5226461707384,659
65671,1,11710,가락동,2018-08-20,극동,192,59.4,9,1984,81000,1363.6363636363637,659
65672,1,11710,가락동,2018-08-20,래미안파크팰리스,165,84.936,6,2007,114000,1342.1870584910992,659
65673,1,11710,가락동,2018-08-20,가락(1차)쌍용아파트,140,84.69,5,1997,79800,942.2600070846618,659
65674,1,11710,가락동,2018-08-20,래미안파크팰리스,165,84.936,15,2007,113000,1330.4134878025807,659
65675,1,11710,가락동,2018-08-21,가락금호아파트,95-1,59.91,10,1997,75000,1251.8778167250878,659
65676,1,11710,가락동,2018-08-21,가락(1차)쌍용아파트,140,59.92,16,1997,76500,1276.702269692924,659
65677,1,11710,가락동,2018-08-21,그린아파트,1-7,84.99,4,1996,42000,494.1757853865161,659
65678,1,11710,가락동,2018-08-21,가락(1차)쌍용아파트,140,59.92,16,1997,73800,1231.6421895861147,659
65679,1,11710,가락동,2018-08-21,동궁리치웰(102동),196,83.9,2,2005,70000,834.326579261025,659
65680,1,11710,가락동,2018-08-21,극동,192,120.4,3,1984,115500,959.3023255813953,659
65681,1,11710,가락동,2018-08-22,성원상떼빌,80,101.52,4,2006,72000,709.2198581560284,659
65682,1,11710,가락동,2018-08-22,가락현대투웰브(102동),198-13,84.58,3,2005,59950,708.7964057696855,659
65683,1,11710,가락동,2018-08-22,극동,192,84.96,6,1984,97500,1147.5988700564972,659
65684,1,11710,가락동,2018-08-22,현대(5차),161-2,82.4,5,1986,93000,1128.640776699029,659
65685,1,11710,가락동,2018-08-22,가락(1차)쌍용아파트,140,84.69,18,1997,82000,968.2371000118078,659
65686,1,11710,가락동,2018-08-22,가락(1차)쌍용아파트,140,59.92,6,1997,71500,1193.2576769025368,659
65687,1,11710,가락동,2018-08-23,가락(1차)쌍용아파트,140,84.69,2,1997,79900,943.4407840358956,659
65688,1,11710,가락동,2018-08-23,프라자,199,84.67,4,1985,87000,1027.5186016298571,659
65689,1,11710,가락동,2018-08-23,프라자,199,84.67,4,1985,87500,1033.423880949569,659
65690,1,11710,가락동,2018-08-23,가락(1차)쌍용아파트,140,84.69,13,1997,83000,980.0448695241469,659
65691,1,11710,가락동,2018-08-23,가락(1차)쌍용아파트,140,59.92,14,1997,74000,1234.9799732977303,659
65692,1,11710,가락동,2018-08-23,우성,96-1,43.79,9,1986,69000,1575.7022151176068,659
65693,1,11710,가락동,2018-08-23,대림,70-19,84.11,10,1988,78900,938.0573059089288,659
65694,1,11710,가락동,2018-08-23,가락미륭아파트,138,83.58,8,1986,84000,1005.0251256281407,659
65695,1,11710,가락동,2018-08-23,한신1,102,84.51,6,1993,71500,846.0537214530824,659
65696,1,11710,가락동,2018-08-23,한신1,102,84.53,6,1993,75000,887.2589613155093,659
65697,1,11710,가락동,2018-08-23,성원상떼빌,80,101.52,6,2006,69700,686.5642237982664,659
65698,1,11710,가락동,2018-08-24,청공빌딩주상복합-현대빌리지,137-3,138.18,11,1999,55500,401.650021710812,659
65699,1,11710,가락동,2018-08-24,대림,70-19,69.74,15,1988,72000,1032.4060797246918,659
65700,1,11710,가락동,2018-08-24,우성,96-1,127.75,15,1986,120000,939.334637964775,659
65701,1,11710,가락동,2018-08-24,성원상떼빌,80,128.71,11,2006,74500,578.8206044596379,659
65702,1,11710,가락동,2018-08-24,현대7,171-5,84.65,3,1991,65000,767.867690490254,659
65703,1,11710,가락동,2018-08-24,래미안파크팰리스,165,84.936,2,2007,110000,1295.0927757370255,659
65704,1,11710,가락동,2018-08-24,삼환,176,84.97399999999998,1,1985,89000,1047.3791983430228,659
65705,1,11710,가락동,2018-08-24,가락(1차)쌍용아파트,140,84.69,18,1997,82000,968.2371000118078,659
65706,1,11710,가락동,2018-08-25,가락(1차)쌍용아파트,140,59.92,5,1997,69000,1151.535380507343,659
65707,1,11710,가락동,2018-08-25,가락(1차)쌍용아파트,140,59.92,6,1997,72700,1213.2843791722296,659
65708,1,11710,가락동,2018-08-25,가락(1차)쌍용아파트,140,84.69,22,1997,82000,968.2371000118078,659
65709,1,11710,가락동,2018-08-25,래미안파크팰리스,165,84.936,20,2007,115000,1353.9606291796174,659
65710,1,11710,가락동,2018-08-25,sk파크타워,166-2,84.88,12,2003,67800,798.7747408105561,659
65711,1,11710,가락동,2018-08-25,래미안파크팰리스,165,59.968,3,2007,94000,1567.5026680896476,659
65712,1,11710,가락동,2018-08-25,프라자,199,84.67,9,1985,88500,1045.2344395889925,659
65713,1,11710,가락동,2018-08-25,가락금호아파트,95-1,59.91,1,1997,73000,1218.4944082790853,659
65714,1,11710,가락동,2018-08-25,가락미륭아파트,138,83.58,2,1986,82000,981.0959559703279,659
65715,1,11710,가락동,2018-08-25,가락(1차)쌍용아파트,140,84.69,7,1997,82900,978.864092572913,659
65716,1,11710,가락동,2018-08-25,가락(1차)쌍용아파트,140,84.69,2,1997,81000,956.4293304994686,659
65717,1,11710,가락동,2018-08-25,대림,70-19,99.38,14,1988,81000,815.0533306500303,659
65718,1,11710,가락동,2018-08-25,대림,70-19,68.78,15,1988,70000,1017.7377144518755,659
65719,1,11710,가락동,2018-08-25,대림,70-19,68.78,3,1988,67100,975.5742948531549,659
65720,1,11710,가락동,2018-08-25,가락금호아파트,95-1,59.91,8,1997,78300,1306.9604406609915,659
65721,1,11710,가락동,2018-08-25,우성,96-1,43.79,15,1986,66350,1515.1861155514957,659
65722,1,11710,가락동,2018-08-25,가락미륭아파트,138,64.26,11,1986,73000,1136.0099595393713,659
65777,1,11710,거여동,2018-08-20,우방1,356,59.91,7,1999,51800,864.6302787514605,659
65778,1,11710,거여동,2018-08-20,거여1단지,290,49.8,5,1997,53000,1064.25702811245,659
65779,1,11710,거여동,2018-08-21,거여2단지동아,291,134.88,13,1997,92500,685.7947805456703,659
65780,1,11710,거여동,2018-08-21,보화2차,258-7,40.77,1,1988,31500,772.6269315673288,659
65781,1,11710,거여동,2018-08-22,거여5단지,294,84.17,7,1997,76000,902.9345372460497,659
65782,1,11710,거여동,2018-08-22,거여4단지,293,38.9,9,1997,45000,1156.8123393316196,659
65783,1,11710,거여동,2018-08-23,현대2차,44,82.96,6,1992,64500,777.4831243973,659
65784,1,11710,거여동,2018-08-24,거여5단지,294,59.74,13,1997,61000,1021.091396049548,659
65785,1,11710,거여동,2018-08-25,거여5단지,294,59.74,5,1997,57500,962.5041848008035,659
65786,1,11710,거여동,2018-08-25,거여2단지효성,291,134.88,11,1997,92500,685.7947805456703,659
65787,1,11710,거여동,2018-08-25,삼호,136,84.96,8,1999,59300,697.9755178907722,659
65788,1,11710,거여동,2018-08-25,거여1단지,290,49.8,5,1997,53500,1074.2971887550202,659
65789,1,11710,거여동,2018-08-25,거여1단지,290,49.8,7,1997,53000,1064.25702811245,659
65790,1,11710,거여동,2018-08-25,현대3차,46,84.94,12,1993,65900,775.8417706616435,659
65791,1,11710,거여동,2018-08-25,현대3차,46,84.83,1,1993,58500,689.614523163975,659
65792,1,11710,거여동,2018-08-25,보화2차,258-7,40.38,1,1988,31700,785.0421000495294,659
65813,1,11710,마천동,2018-08-21,한보1,175,49.54,7,1998,49000,989.0997174000807,659
65814,1,11710,마천동,2018-08-22,송파파크데일1단지,582,84.86,8,2011,70000,824.8880509073769,659
65815,1,11710,마천동,2018-08-22,송파파크데일1단지,582,84.99,6,2011,70000,823.6263089775268,659
65816,1,11710,마천동,2018-08-23,송파파크데일2단지,607,84.86,8,2011,70000,824.8880509073769,659
65817,1,11710,마천동,2018-08-24,금호어울림,319,84.96,5,2006,69000,812.1468926553673,659
65818,1,11710,마천동,2018-08-25,송파파크데일1단지,582,59.91,1,2011,58000,968.1188449340679,659
65819,1,11710,마천동,2018-08-25,마천금호어울림1차아파트,575,81.18,17,2002,65000,800.6898250800689,659
65860,1,11710,문정동,2018-08-20,올림픽훼밀리타운,150,136.325,9,1988,160000,1173.665871997066,659
65861,1,11710,문정동,2018-08-20,올림픽훼밀리타운,150,84.705,2,1988,130000,1534.7382090785668,659
65862,1,11710,문정동,2018-08-20,자이파인빌(101동),68-1,69.44,4,2006,44500,640.8410138248848,659
65863,1,11710,문정동,2018-08-20,문정시영,145,39.69,6,1989,54000,1360.544217687075,659
65864,1,11710,문정동,2018-08-20,올림픽훼밀리타운,150,117.585,11,1988,150000,1275.6729174639622,659
65865,1,11710,문정동,2018-08-21,대우3,117,84.96,13,2002,73000,859.2278719397364,659
65866,1,11710,문정동,2018-08-21,올림픽훼밀리타운,150,117.585,8,1988,145000,1233.1504868818301,659
65867,1,11710,문정동,2018-08-21,올림픽훼밀리타운,150,84.705,15,1988,128500,1517.0296912815065,659
65868,1,11710,문정동,2018-08-21,올림픽훼밀리타운,150,136.325,12,1988,153800,1128.1863194571797,659
65869,1,11710,문정동,2018-08-22,올림픽훼밀리타운,150,192.235,9,1988,200000,1040.3932686555518,659
65870,1,11710,문정동,2018-08-22,올림픽훼밀리타운,150,117.585,11,1988,141500,1203.3847854743378,659
65871,1,11710,문정동,2018-08-22,올림픽훼밀리타운,150,136.325,8,1988,162000,1188.3366953970292,659
65872,1,11710,문정동,2018-08-22,문정래미안,1,150.58,5,2004,110000,730.5086996945145,659
65873,1,11710,문정동,2018-08-22,올림픽훼밀리타운,150,136.325,9,1988,106000,777.5536401980562,659
65874,1,11710,문정동,2018-08-22,문정래미안,1,120.97,10,2004,110000,909.3163594279573,659
65875,1,11710,문정동,2018-08-22,올림픽훼밀리타운,150,136.325,10,1988,160000,1173.665871997066,659
65876,1,11710,문정동,2018-08-22,문정동아,15,57.72,6,1997,48000,831.6008316008316,659
65877,1,11710,문정동,2018-08-23,현대2,58,84.96,3,1995,65000,765.0659133709981,659
65878,1,11710,문정동,2018-08-23,올림픽훼밀리타운,150,136.325,10,1988,160000,1173.665871997066,659
65879,1,11710,문정동,2018-08-23,올림픽훼밀리타운,150,84.705,11,1988,131800,1555.9884304350394,659
65880,1,11710,문정동,2018-08-23,올림픽훼밀리타운,150,136.325,3,1988,156500,1147.99193104713,659
65881,1,11710,문정동,2018-08-23,올림픽훼밀리타운,150,117.585,12,1988,145000,1233.1504868818301,659
65882,1,11710,문정동,2018-08-24,문정시영,145,35.46,1,1989,43500,1226.7343485617596,659
65883,1,11710,문정동,2018-08-24,문정래미안,1,133.29,3,2004,107000,802.7608972916198,659
65884,1,11710,문정동,2018-08-24,문정래미안,1,150.58,12,2004,125000,830.1235223801301,659
65885,1,11710,문정동,2018-08-24,올림픽훼밀리타운,150,117.585,6,1988,143000,1216.1415146489774,659
65886,1,11710,문정동,2018-08-24,올림픽훼밀리타운,150,84.705,13,1988,132000,1558.349566141314,659
65887,1,11710,문정동,2018-08-24,문정대우푸르지오,19,59.57,9,2001,67400,1131.4420010072183,659
65888,1,11710,문정동,2018-08-24,현대1,3,123.61,1,1984,98000,792.8161152010355,659
65889,1,11710,문정동,2018-08-24,문정래미안,1,120.97,4,2004,115000,950.6489212201373,659
65890,1,11710,문정동,2018-08-25,문정래미안,1,84.96,21,2004,96500,1135.828625235405,659
65891,1,11710,문정동,2018-08-25,올림픽훼밀리타운,150,117.585,9,1988,144000,1224.6460007654039,659
65892,1,11710,문정동,2018-08-25,올림픽훼밀리타운,150,117.585,7,1988,153000,1301.1863758132415,659
65893,1,11710,문정동,2018-08-25,현대1,3,84.98,9,1984,90000,1059.0727229936456,659
65894,1,11710,문정동,2018-08-25,올림픽훼밀리타운,150,136.325,13,1988,157000,1151.659636897121,659
65895,1,11710,문정동,2018-08-25,올림픽훼밀리타운,150,136.325,12,1988,155000,1136.9888134971577,659
65896,1,11710,문정동,2018-08-25,문정시영,145,39.69,9,1989,51500,1297.5560594608214,659
65897,1,11710,문정동,2018-08-25,문정시영,145,35.46,7,1989,45000,1269.0355329949239,659
65898,1,11710,문정동,2018-08-25,문정시영,145,39.69,3,1989,52500,1322.7513227513227,659
65899,1,11710,문정동,2018-08-25,인택,114,84.99,3,2002,62800,738.9104600541241,659
65900,1,11710,문정동,2018-08-25,현대,104,84.03,9,1991,60000,714.0307033202428,659
65901,1,11710,문정동,2018-08-25,건영1,72-3,84.81,14,1996,90000,1061.1956137247967,659
65902,1,11710,문정동,2018-08-25,현대1,3,123.61,6,1984,105000,849.4458377153952,659
65903,1,11710,문정동,2018-08-25,현대1,3,84.98,6,1984,90000,1059.0727229936456,659
65904,1,11710,문정동,2018-08-25,문정래미안,1,120.97,18,2004,115000,950.6489212201373,659
65964,1,11710,방이동,2018-08-20,올림픽선수기자촌2단지,89,83.06,6,1988,145000,1745.7259812183963,659
65965,1,11710,방이동,2018-08-20,올림픽선수기자촌2단지,89,83.06,6,1988,138000,1661.4495545388875,659
65966,1,11710,방이동,2018-08-20,올림픽선수기자촌3단지,89,135.99,3,1988,209000,1536.8777115964408,659
65967,1,11710,방이동,2018-08-20,현대홈타운스위트104,198-9,148.5,4,2004,93000,626.2626262626262,659
65968,1,11710,방이동,2018-08-20,올림픽선수기자촌2단지,89,100.31,9,1988,170000,1694.7462865118134,659
65969,1,11710,방이동,2018-08-21,올림픽선수기자촌2단지,89,128.97,1,1988,185000,1434.4421183220904,659
65970,1,11710,방이동,2018-08-21,올림픽선수기자촌2단지,89,83.06,12,1988,147500,1775.8247050325065,659
65971,1,11710,방이동,2018-08-21,해동아파트A동(134-5),134-5,64.55,5,2007,44500,689.3880712625871,659
65972,1,11710,방이동,2018-08-24,올림픽선수기자촌2단지,89,83.06,3,1988,150000,1805.9234288466168,659
65973,1,11710,방이동,2018-08-24,코오롱아파트,212-8,84.95,1,1991,80000,941.7304296645085,659
65974,1,11710,방이동,2018-08-24,코오롱아파트,212-8,84.95,3,1991,85000,1000.5885815185403,659
65975,1,11710,방이동,2018-08-25,올림픽선수기자촌3단지,89,135.99,7,1988,205000,1507.463784101772,659
65976,1,11710,방이동,2018-08-25,대림,217,84.915,7,1985,108000,1271.860095389507,659
65977,1,11710,방이동,2018-08-25,코오롱아파트,212-8,84.95,12,1991,83000,977.0453207769276,659
65988,1,11710,삼전동,2018-08-22,에이메스더리버송파,38-11,47.77,5,2018,52800,1105.2962110110948,659
